phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
baseline,,42,4200042,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,27.124390666838735,False,ed132a79d749346da180294d2b8981aa64e745a4f2b7969be83c5772337a969c
baseline,,525,4200525,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,13.621639541117474,False,4fea56565cbe45718a788d5bc241a8e98898b48ce44ce7ea5060e689126a704d
baseline,,1101,4201101,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,12.281733833020553,False,ebaae68f8c9210329d56555a153f49cf2177d5c9f8b870ed21c825e3a891e0d0
candidate,07e9bc7a9d27fdd58c2f,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,409,500,32.13836733298376,False,8b8c11e961e5e9c466cc420682555392a74c90f9ff9376a5f2d420e7e294b4cb
candidate,07e9bc7a9d27fdd58c2f,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,74,174,11.634186957962813,False,85d1b48d2d8bd13afcb809cac35f542a47cbf8707ba6c1dcb600a7bb244b99f2
candidate,07e9bc7a9d27fdd58c2f,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,117,217,16.06715775001794,False,ed57d22fb0f6b96eea0a8b11a7943fdda0878dad24dd3b310f49f3a76cc4ca3c
candidate,08820514e662ce6ea8f0,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,85,185,12.579417834058404,False,ae2860791b6484b517664ab9e3dee81e2cb40eb444d8b07021406cb17b0b98c5
candidate,08820514e662ce6ea8f0,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.322741833049804,False,1fd61adf2a16cb633cf7ba733a5590098067b444b2485a00c24aea0c7c7b818d
candidate,08820514e662ce6ea8f0,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,94,194,16.7776774589438,False,3253a7293d0f638d961d62e5b52ab83c63cddfaf3a6d91e4412d303629ad2ed7
candidate,0974fc9cbeb3820c4065,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,491,500,31.902787833008915,False,055508634fd080e1f7d5e1e184b67d7e81207b5ecdde652adda9f71627eba38f
candidate,0974fc9cbeb3820c4065,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,9.653146625030786,False,8894e10922a3e0eee64939c20c7402f26bbbebc29f8eef509847a9f17caf0137
candidate,0974fc9cbeb3820c4065,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,12.164579374948516,False,fcfd5a87daa8227fa3e0fe31a351312bb002901e5cccb7013955f0fb1c8fb0f4
candidate,0c0f89307cc4aff87ab6,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,84,184,14.149601915851235,False,3cd100ca88a3965bd00f6e862bb1f80d243b2c45fe194d68680295249b60bf52
candidate,0c0f89307cc4aff87ab6,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,18.1716929578688,False,f2726874871831fb2472b2eba01ae3a74b4a29d14771b002a12f9a8d1f5bc302
candidate,0c0f89307cc4aff87ab6,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,118,218,14.42806850001216,False,e518d4932f33b6e36544038eb8c93c4cc2a8a2c9bde80a3bc483fc30499c804e
candidate,10d51839b15b94f0ae56,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,89,189,12.381339542102069,False,13a16597e1433ff7e29c46fb90a50f4d820577af1a496199b4bf1eaa7f2605a1
candidate,10d51839b15b94f0ae56,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,60,160,10.320808458141984,False,c7c09b19b0307ab9bfa909b2c519f1dc15eda6d0c472981ad8a68023918d6fe3
candidate,10d51839b15b94f0ae56,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,90,190,12.656384333968164,False,48d7ff51f5a6f30e1a655dff9fc7e4cd4aab07f08660c907a32d9ff780c33d5e
candidate,118d66c0e53f510c51ed,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,11.625304916175082,False,4b5c8758bab8b7a892371c17ee4cb6d86bb549fe79cdded8e9e60045f92062d4
candidate,118d66c0e53f510c51ed,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,9.508301708148792,False,8dee474b7f1ef42ec9a5d07007e2738c2567a344c988f8a493538e45c629f310
candidate,118d66c0e53f510c51ed,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,11.904724792111663,False,4d53f068a1aafc1dc2626d937fcd267ad8cf0b884e106c2af957d12108742478
candidate,12e11e8eaee71fc57209,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,71,171,10.604275832884014,False,c5321b07080bb93d9b363ac48b19f98091c05280f322b2e070966c90ea829be7
candidate,12e11e8eaee71fc57209,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.89305704110302,False,d6dc3739790545386512df1ec03aca9be9b390d3a4744980b9a1563e348ce32c
candidate,12e11e8eaee71fc57209,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,11.439949916908516,False,0eafddddfaccd97f7971f8ada74edf189710a3660c40922c8aec7f0ea529fd15
