repetition_seed,phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,checkpoint_sha256
4601,baseline,__baseline__,42,46010042,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,80,180,16.44318545795977,545a7262545b06f0a5ecdb1e9aca453987120e4e97078247cd139086aac91186
4601,baseline,__baseline__,525,46010525,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,15.65291295782663,a70482fe2dfe2eea20b770f4e68a2cfb1bedaf29fafbe32c14524daaeebd8af4
4601,baseline,__baseline__,1101,46011101,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,21.20591020793654,e321a50cd4d3a5babef769731c674d945940fcfc1791c1ebbab32be754657bd8
4601,candidate,c2bd8e8f13a96726e7fc,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,18.056929084006697,60a5f16ed9e00b2f66c680c86df55e1b19d5e5dc6c07ec3f8000c2af4ebb00d7
4601,candidate,c2bd8e8f13a96726e7fc,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,51,151,15.570322915911674,b67e3b26e91c420722aa0fbd3dc3ece4cb0af700cf559bcd675d2e8b0dea27b5
4601,candidate,c2bd8e8f13a96726e7fc,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,61,161,16.530212209094316,f6f708d01fa90fa88bcfda83b64cf2b805aa8b68b3f1900b76bbdb04a7f8d03b
4601,candidate,826e9f40c328ce2478ec,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,10.813106833025813,2fb99b0c91ff62b35de8b12e27cffaabe095f770c88d0f8efa960ef2ad8e4138
4601,candidate,826e9f40c328ce2478ec,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,92,192,12.438073958037421,ec734a869235bdfef59042ff87b71c9170328ff40b4e601ee3031e17ad3b262c
4601,candidate,826e9f40c328ce2478ec,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,86,186,11.759332541842014,f411c1da8ffe314c4cf3c7d05ae24cfbd04b88b4ff374758c431c3a8f94f357a
4601,candidate,135ac7deca522d1e7929,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,10.3105299170129,daed880eda83176364eaefab084b4394d2f92c43134f4ea1f056afdd9936c0c7
4601,candidate,135ac7deca522d1e7929,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,42,142,8.667243957985193,2edf3dc736efa13b2550c8c35e71f2d65d8ae13566de67e3e901032efa92529e
4601,candidate,135ac7deca522d1e7929,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,13.65901487506926,98587088b7280e53cdaf7f3a3d2a9f9e5352439577b4ce9cec2fe344d8242d69
4601,candidate,474238f822b0c38795c6,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,10.820819624932483,53af04d0a4cd1c2294a0ec8e14ad06740dbd0bc3b6af0fbd8f046be77672cafd
4601,candidate,474238f822b0c38795c6,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,8.791246250038967,8342da03301e88e9f66cb6271920a555a792b38599d788f3a75c967f8358a1d9
4601,candidate,474238f822b0c38795c6,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,11.350239124847576,cbf6d83de564294e7c1fd512e20ec12f5f1149a2e2141b9cda4518c7c864c0fc
4601,candidate,c883df6ea04f89f45f03,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,10.12144654081203,85204015171739d3d6e1a3ece000a8219d0b5bb242f26f89156a4937ef408818
4601,candidate,c883df6ea04f89f45f03,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.184364625019953,4be028b1627cf61c965a20a8c1719848175cb9aa1717c0ed2113d892d09664e9
4601,candidate,c883df6ea04f89f45f03,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,10.982954707928002,cecdf9f3b9a7ccd84f75e137cfdaad2997d13d140a4104c2f5da4e6a4537bbb6
4601,candidate,d67e364fd6830aa2bf6f,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,9.669712624978274,4d11c6f57abf1ffc6158eb367a55dda087cfebc253168e38b12b0f22a7282321
4601,candidate,d67e364fd6830aa2bf6f,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,8.930680125020444,36b8fc485ca18a574bbaeec557ac2449b51b70f84b22f176b2e83cdc412f07a4
4601,candidate,d67e364fd6830aa2bf6f,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,74,174,11.255182374967262,6d1e84ad9f5691c015266b2d99595fcd3840dc6d8b43bfd712cf4c51b2a2bf99
4601,candidate,3a02b99399bb0c3e9ff9,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,9.831075167050585,8aa515dcedd95f5afbe2045cdf017d24ed628afaf751fb1475efe93f85dbb78f
4601,candidate,3a02b99399bb0c3e9ff9,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.344425041927025,de9439cd3c9362ef933cb66df1514462115bc1e4aba58cdfeb165b9cf47b764c
4601,candidate,3a02b99399bb0c3e9ff9,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.254343958105892,868ef75ca7303167ad94a584034f4727a5c6e04ec87abdd48d1ff5f6120a21d4
4601,candidate,d31d42caff135d7154c4,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,99,199,12.731098500080407,df0657ec3c8e2683e6b75472bfdd96b338f77a93e430ec83e9b113a9177fcb67
4601,candidate,d31d42caff135d7154c4,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,10.4320751670748,3979e621dfef518175e85c850286108963a0244fd81de1545192803f8ff929f4
4601,candidate,d31d42caff135d7154c4,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,116,216,14.56728283292614,8a01707f29e2fbe693d3f74e3822d5c78abb71f39cecbd6d2643ccb9842b2d80
4601,candidate,c7bc53c45a1962a88ec3,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,11.103089458076283,35e99c955174172830e6c6dc56dad55f05c80862ebedc9a54183f0aab93bc075
4601,candidate,c7bc53c45a1962a88ec3,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.393507458968088,251a7f83a6a5651800b7eb61d4ebbf1239bfc1ab90cbc7461a6cec7b2a8357d6
4601,candidate,c7bc53c45a1962a88ec3,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,14.732205250067636,4789a8255cb5825cf698b427ba0c84c9b333d2aed65963096fc19641d5657ed7
4601,candidate,41a468134f078d2de17d,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,309,409,24.969543125014752,a35daec4f510fe04d467bb5a10845ab11aea13d44357d62ff0cfaf8d3b1ce1ae
4601,candidate,41a468134f078d2de17d,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,8.9763199579902,6104708d5fcb747c037f699720ce24fca212285a46c23e87d562b91bf72ada1e
4601,candidate,41a468134f078d2de17d,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,13.547204458154738,e38d2dbee640507830d9713bdf301333ac686761365cd472da648acec195f7f3
