dataset_id,stage_order,stage,filter_rule,input_rows,removed_from_raw,output_rows,unique_cas,unique_smiles,unique_conditions,source_file,source_sha256,expected_column_spec,threshold_v1_ml,threshold_v2_ml,status,notes
4g,0,raw_csv,No filtering; source CSV as committed,4243,0,4243,222,217,143,dataset/dataset_4g.csv,d485d3d46a96458d1baac11b2a21cd33374b1be42ba2303e7ae5823cc8ee553a,Silica-CS 4g,60,120,observed,observed
4g,1,code_reader_compatible,column_specs matches; t1 != -1; t1 is not NaN,4243,14,4229,220,217,143,dataset/dataset_4g.csv,d485d3d46a96458d1baac11b2a21cd33374b1be42ba2303e7ae5823cc8ee553a,Silica-CS 4g,60,120,observed,reproduces current utils.py reader
4g,2,current_qgeognn_effective,reader-compatible and t1*flow/1200 <= 60 and t2*flow/1200 <= 120,4243,80,4163,220,217,142,dataset/dataset_4g.csv,d485d3d46a96458d1baac11b2a21cd33374b1be42ba2303e7ae5823cc8ee553a,Silica-CS 4g,60,120,observed,reproduces current Construct_dataset_* label thresholds
8g,0,raw_csv,No filtering; source CSV as committed,574,0,574,89,88,52,dataset/dataset_8g.csv,6bfe9c69ca5b32cb043af9d6cd2809c10bb2a7d27de279784b7e3783d021d5b9,Silica-CS 4g+4g,60,120,observed,observed
8g,1,code_reader_compatible,column_specs matches; t1 != -1; t1 is not NaN,574,0,574,89,88,52,dataset/dataset_8g.csv,6bfe9c69ca5b32cb043af9d6cd2809c10bb2a7d27de279784b7e3783d021d5b9,Silica-CS 4g+4g,60,120,observed,reproduces current utils.py reader
8g,2,current_qgeognn_effective,reader-compatible and t1*flow/1200 <= 60 and t2*flow/1200 <= 120,574,22,552,89,88,52,dataset/dataset_8g.csv,6bfe9c69ca5b32cb043af9d6cd2809c10bb2a7d27de279784b7e3783d021d5b9,Silica-CS 4g+4g,60,120,observed,reproduces current Construct_dataset_* label thresholds
25g,0,raw_csv,No filtering; source CSV as committed,569,0,569,79,78,48,dataset/dataset_25g.csv,6ef36adfa8a73d5b51560cd39776cae78c731a1107b3dfdf2b90661942ac5d06,Silica-CS 25g,60,120,observed,observed
25g,1,code_reader_compatible,column_specs matches; t1 != -1; t1 is not NaN,569,79,490,79,78,48,dataset/dataset_25g.csv,6ef36adfa8a73d5b51560cd39776cae78c731a1107b3dfdf2b90661942ac5d06,Silica-CS 25g,60,120,observed,reproduces current utils.py reader
25g,2,current_qgeognn_effective,reader-compatible and t1*flow/1200 <= 60 and t2*flow/1200 <= 120,569,161,408,79,78,48,dataset/dataset_25g.csv,6ef36adfa8a73d5b51560cd39776cae78c731a1107b3dfdf2b90661942ac5d06,Silica-CS 25g,60,120,observed,reproduces current Construct_dataset_* label thresholds
40g,0,raw_csv,No filtering; source CSV as committed,531,0,531,81,80,61,dataset/dataset_40g.csv,2d89921b4c84c720a7b3ae97e76d7a996a8f296c417ac42c29adf68d21574e0e,Silica-CS 40g,150,200,observed,observed
