split_mode,seed,config,delta_normalized_valid_vs_scratch,delta_normalized_test_vs_scratch,delta_test_mae_v1_vs_scratch,delta_test_mae_v2_vs_scratch
compound,42,scratch_lr1e-3,0.0,0.0,0.0,0.0
compound,42,head_only_lr1e-4,-0.12401238921455815,-0.014034615115772975,0.9061093330383301,-1.375969409942627
compound,42,last2_head_lr1e-4,-0.23767297067079385,-0.2131023875532344,-0.0967705249786377,-2.3387625217437744
compound,42,full_lr1e-4,-0.07952862499630986,-0.2774598190495343,-0.9606112241744995,-2.2820372581481934
compound,525,scratch_lr1e-3,0.0,0.0,0.0,0.0
compound,525,head_only_lr1e-4,-0.06486437989283156,-0.04538932346003072,-0.07341337203979492,-0.6500909328460693
compound,525,last2_head_lr1e-4,-0.27006326658232527,-0.12121728259540981,-0.6650577783584595,-0.7048218250274658
compound,525,full_lr1e-4,-0.13507455667251933,-0.06828140438240862,-0.18449711799621582,-0.043853759765625
compound,1101,scratch_lr1e-3,0.0,0.0,0.0,0.0
compound,1101,head_only_lr1e-4,-1.1163348687374919,-1.0948325704964126,-2.734959125518799,-3.1536788940429688
compound,1101,last2_head_lr1e-4,-1.0564996606602497,-1.2040136774522296,-3.4218926429748535,-2.8754539489746094
compound,1101,full_lr1e-4,-0.8529457198127778,-0.9670510542649496,-2.7262210845947266,-1.5554938316345215
row,42,scratch_lr1e-3,0.0,0.0,0.0,0.0
row,42,head_only_lr1e-4,-0.09729549642276614,-0.0969897569636704,0.28984570503234863,-0.7783474922180176
row,42,last2_head_lr1e-4,-0.31034945707136763,-0.007390274217891291,-0.24673771858215332,-0.7395429611206055
row,42,full_lr1e-4,-0.296157038293221,0.138684961816258,0.5357003211975098,0.5249595642089844
row,525,scratch_lr1e-3,0.0,0.0,0.0,0.0
row,525,head_only_lr1e-4,0.08740055327177965,-0.2875222308777735,0.14409899711608887,-0.9349510669708252
row,525,last2_head_lr1e-4,-0.01301733442671904,-0.39229121836744646,-0.5301210880279541,-0.9361865520477295
row,525,full_lr1e-4,-0.007367090425079714,-0.23521631561380862,-0.19144439697265625,-0.05971097946166992
row,1101,scratch_lr1e-3,0.0,0.0,0.0,0.0
row,1101,head_only_lr1e-4,-0.03216947948648996,-0.973575752860439,-1.0966479778289795,-2.295619487762451
row,1101,last2_head_lr1e-4,-0.2457758609400219,-0.8120294217357775,-0.8548307418823242,-1.638073444366455
row,1101,full_lr1e-4,-0.38082798273003604,-1.2043680243518111,-1.508009672164917,-1.7331128120422363
