split_mode,seed,reference_config,config,delta_normalized_valid_vs_reference,delta_normalized_test_vs_reference,delta_test_mae_v1_vs_reference,delta_test_mae_v2_vs_reference
compound,42,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
compound,42,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,-0.015058508950037464,0.011175971383284161,0.20322370529174805,0.15462779998779297
compound,42,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,0.002470547311902882,-0.017616152667680185,-0.12022948265075684,-0.18466663360595703
compound,525,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
compound,525,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,-0.010854348323388385,0.0009108599663817385,0.1372053623199463,-0.03970980644226074
compound,525,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,-0.009968955730540574,-0.0021943294603223307,0.11889231204986572,-0.07984185218811035
compound,1101,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
compound,1101,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,-0.03005940739825086,0.015180331556288507,0.05531597137451172,0.3147163391113281
compound,1101,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,0.01210117566619151,0.022886728667968148,0.08917629718780518,0.07412958145141602
row,42,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
row,42,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,0.004016886102254091,-0.05287600749692034,-0.0011401176452636719,-0.01524209976196289
row,42,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,-0.002965225771579344,0.05014491111246544,0.14944148063659668,0.02225971221923828
row,525,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
row,525,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,0.002918907139772553,0.008209352658198887,0.03679847717285156,0.0684821605682373
row,525,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,-0.010681994633350345,-0.011391416853932579,-0.06383442878723145,-0.11519360542297363
row,1101,last2_head_lr1e-4,last2_head_lr1e-4,0.0,0.0,0.0,0.0
row,1101,last2_head_lr1e-4,last2_head_equal_v2_lr1e-4,-0.041720786665270126,-0.00506497948978013,-0.004408597946166992,-0.038942813873291016
row,1101,last2_head_lr1e-4,last2_head_standardized_loss_lr1e-4,-0.037917059101900574,-0.05464397135412158,-0.09466218948364258,-0.25549793243408203
