outer_seed,strategy,target,target_nrmse,labels_required,labels_saved_vs_random_final
42,random,random_final_nrmse,0.6980222948315482,575.0,0.0
42,coverage,random_final_nrmse,0.6980222948315482,450.0,125.0
42,ensemble,random_final_nrmse,0.6980222948315482,,
42,hybrid,random_final_nrmse,0.6980222948315482,450.0,125.0
525,random,random_final_nrmse,0.5785907443722048,575.0,0.0
525,coverage,random_final_nrmse,0.5785907443722048,425.0,150.0
525,ensemble,random_final_nrmse,0.5785907443722048,425.0,150.0
525,hybrid,random_final_nrmse,0.5785907443722048,425.0,150.0
1101,random,random_final_nrmse,0.4761993310149879,575.0,0.0
1101,coverage,random_final_nrmse,0.4761993310149879,550.0,25.0
1101,ensemble,random_final_nrmse,0.4761993310149879,,
1101,hybrid,random_final_nrmse,0.4761993310149879,500.0,75.0
