round,strategy,seed,selected_total,selected_sample_ids,selected_unique_compounds,selected_mean_true_error_after_reveal,selected_mean_ensemble_uncertainty,selected_mean_quantile_width,selected_mean_latent_distance,batch_mean_pairwise_latent_distance,batch_min_pairwise_latent_distance,condition_distribution,best_epoch,hit_max_epoch,best_epoch_ge_490,hybrid_prefilter_count,hybrid_prefilter_fraction
1,coverage,42,25,"[""efd84dffe823b6298db6"", ""89d752b5a7f7c8d0b91e"", ""a5f9179bfb146ad70953"", ""aed6d224edcb21e5d658"", ""b37608f8c4a8ee4b8696"", ""0c5c35afb3a24375c153"", ""a17bcdddcf0799baeee2"", ""3bb1d388702c98c505de"", ""bef81d4dd93af26c12a9"", ""cb729a03dac0230812b1"", ""6defbf00ecb558b77d50"", ""a38fee52661fd3e3b7ea"", ""bd62986a3ea6d28161ec"", ""1ce749f818905d3c61d4"", ""0b247863fd6e8aaf44d8"", ""ebf38d80f4c5674cf120"", ""5b706e17e8412d02342f"", ""c76d0420b34df595c0c9"", ""2928443b881ac6713786"", ""27bac953781c17a3a74b"", ""16cee53cbe16b60fb395"", ""91b6bda771851a5c78ac"", ""95d1d257dfea69f178f8"", ""b51a88b6dc4049704214"", ""55200f8e501a16ffa0cf""]",18,1.4545802129285037,0.7470642072465832,2.0390076637268066,14.288832238980783,26.711110373648175,10.77490674176001,"{""loading_solvent_counts"": {""DCM"": 21, ""PE"": 4}, ""pe_ea_top_counts"": {""50/1"": 6, ""2/1"": 5, ""5/1"": 4, ""20/1"": 3, ""1/1"": 3, ""0/1"": 2, ""10/1"": 2}, ""mass_mean"": 119.54060000000001, ""loading_volume_mean"": 560.0}","[59, 185, 85]",False,False,,
2,coverage,42,25,"[""5df546d9e2f2a29dfc89"", ""a1dc71bed9d8f372c9e5"", ""66454b90cefcad2e4125"", ""aa83ae83c0fa0cc37777"", ""b66aa101a244885dd587"", ""2d63ab3869184cde52bf"", ""1e971da91b3a8229f0e0"", ""b7cf293311f83700cd9a"", ""4466eabae9624380fbc6"", ""37c15d90032e66347ed6"", ""129036e0bccc4ff7e848"", ""d7b688cd2da99329d657"", ""741f33ecf2e66f9958fd"", ""5442611ea6789d42bc86"", ""3fe8b9db9fbe9d0dedc4"", ""8ab3606b0d15babbd1c7"", ""2d178efe0181baca2bd5"", ""d3ffe87bbab76e5d5d56"", ""cf8ab33c25ad391a584c"", ""c3add4f9b8eb5e002281"", ""18a189c89f59ac1d5a9f"", ""9919de6ba79bfdeb065e"", ""b51b5dbcd2a38b174973"", ""8db24ae10df4095ada47"", ""0f06772820e6693753e3""]",23,1.6023762169034972,0.5380412830523496,1.7257473468780518,10.444385721602302,19.782182923972176,8.33118949634421,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""50/1"": 11, ""0/1"": 4, ""10/1"": 3, ""5/1"": 3, ""20/1"": 2, ""1/1"": 2}, ""mass_mean"": 134.5064, ""loading_volume_mean"": 452.0}","[181, 127, 114]",False,False,,
3,coverage,42,25,"[""7954bf73f74c7fbcecb2"", ""70cba7a21b5a01fb8e73"", ""8e17cb06a37c48cc9ab5"", ""18eb8ff2b9699bbdb4f1"", ""9ed7c1fb1c2cc499bbf9"", ""d54c93a11164b4abac6e"", ""9f3b75bc3a2c4004a893"", ""5885d427a26f03e522f3"", ""f402144b8672dd5ab2ab"", ""0f8ae9a2f5ed927d4a08"", ""cace6f00c46aea69fe39"", ""fc27fa779102c4aeb8ab"", ""eb3bc3fba39e57adbc2f"", ""c096c324a71974b6ab37"", ""2a7062ac85d66260b3be"", ""9f2d5137dc74e98c0f59"", ""3163a9b58f1a52a1992c"", ""6fbc3a0669e9db3520ba"", ""44c8b389a6faf44f1f4c"", ""222a68fc192f66c1c080"", ""265b6eb5a10a34c937b1"", ""e55c8ef232b46d3a1ca9"", ""ffffcd6f3b9393846ab4"", ""87265e4a49086b6ac4eb"", ""309a91add8b07c02e65b""]",23,1.3979011527952792,0.7474769266563489,1.0601063966751099,9.198088382706755,18.804299092791776,7.06994164111356,"{""loading_solvent_counts"": {""DCM"": 20, ""PE"": 5}, ""pe_ea_top_counts"": {""50/1"": 7, ""0/1"": 6, ""20/1"": 6, ""5/1"": 2, ""10/1"": 2, ""2/1"": 1, ""1/1"": 1}, ""mass_mean"": 118.67380000000001, ""loading_volume_mean"": 364.0}","[255, 170, 172]",False,False,,
4,coverage,42,25,"[""715cf6b265c19d80e943"", ""2b266fc41757f88e8b09"", ""1ae3618ec277b0463686"", ""19229d505f75d05a0bcb"", ""9249ed2c527f70995033"", ""614873124b33029a924c"", ""a47a3987d45e7c542d38"", ""52348febee6695107c49"", ""7ac90b210e42d27c5a04"", ""3b2c663a28a9f32bd1d3"", ""fbfb34ddee14b1ea50b1"", ""810b16f35a3a86f451ce"", ""ce8391d5c053e7fad6e4"", ""86fb9a8fd6633397d670"", ""716d04ed1943f0708912"", ""302e458c5ed2285ca328"", ""a44a22945d76c02aa6a7"", ""fd3a369b0bc0681cddd7"", ""26d65d4171bcd03f7ee3"", ""34b6f9955044e17d887e"", ""486e498e45d084ced568"", ""23ef03f3e75e40b20095"", ""74c8fcd8ac3f6caedcd2"", ""6a39aff909ea35989c74"", ""0ac58929e586a4da4056""]",23,1.0542454901412972,0.9502763795962562,1.1454315185546875,8.434538236870463,16.009319726335658,6.484996178853031,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""50/1"": 8, ""5/1"": 5, ""10/1"": 5, ""1/1"": 2, ""20/1"": 2, ""2/1"": 2, ""0/1"": 1}, ""mass_mean"": 100.79199999999999, ""loading_volume_mean"": 348.0}","[259, 170, 225]",False,False,,
5,coverage,42,25,"[""6553b9607d6093f257c7"", ""419f6eb4080dcb9d293b"", ""b213664a8c509420288b"", ""1ab945e238082f589bc3"", ""51f4126a3aadb3239225"", ""aa0f0e8128794bdd469d"", ""c82167c626a1495ef750"", ""af0f017d8214d08aa24f"", ""d05a91dc8e32e9edd7d0"", ""09236f36e11ff0bb70fe"", ""0634486d18ed767b5150"", ""1b4be0410f927930d56e"", ""7c0c324643799c918828"", ""61b73b8065ae2ece22eb"", ""9aadc8feed825d13a5d7"", ""67b03e9099ef99d26eb1"", ""7b42519983cf93dd7efd"", ""67fa39740fcf946a3154"", ""0dccaa29989ef4956786"", ""7bd4e959319ef8b7b0fe"", ""c6bd64a77e94e93e5018"", ""3da92f4c69a3c88d3585"", ""0007449b058916cdcad1"", ""6b8fefaf0647d2239858"", ""fd11ee7c408d95a1a8e6""]",23,0.7905082756114485,0.4905643729394068,1.3037781715393066,7.248709323541163,15.999811362500095,5.949281071222314,"{""loading_solvent_counts"": {""DCM"": 20, ""EA"": 1, ""PE"": 4}, ""pe_ea_top_counts"": {""50/1"": 7, ""0/1"": 4, ""20/1"": 4, ""1/1"": 4, ""10/1"": 3, ""2/1"": 2, ""5/1"": 1}, ""mass_mean"": 124.13199999999999, ""loading_volume_mean"": 404.0}","[189, 175, 206]",False,False,,
6,coverage,42,25,"[""b0571346163b8f77528d"", ""87feacbcbae05abe90a8"", ""45a1b11ae63f2dab2e48"", ""c6e28d5262ab7fb32107"", ""61da71e94577a4d66028"", ""56151359aadfa5411fc6"", ""25b1f8000dd22874bb29"", ""8ba04fd976f536e8340b"", ""2cfa393cb79664e100ce"", ""c698067a7f9c576a34a2"", ""c3feac62808af7335473"", ""2dbfdf9c2d5defd09f7a"", ""0054790b9c9f40026ebe"", ""97297c71a28a2ccbdeeb"", ""fd1d673cc647d6745303"", ""408ce1a4e23492a3ef31"", ""53ceb391785085223695"", ""20acd2ae49790ab82053"", ""534afc6bd39a8f7923d8"", ""0a79a24271d119590ae6"", ""0aa824ae2e557bdaf840"", ""be66ef4a8fe93b0cc2bb"", ""61764a2e9f71f1caa18e"", ""2cc254396123c76b9a13"", ""b4351e5f05f6d477a6c0""]",24,0.7196040911101013,0.3657581197275587,0.7763805985450745,6.176462867822387,11.677922042906395,5.5137821065027195,"{""loading_solvent_counts"": {""DCM"": 21, ""PE"": 4}, ""pe_ea_top_counts"": {""1/1"": 7, ""2/1"": 5, ""50/1"": 5, ""5/1"": 4, ""10/1"": 3, ""0/1"": 1}, ""mass_mean"": 118.296599999872, ""loading_volume_mean"": 392.0}","[245, 157, 161]",False,False,,
7,coverage,42,25,"[""143bf510fe2028583763"", ""73502a52708e4f9c2391"", ""4c46ceefd6147b1e0a7a"", ""483022b02f8329c323ac"", ""fc452a2ea628a6c49dee"", ""5dd7416efdd0bd156d61"", ""8f5452ff0e84ab2e2057"", ""7eb97a2a0856e78a4b76"", ""b6229f0445560a4a54ed"", ""b7953b4cf8c561ff4cfe"", ""22f82413c75481d74e9b"", ""74701496b6fc5465eea7"", ""f4331eb64b6774466836"", ""9fb05d784e7952bd4741"", ""3f1a96aa336ea0741b5a"", ""786c15055f363ee07a8c"", ""99d252a2e394a175ecba"", ""6ce607e4fe208a186dff"", ""52144e7fa2b21ace65ff"", ""4e93e36ab850bab3d594"", ""c63dec7fc76d8e529022"", ""b1801204c2c4a34a9278"", ""19732d5797039e3465b6"", ""dc8da611e77ae1bb11f2"", ""df6457ca86c98c073bf6""]",23,0.9053583235098293,0.8180288722451116,1.1130932569503784,6.508617236755563,12.422534683626333,5.563083976436125,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""2/1"": 6, ""50/1"": 6, ""10/1"": 4, ""1/1"": 4, ""5/1"": 3, ""20/1"": 1, ""0/1"": 1}, ""mass_mean"": 123.58059999999999, ""loading_volume_mean"": 352.0}","[200, 166, 141]",False,False,,
8,coverage,42,25,"[""e6e78489d1da4066c07e"", ""36b45fbdbace5950c108"", ""686562279e2bfb73ef1e"", ""5b1b0390c90ceb580c5e"", ""72231b208c5287c32d70"", ""376ba323d8d487f80cee"", ""de3442604a546992b1e1"", ""6f9d141f9a5e7238a801"", ""b5aa0bae2967975bdf4b"", ""81507d463506a9e65e73"", ""b86ace0ccafe0af8ceec"", ""912c3bd62a46978c8a22"", ""48679ae48dd485ffb7a6"", ""7d65ab8e0e7b962da35f"", ""b149b054ae725437b4e9"", ""6c27c0ab37bb8d812822"", ""7c6e7b244de393e8554d"", ""2554340571aee1a00fef"", ""067260cef0fb89f79291"", ""122fbec0df9ecf1c5d89"", ""d01d365af220241485ec"", ""fea75df17d0bf593243f"", ""430318f87f3b5a86d927"", ""c7e762106a9ec0d9ea75"", ""9fde4f980246629c5b0d""]",24,0.48417673407879325,0.16134782087877922,0.9685657024383545,5.524313548256328,12.117190176081532,5.414619433161093,"{""loading_solvent_counts"": {""DCM"": 19, ""PE"": 6}, ""pe_ea_top_counts"": {""5/1"": 5, ""50/1"": 5, ""20/1"": 4, ""0/1"": 4, ""1/1"": 3, ""10/1"": 2, ""100/1"": 1, ""2/1"": 1}, ""mass_mean"": 124.69320000000002, ""loading_volume_mean"": 376.0}","[171, 169, 156]",False,False,,
1,ensemble,42,25,"[""ad833f34f6b91872362d"", ""b4e0e9dc92fca2c88b90"", ""fe66b2381d33aa2ea3a8"", ""80f546c47198fa7c6dbf"", ""1b1a9ec85268aa66d327"", ""334f7f55dcbf278e47ec"", ""5d6d4ac0c1dfacbde53d"", ""8e7636d7a60a6058305a"", ""66454b90cefcad2e4125"", ""72113bad4beb4e7b8852"", ""98dd7f94e58da879b609"", ""08155ffdcb0d27576050"", ""2aa2754666d0f055cb00"", ""37c15d90032e66347ed6"", ""68ca46900cfea89e5164"", ""9c10e0827e86bb3c7681"", ""f7d57d8bb988f7016502"", ""9e3f598e00375ec93d9b"", ""17902fa9c7f8ea9b456e"", ""3774a4dac6dd0f01d48d"", ""a60552f4d1a5ced4641f"", ""62d1db91c3839882736a"", ""63cda70afb5b740e4fa4"", ""b51a88b6dc4049704214"", ""249b884b29177edb9df5""]",9,2.6040594229039944,3.2039769412561037,2.43575382232666,10.611197945399812,22.852506057056697,0.0,"{""loading_solvent_counts"": {""DCM"": 13, ""PE"": 12}, ""pe_ea_top_counts"": {""50/1"": 11, ""5/1"": 6, ""20/1"": 4, ""0/1"": 3, ""10/1"": 1}, ""mass_mean"": 113.046, ""loading_volume_mean"": 284.0}","[59, 185, 85]",False,False,,
2,ensemble,42,25,"[""9ffee2813aef5c26f96f"", ""efd84dffe823b6298db6"", ""2f48e798c7917fb7d2ae"", ""79cb1738d945317e5bfa"", ""a38fee52661fd3e3b7ea"", ""7d406784048b9e313d67"", ""aed6d224edcb21e5d658"", ""70cba7a21b5a01fb8e73"", ""8fa8d7ec035c6a829dc4"", ""ce9886eee330bc401615"", ""ff8fce8e929a75d6fb8d"", ""48679ae48dd485ffb7a6"", ""34a20bc9c1f8c8bdf357"", ""4466eabae9624380fbc6"", ""6cf24e264547d6bffd62"", ""1e971da91b3a8229f0e0"", ""278eae367da048448147"", ""4508cb72ef4489429d15"", ""ec53cb944de53e46b911"", ""93f10a8edf06f7acae26"", ""ffffcd6f3b9393846ab4"", ""13aa7f454204d054a196"", ""4003f255f44e82ee0975"", ""9948433906d4afa41345"", ""59e942d4a3b5dfc412a2""]",11,0.819673916064687,3.521389996619815,2.2889113426208496,9.633225778805558,26.550721611351722,0.8693950080739887,"{""loading_solvent_counts"": {""DCM"": 18, ""PE"": 7}, ""pe_ea_top_counts"": {""50/1"": 9, ""0/1"": 8, ""20/1"": 5, ""10/1"": 2, ""5/1"": 1}, ""mass_mean"": 126.27799999999999, ""loading_volume_mean"": 436.0}","[138, 186, 101]",False,False,,
