outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,coverage,1,1,efd84dffe823b6298db6,C/C(=N\O)c1ccccc1
42,coverage,1,2,89d752b5a7f7c8d0b91e,c1ccc(CNCc2ccccc2)cc1
42,coverage,1,3,a5f9179bfb146ad70953,O=Cc1ccc([N+](=O)[O-])cc1
42,coverage,1,4,aed6d224edcb21e5d658,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,coverage,1,5,b37608f8c4a8ee4b8696,O=C(O)/C=C/c1ccccc1
42,coverage,1,6,0c5c35afb3a24375c153,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,coverage,1,7,a17bcdddcf0799baeee2,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,coverage,1,8,3bb1d388702c98c505de,Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1
42,coverage,1,9,bef81d4dd93af26c12a9,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,1,10,cb729a03dac0230812b1,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
42,coverage,1,11,6defbf00ecb558b77d50,c1ccc(CNCc2ccccc2)cc1
42,coverage,1,12,a38fee52661fd3e3b7ea,C/C(=N\O)c1ccccc1
42,coverage,1,13,bd62986a3ea6d28161ec,CCCCCCCCCCCCc1cc(Br)sc1Br
42,coverage,1,14,1ce749f818905d3c61d4,c1ccc(-c2ccccn2)cc1
42,coverage,1,15,0b247863fd6e8aaf44d8,O=C(O)/C=C/c1ccccc1
42,coverage,1,16,ebf38d80f4c5674cf120,c1ccc(CNCc2ccccc2)cc1
42,coverage,1,17,5b706e17e8412d02342f,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,1,18,c76d0420b34df595c0c9,CCOC(=O)c1cccnc1
42,coverage,1,19,2928443b881ac6713786,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,coverage,1,20,27bac953781c17a3a74b,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,1,21,16cee53cbe16b60fb395,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,coverage,1,22,91b6bda771851a5c78ac,OCCc1cccc2ccccc12
42,coverage,1,23,95d1d257dfea69f178f8,Oc1ccc(I)cc1
42,coverage,1,24,b51a88b6dc4049704214,Cc1cc(C)cc(C#N)c1
42,coverage,1,25,55200f8e501a16ffa0cf,CSc1ccc(C(C)=O)cc1
42,coverage,2,1,5df546d9e2f2a29dfc89,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
42,coverage,2,2,a1dc71bed9d8f372c9e5,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,coverage,2,3,66454b90cefcad2e4125,Fc1cc(F)c(F)c(F)c1F
42,coverage,2,4,aa83ae83c0fa0cc37777,O=S(c1ccccc1)c1ccccc1
42,coverage,2,5,b66aa101a244885dd587,Oc1ccc(I)cc1
42,coverage,2,6,2d63ab3869184cde52bf,COc1ccc(C(=O)c2ccccc2)cc1
42,coverage,2,7,1e971da91b3a8229f0e0,O=C(O)/C=C/c1ccccc1
42,coverage,2,8,b7cf293311f83700cd9a,OCc1ccc2ccccc2c1
42,coverage,2,9,4466eabae9624380fbc6,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,2,10,37c15d90032e66347ed6,CCOC(=O)CC(=O)OCC
42,coverage,2,11,129036e0bccc4ff7e848,CC(Br)C(=O)O
42,coverage,2,12,d7b688cd2da99329d657,O=Cc1ccccc1O
42,coverage,2,13,741f33ecf2e66f9958fd,N#Cc1ccccc1F
42,coverage,2,14,5442611ea6789d42bc86,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,2,15,3fe8b9db9fbe9d0dedc4,Oc1ccc(I)cc1
42,coverage,2,16,8ab3606b0d15babbd1c7,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,coverage,2,17,2d178efe0181baca2bd5,COc1ccc(C=O)cc1
42,coverage,2,18,d3ffe87bbab76e5d5d56,CC(=O)CC(=O)c1ccccc1
42,coverage,2,19,cf8ab33c25ad391a584c,CSc1ccc(C=O)cc1
42,coverage,2,20,c3add4f9b8eb5e002281,C=CC(=O)OC1CCCCC1
42,coverage,2,21,18a189c89f59ac1d5a9f,c1ccc(CNCc2ccccc2)cc1
42,coverage,2,22,9919de6ba79bfdeb065e,C=CC(=O)OCCCCCCCCCCCC
42,coverage,2,23,b51b5dbcd2a38b174973,CCOC(=O)c1cccnc1
42,coverage,2,24,8db24ae10df4095ada47,O=C(CC(=O)c1ccccc1)c1ccccc1
42,coverage,2,25,0f06772820e6693753e3,c1ccc(-c2ccccn2)cc1
42,coverage,3,1,7954bf73f74c7fbcecb2,OCCc1cccc2ccccc12
42,coverage,3,2,70cba7a21b5a01fb8e73,c1ccc(CNCc2ccccc2)cc1
42,coverage,3,3,8e17cb06a37c48cc9ab5,C=CC(=O)OCCCCCCCCCCCC
42,coverage,3,4,18eb8ff2b9699bbdb4f1,COC(=O)c1ccc(Cl)cc1
42,coverage,3,5,9ed7c1fb1c2cc499bbf9,OC1(c2ccccc2)CCCCC1
42,coverage,3,6,d54c93a11164b4abac6e,CSc1ccc(C=O)cc1
42,coverage,3,7,9f3b75bc3a2c4004a893,COC(=O)c1ccc(I)cc1
42,coverage,3,8,5885d427a26f03e522f3,OC1(c2ccccc2)CCCCC1
42,coverage,3,9,f402144b8672dd5ab2ab,COC(=O)CC(C)=O
42,coverage,3,10,0f8ae9a2f5ed927d4a08,CCCCCCCCCCCCc1cc(Br)sc1Br
42,coverage,3,11,cace6f00c46aea69fe39,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,coverage,3,12,fc27fa779102c4aeb8ab,COc1ccc(C=O)cc1
42,coverage,3,13,eb3bc3fba39e57adbc2f,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,coverage,3,14,c096c324a71974b6ab37,CC(=O)c1ccc(F)cc1
42,coverage,3,15,2a7062ac85d66260b3be,Oc1ccc(OC(F)(F)F)cc1
42,coverage,3,16,9f2d5137dc74e98c0f59,CC(C)=CCC/C(C)=C/C=O
42,coverage,3,17,3163a9b58f1a52a1992c,O=C1CCc2ccccc2O1
42,coverage,3,18,6fbc3a0669e9db3520ba,C=C(C)C(=O)OCCOC(=O)CC(C)=O
42,coverage,3,19,44c8b389a6faf44f1f4c,CC(C=O)Cc1ccc2c(c1)OCO2
42,coverage,3,20,222a68fc192f66c1c080,c1ccc2ncccc2c1
42,coverage,3,21,265b6eb5a10a34c937b1,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
42,coverage,3,22,e55c8ef232b46d3a1ca9,COc1ccc(C=O)c(O)c1
42,coverage,3,23,ffffcd6f3b9393846ab4,COC(=O)CC(=O)C1CC1
42,coverage,3,24,87265e4a49086b6ac4eb,O=C1CCc2ccccc2O1
42,coverage,3,25,309a91add8b07c02e65b,C=CC(=O)OCCN(CC)CC
42,coverage,4,1,715cf6b265c19d80e943,O=S(c1ccccc1)c1ccccc1
42,coverage,4,2,2b266fc41757f88e8b09,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,coverage,4,3,1ae3618ec277b0463686,c1ccc2ncccc2c1
42,coverage,4,4,19229d505f75d05a0bcb,CC(C)(O)CCc1ccccc1
42,coverage,4,5,9249ed2c527f70995033,CCOC(=O)C(C(=O)OCC)c1ccccc1
42,coverage,4,6,614873124b33029a924c,OCc1ccc2ccccc2c1
42,coverage,4,7,a47a3987d45e7c542d38,COc1ccc(OC)cc1
42,coverage,4,8,52348febee6695107c49,O=C1CCCc2ccccc21
42,coverage,4,9,7ac90b210e42d27c5a04,COC(=O)CC(=O)C1CC1
42,coverage,4,10,3b2c663a28a9f32bd1d3,CC(=O)c1ccc([N+](=O)[O-])cc1
42,coverage,4,11,fbfb34ddee14b1ea50b1,OC1(c2ccccc2)CCCCC1
42,coverage,4,12,810b16f35a3a86f451ce,CCOC(=O)c1ccc(OC)cc1
42,coverage,4,13,ce8391d5c053e7fad6e4,CCOC(=O)/C=C(/C)N
42,coverage,4,14,86fb9a8fd6633397d670,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,coverage,4,15,716d04ed1943f0708912,Cc1ccc(CO)cc1
42,coverage,4,16,302e458c5ed2285ca328,COC(=O)c1ccccc1N
