strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
coverage,42,0,375,318,57,2.982326768152552,5.919407965231733,0.47190487944720194,6.327665472122966,11.108082806193407,0.5146419794827917,0.8389539105408669,417
coverage,42,1,400,343,57,2.7363963232795108,5.484270454434632,0.5466920485847322,5.371845722014006,9.93317547258316,0.6118851959778442,0.7649789422833158,417
coverage,42,2,425,368,57,2.736030738576711,5.786672822762154,0.49532305444069447,5.430517876940093,10.886323927852656,0.5338276623680438,0.8210796166939713,417
coverage,42,3,450,393,57,2.4447705847772956,4.9083353570215165,0.6369018256947683,4.4412667052751535,8.846625725383603,0.6921498982672691,0.6831536863611555,417
coverage,42,4,475,418,57,2.185013351860664,4.415465563326096,0.7061615572907757,3.9356212922347056,7.871150927935574,0.7562972255016653,0.6115630506633037,417
coverage,42,5,500,443,57,2.1440508763033517,4.346725986501136,0.7152392443484299,3.8684590731040656,7.870967426265242,0.7563085883494401,0.6062430737379493,417
coverage,42,6,525,468,57,2.149713979659321,4.411548431844805,0.7066826770901229,3.750480428904557,7.593514754622421,0.7731860949737386,0.6017281521973497,417
coverage,42,7,550,493,57,2.1025075466741474,4.171743290389252,0.7377045470558263,3.6673943917833265,7.287209872808576,0.7911153395727271,0.5726744574326275,417
coverage,42,8,575,518,57,1.917373781966553,3.925634850026223,0.7677394711548612,3.443221818259199,7.01861410460908,0.8062299179358174,0.5444281768893812,417
ensemble,42,0,375,318,57,2.982326768152552,5.919407965231733,0.47190487944720194,6.327665472122966,11.108082806193407,0.5146419794827917,0.8389539105408669,417
ensemble,42,1,400,343,57,3.013651321100271,5.78044563615351,0.4964086615361494,5.897151456732838,10.845273502116353,0.5373367426996878,0.8191888588989037,417
ensemble,42,2,425,368,57,2.7343881127054837,5.59024830507309,0.5290033622837518,5.41356379782315,10.413482133165815,0.5734441072209104,0.7896615909340121,417
ensemble,42,3,450,393,57,2.7369572752556928,5.420375256699164,0.5571931629465571,5.318653024578932,10.077806826338485,0.6005006726169909,0.76500537986782,417
ensemble,42,4,475,418,57,2.6564721397530264,5.275132848672704,0.5806058074813016,5.219439415310831,9.86316500013525,0.6173368955676839,0.7464086049844603,417
ensemble,42,5,500,443,57,2.6940063527092413,5.277614996088569,0.5802110333001135,5.128210107708388,9.596383411342163,0.6377576886967549,0.7374410518316254,417
