outer_seed,strategy,target,target_nrmse,labels_required,labels_saved_vs_random_final
42,random,random_final_nrmse,0.5764844760209249,375.0,200.0
42,coverage,random_final_nrmse,0.5764844760209249,375.0,200.0
42,ensemble,random_final_nrmse,0.5764844760209249,375.0,200.0
42,hybrid,random_final_nrmse,0.5764844760209249,375.0,200.0
525,random,random_final_nrmse,0.9229830416407091,375.0,200.0
525,coverage,random_final_nrmse,0.9229830416407091,375.0,200.0
525,ensemble,random_final_nrmse,0.9229830416407091,375.0,200.0
525,hybrid,random_final_nrmse,0.9229830416407091,375.0,200.0
1101,random,random_final_nrmse,0.841689458344275,550.0,25.0
1101,coverage,random_final_nrmse,0.841689458344275,425.0,150.0
1101,ensemble,random_final_nrmse,0.841689458344275,,
1101,hybrid,random_final_nrmse,0.841689458344275,450.0,125.0
