strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
coverage,42,0,375,318,57,2.85700177653746,4.978126186289605,0.4829712925257693,5.436430760984751,8.830053784131596,0.5589226639823719,0.5662266601847565,413
coverage,42,1,400,343,57,2.695384502006789,5.231029392739663,0.42910376858827237,5.305407530266591,9.536442233542619,0.48552910577659325,0.602583190697065,413
coverage,42,2,425,368,57,2.933102360495259,5.665181905215414,0.3304075097591549,5.576067054993304,10.879231999822615,0.3304476764642986,0.6688276933390662,413
coverage,42,3,450,393,57,3.2503648552036366,6.0918084045439995,0.225760495111187,6.569802095829374,12.242487605529506,0.15213366612397516,0.7352118253761906,413
coverage,42,4,475,418,57,3.023357997008444,5.918243873034222,0.269250427626208,6.048320670431905,11.739215718804527,0.22041008625666247,0.7097164659526884,413
coverage,42,5,500,443,57,2.9221577222930315,5.689352303598283,0.32468171222387077,5.578972868923222,10.755808150132486,0.3455535150219189,0.6666804504229722,413
coverage,42,6,525,468,57,2.948813707443941,5.40540889055633,0.390407017611733,5.616420964832936,9.875187002017922,0.44833084544359436,0.6232843291551302,413
coverage,42,7,550,493,57,3.3488674817171606,6.316705887410204,0.16753847961854207,6.468611853484941,12.205911376898403,0.15719234827950712,0.747969627860633,413
coverage,42,8,575,518,57,3.4368323586873473,6.355927880249355,0.15716846435101006,6.358345489871415,11.8755020820657,0.20220372281879617,0.740653794499075,413
ensemble,42,0,375,318,57,2.85700177653746,4.978126186289605,0.4829712925257693,5.436430760984751,8.830053784131596,0.5589226639823719,0.5662266601847565,413
ensemble,42,1,400,343,57,2.8271247754470297,5.158822106598365,0.44475589037821617,5.508213187688007,9.410813628569858,0.4989946187351678,0.5944422767845446,413
ensemble,42,2,425,368,57,3.022858900827588,5.495812089208045,0.3698461329959227,5.426938546252309,9.913843036645497,0.4440034174066242,0.6299837500711304,413
ensemble,42,3,450,393,57,2.9854789663457986,5.600108677063892,0.34570173936927073,5.735672846833384,10.378741333178409,0.39063511847386756,0.6500881578070811,413
ensemble,42,4,475,418,57,3.080787605292572,5.724447864900628,0.31632442529474847,5.830082943402923,10.507458968913944,0.37542664803788506,0.6615269630494691,413
ensemble,42,5,500,443,57,3.356714323357866,6.129914049960541,0.2160441128043904,6.536773791632602,11.79922565696305,0.21241931080961352,0.7245044732017085,413
ensemble,42,6,525,468,57,3.46127211618462,6.295224141048203,0.17319089399947296,6.465166382562547,11.47687122862661,0.254864829204995,0.7251822231165044,413
ensemble,42,7,550,493,57,3.729835574313265,6.977635590412528,-0.015779454957945527,7.413694825324456,13.772527268223847,-0.07303855547426119,0.8347548798995564,413
ensemble,42,8,575,518,57,3.5196862297735456,6.78118959245527,0.04061123312003978,6.92953405318672,13.393973708277002,-0.01486185517472105,0.8115241678428065,413
hybrid,42,0,375,318,57,2.85700177653746,4.978126186289605,0.4829712925257693,5.436430760984751,8.830053784131596,0.5589226639823719,0.5662266601847565,413
hybrid,42,1,400,343,57,2.7839962300714447,5.420531268831872,0.38699140526180087,5.192664511344239,9.85874959914747,0.45016584081578537,0.6237306102424706,413
hybrid,42,2,425,368,57,3.0750191390319177,5.698859425776319,0.32242286185297064,5.778401741137708,10.706357319401816,0.3515574388784797,0.6658092533831674,413
hybrid,42,3,450,393,57,3.1598294146413086,6.275585281479596,0.17834154783194567,6.168668444528034,12.369659219992954,0.1344273698394528,0.7502614686019415,413
hybrid,42,4,475,418,57,3.0886607443449288,6.29245892832714,0.1739170955995526,5.980848033972764,12.496157006081857,0.11663336560928794,0.7550240796355292,413
hybrid,42,5,500,443,57,2.8661817047266926,5.668257780695396,0.3296802101681656,5.7888806792975815,11.238737370266767,0.28546568489217483,0.6796022234820909,413
