sample_id,selection
924106530353757625ba,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
4bc0dc84991def63aa1b,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c514f60c28973fc116c5,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
bd93eaa60288fd0d5e89,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
aeef2128392508cc81cc,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
41a468134f078d2de17d,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
1fe1163f7d97c16f3822,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2f612d3ec5e270672ad1,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
db51f6df02555cb9c264,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a2eeeea4e6525c9d22d4,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
60a000cb56517513c4d2,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
6278b7d64a22dbe3844e,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
99dd4a9a47de5c84b7c0,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
6936556d392803de12ed,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
deac65153d9204a230ec,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
d078d930aa37448ec4aa,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
49668be051b44a819f00,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
7a0a82051f50d5b0c89c,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
1254297404cc9db52ee2,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
80b4e33a8434ac29ed52,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
4699975b36aa2351be18,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
27b234a05f8c66fd059f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
a9a623a9853c6b493ce4,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b3409bbbf3b06d73afca,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
71577790a52cb379d81f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
0279fb0f7dba4b54a816,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
509e53644c411798f5b0,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c7bc53c45a1962a88ec3,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
12e11e8eaee71fc57209,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
b7770c04c72527e1d9f6,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
02c141e2551937d10f4e,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
2e684264400b651dae88,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
5729cc87eb48a75655ad,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
6950f8ebe95298defec5,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
4afc7ef2732850bea176,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
ffcab07e0d31056e0d4a,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
167f49f748fa35bdb29e,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
c00e01085f35d19cd90f,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
f38afd5febe30c01c852,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
99398d649f02f80651f1,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
1bd5bb3744b78ada7307,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
4768b747981033fbdf34,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
e7e3cdff8a4b43574b19,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
3545611fd9950a160288,"SHA256(D44-probe:sample_id), first 100 from three-seed U0 intersection"
