outer_seed,strategy,member_seed,transition,absolute_trainable_parameter_L2_update,relative_trainable_parameter_L2_update,function_update_mean_standardized_abs
42,pretrained_random,42,source_to_round0,0.9365346650771468,0.02102609331548513,
42,pretrained_random,42,round0_to_round1,0.3670728908010629,0.008242053421979778,0.09968276128217479
42,pretrained_random,525,source_to_round0,0.9391721794829121,0.021116509993883825,
42,pretrained_random,525,round0_to_round1,0.3615615800436359,0.008128746660924066,0.08201841403391608
42,pretrained_random,1101,source_to_round0,0.850529397698317,0.019151978758422467,
42,pretrained_random,1101,round0_to_round1,0.34888015551745055,0.007854513969460629,0.10908581831858555
42,pretrained_random,ensemble,source_to_round0,,,1.0407393403011769
42,pretrained_random,ensemble,round0_to_round1,,,0.062256325569557715
42,pretrained_coverage,42,source_to_round0,0.9365346650771468,0.02102609331548513,
42,pretrained_coverage,42,round0_to_round1,2.061006371527954,0.04627670700525867,0.3048194104061205
42,pretrained_coverage,525,source_to_round0,0.9391721794829121,0.021116509993883825,
42,pretrained_coverage,525,round0_to_round1,1.9308596325665324,0.04341022292535624,0.2935756294127569
42,pretrained_coverage,1101,source_to_round0,0.850529397698317,0.019151978758422467,
42,pretrained_coverage,1101,round0_to_round1,1.2994319262828036,0.02925476286323457,0.18761322134443578
42,pretrained_coverage,ensemble,source_to_round0,,,1.0407393403011769
42,pretrained_coverage,ensemble,round0_to_round1,,,0.20507672864433255
42,pretrained_ensemble,42,source_to_round0,0.9365346650771468,0.02102609331548513,
42,pretrained_ensemble,42,round0_to_round1,1.0775762579890105,0.024195306455948095,0.3234834378653706
42,pretrained_ensemble,525,source_to_round0,0.9391721794829121,0.021116509993883825,
42,pretrained_ensemble,525,round0_to_round1,0.9092250519493459,0.020441497418419767,0.5700552482360508
42,pretrained_ensemble,1101,source_to_round0,0.850529397698317,0.019151978758422467,
42,pretrained_ensemble,1101,round0_to_round1,1.0424274666125193,0.02346869252713327,0.19504792327252268
42,pretrained_ensemble,ensemble,source_to_round0,,,1.0407393403011769
42,pretrained_ensemble,ensemble,round0_to_round1,,,0.30981830813192235
42,pretrained_hybrid,42,source_to_round0,0.9365346650771468,0.02102609331548513,
42,pretrained_hybrid,42,round0_to_round1,2.284872297848805,0.05130326976795915,0.3392070822787378
42,pretrained_hybrid,525,source_to_round0,0.9391721794829121,0.021116509993883825,
42,pretrained_hybrid,525,round0_to_round1,1.4898431410238222,0.03349514474529187,0.49908803698134996
42,pretrained_hybrid,1101,source_to_round0,0.850529397698317,0.019151978758422467,
42,pretrained_hybrid,1101,round0_to_round1,1.8664077725006012,0.0420193745329909,0.25423972292591296
42,pretrained_hybrid,ensemble,source_to_round0,,,1.0407393403011769
42,pretrained_hybrid,ensemble,round0_to_round1,,,0.2681403829957862
42,pretrained_quantile_width,42,source_to_round0,0.9365346650771468,0.02102609331548513,
42,pretrained_quantile_width,42,round0_to_round1,1.629269200978215,0.03658271730157925,0.42882534761087
42,pretrained_quantile_width,525,source_to_round0,0.9391721794829121,0.021116509993883825,
42,pretrained_quantile_width,525,round0_to_round1,1.221900674082235,0.02747117385433514,0.7775455310957775
42,pretrained_quantile_width,1101,source_to_round0,0.850529397698317,0.019151978758422467,
42,pretrained_quantile_width,1101,round0_to_round1,1.6858304955354273,0.03795394770357877,0.30869826612688017
42,pretrained_quantile_width,ensemble,source_to_round0,,,1.0407393403011769
42,pretrained_quantile_width,ensemble,round0_to_round1,,,0.43787083395135357
525,pretrained_random,42,source_to_round0,0.9848160561898616,0.022110056432700607,
525,pretrained_random,42,round0_to_round1,0.698264554349885,0.015677292862963644,0.16317008610791736
525,pretrained_random,525,source_to_round0,0.9451603071469975,0.021251148093718652,
525,pretrained_random,525,round0_to_round1,0.49412893944263114,0.011108292965260204,0.10230946860498627
525,pretrained_random,1101,source_to_round0,0.7833925389458964,0.017640210092679486,
525,pretrained_random,1101,round0_to_round1,0.45195869144454187,0.0101758589844442,0.18874101132027252
525,pretrained_random,ensemble,source_to_round0,,,0.6500444234317169
525,pretrained_random,ensemble,round0_to_round1,,,0.10328504175750954
525,pretrained_coverage,42,source_to_round0,0.9848160561898616,0.022110056432700607,
525,pretrained_coverage,42,round0_to_round1,1.3221420889637545,0.029684463583338587,0.3811566774312668
525,pretrained_coverage,525,source_to_round0,0.9451603071469975,0.021251148093718652,
525,pretrained_coverage,525,round0_to_round1,1.1051766249189015,0.024844984270309015,0.39672544271552573
525,pretrained_coverage,1101,source_to_round0,0.7833925389458964,0.017640210092679486,
525,pretrained_coverage,1101,round0_to_round1,0.8308725026094063,0.018707111027298443,0.41545101916234306
525,pretrained_coverage,ensemble,source_to_round0,,,0.6500444234317169
525,pretrained_coverage,ensemble,round0_to_round1,,,0.3491653386780176
525,pretrained_ensemble,42,source_to_round0,0.9848160561898616,0.022110056432700607,
525,pretrained_ensemble,42,round0_to_round1,1.4528717051704598,0.032619578170450234,0.35161475312264867
525,pretrained_ensemble,525,source_to_round0,0.9451603071469975,0.021251148093718652,
525,pretrained_ensemble,525,round0_to_round1,1.431976867433366,0.03219163520531304,0.4132209753740302
525,pretrained_ensemble,1101,source_to_round0,0.7833925389458964,0.017640210092679486,
525,pretrained_ensemble,1101,round0_to_round1,1.346462685428998,0.030315634313723076,0.3782295982176349
525,pretrained_ensemble,ensemble,source_to_round0,,,0.6500444234317169
525,pretrained_ensemble,ensemble,round0_to_round1,,,0.32038428642924927
525,pretrained_hybrid,42,source_to_round0,0.9848160561898616,0.022110056432700607,
525,pretrained_hybrid,42,round0_to_round1,1.2926313794653315,0.02902189517353098,0.37820581358138655
525,pretrained_hybrid,525,source_to_round0,0.9451603071469975,0.021251148093718652,
525,pretrained_hybrid,525,round0_to_round1,1.3580997540283923,0.030530836669497925,0.3824992563664517
525,pretrained_hybrid,1101,source_to_round0,0.7833925389458964,0.017640210092679486,
525,pretrained_hybrid,1101,round0_to_round1,0.7842338674978243,0.01765704122422521,0.39745946788360215
525,pretrained_hybrid,ensemble,source_to_round0,,,0.6500444234317169
525,pretrained_hybrid,ensemble,round0_to_round1,,,0.3061869008102146
525,pretrained_quantile_width,42,source_to_round0,0.9848160561898616,0.022110056432700607,
525,pretrained_quantile_width,42,round0_to_round1,1.6741894479543233,0.03758855883512552,0.30421198232283087
525,pretrained_quantile_width,525,source_to_round0,0.9451603071469975,0.021251148093718652,
525,pretrained_quantile_width,525,round0_to_round1,1.4899957798339232,0.03349593257595102,0.49202762125933297
525,pretrained_quantile_width,1101,source_to_round0,0.7833925389458964,0.017640210092679486,
525,pretrained_quantile_width,1101,round0_to_round1,1.4176485737845075,0.03191838601493013,0.4548297737031028
525,pretrained_quantile_width,ensemble,source_to_round0,,,0.6500444234317169
525,pretrained_quantile_width,ensemble,round0_to_round1,,,0.35489631273830796
1101,pretrained_random,42,source_to_round0,0.8604009194676652,0.01931681836888131,
1101,pretrained_random,42,round0_to_round1,0.547117081139641,0.012285765013327602,0.11601437171460738
1101,pretrained_random,525,source_to_round0,1.1197678531633188,0.025177054408885714,
1101,pretrained_random,525,round0_to_round1,1.5664046580163666,0.03524474183221845,0.14137927218937343
1101,pretrained_random,1101,source_to_round0,0.937623086508459,0.021113129639977468,
1101,pretrained_random,1101,round0_to_round1,1.44841522702592,0.03261874177345139,0.14038068537387263
1101,pretrained_random,ensemble,source_to_round0,,,0.832051618746661
1101,pretrained_random,ensemble,round0_to_round1,,,0.11155857596539125
1101,pretrained_coverage,42,source_to_round0,0.8604009194676652,0.01931681836888131,
1101,pretrained_coverage,42,round0_to_round1,1.6243365368198115,0.03647522199884878,0.3555653298185926
1101,pretrained_coverage,525,source_to_round0,1.1197678531633188,0.025177054408885714,
1101,pretrained_coverage,525,round0_to_round1,1.7877682190510142,0.04022551197982942,0.25962555162303824
1101,pretrained_coverage,1101,source_to_round0,0.937623086508459,0.021113129639977468,
1101,pretrained_coverage,1101,round0_to_round1,1.548158012490528,0.03486497897265241,0.3670085246732234
1101,pretrained_coverage,ensemble,source_to_round0,,,0.832051618746661
1101,pretrained_coverage,ensemble,round0_to_round1,,,0.2950237387575598
1101,pretrained_ensemble,42,source_to_round0,0.8604009194676652,0.01931681836888131,
1101,pretrained_ensemble,42,round0_to_round1,2.052304259315477,0.046085433511380156,0.29733967937672867
1101,pretrained_ensemble,525,source_to_round0,1.1197678531633188,0.025177054408885714,
1101,pretrained_ensemble,525,round0_to_round1,2.0251446772158106,0.04556657882500809,0.24196535394265248
1101,pretrained_ensemble,1101,source_to_round0,0.937623086508459,0.021113129639977468,
1101,pretrained_ensemble,1101,round0_to_round1,1.7372638049359965,0.03912369767192237,0.34058492899733056
1101,pretrained_ensemble,ensemble,source_to_round0,,,0.832051618746661
1101,pretrained_ensemble,ensemble,round0_to_round1,,,0.24047322862514633
1101,pretrained_hybrid,42,source_to_round0,0.8604009194676652,0.01931681836888131,
1101,pretrained_hybrid,42,round0_to_round1,2.0641355904116527,0.04635111147804081,0.37175519014790864
1101,pretrained_hybrid,525,source_to_round0,1.1197678531633188,0.025177054408885714,
1101,pretrained_hybrid,525,round0_to_round1,1.8661343054030421,0.04198878079274028,0.260013684322332
1101,pretrained_hybrid,1101,source_to_round0,0.937623086508459,0.021113129639977468,
1101,pretrained_hybrid,1101,round0_to_round1,2.0008192806712244,0.045059045385463556,0.39854272001190255
1101,pretrained_hybrid,ensemble,source_to_round0,,,0.832051618746661
1101,pretrained_hybrid,ensemble,round0_to_round1,,,0.30808257284726576
1101,pretrained_quantile_width,42,source_to_round0,0.8604009194676652,0.01931681836888131,
