candidate,outer_seed,lambda,query_rank,sample_id
T3R,42,0.0,1,f95928e2618ed15e654f
T3R,42,0.0,2,07e9bc7a9d27fdd58c2f
T3R,42,0.0,3,3d5dc8831f4c74f7b7d1
T3R,42,0.0,4,4c6a8ef1c87748df99f2
T3R,42,0.0,5,9563dde5c28fb62e4f7e
T3R,42,0.0,6,99dd4a9a47de5c84b7c0
T3R,42,0.0,7,7ba2cf5e6ca289d9810f
T3R,42,0.0,8,bd0519702a5756bc3c94
T3R,42,0.0,9,3545611fd9950a160288
T3R,42,0.0,10,454c1ea3beebbec4befe
T3R,42,0.1,1,f95928e2618ed15e654f
T3R,42,0.1,2,4c6a8ef1c87748df99f2
T3R,42,0.1,3,07e9bc7a9d27fdd58c2f
T3R,42,0.1,4,3d5dc8831f4c74f7b7d1
T3R,42,0.1,5,9563dde5c28fb62e4f7e
T3R,42,0.1,6,99dd4a9a47de5c84b7c0
T3R,42,0.1,7,3545611fd9950a160288
T3R,42,0.1,8,bd0519702a5756bc3c94
T3R,42,0.1,9,454c1ea3beebbec4befe
T3R,42,0.1,10,7ba2cf5e6ca289d9810f
T3R,42,0.2,1,f95928e2618ed15e654f
T3R,42,0.2,2,99dd4a9a47de5c84b7c0
T3R,42,0.2,3,b4899d5d03e44fbf885c
T3R,42,0.2,4,4c6a8ef1c87748df99f2
T3R,42,0.2,5,9563dde5c28fb62e4f7e
T3R,42,0.2,6,07e9bc7a9d27fdd58c2f
T3R,42,0.2,7,226ebdbf914ce9333de8
T3R,42,0.2,8,a2eeeea4e6525c9d22d4
T3R,42,0.2,9,3d5dc8831f4c74f7b7d1
T3R,42,0.2,10,6da48b9dd6e1ed7e26fd
T3R,42,0.3,1,b4899d5d03e44fbf885c
T3R,42,0.3,2,6da48b9dd6e1ed7e26fd
T3R,42,0.3,3,a2eeeea4e6525c9d22d4
T3R,42,0.3,4,48b99ebef2fd7718f678
T3R,42,0.3,5,41a468134f078d2de17d
T3R,42,0.3,6,e399250d7156727de0fd
T3R,42,0.3,7,fd3f8b6ec11d13a8412d
T3R,42,0.3,8,ffcab07e0d31056e0d4a
T3R,42,0.3,9,c359fd726e50e2123f43
T3R,42,0.3,10,62763fd48ebc7554402f
old_T3_D43_failed,42,,1,b983d4c3094d909b570e
old_T3_D43_failed,42,,2,9563dde5c28fb62e4f7e
old_T3_D43_failed,42,,3,ffcab07e0d31056e0d4a
old_T3_D43_failed,42,,4,e79c5aedcfa41a5f23c9
old_T3_D43_failed,42,,5,82fa7e7b3bd183853280
old_T3_D43_failed,42,,6,b6f53d16978daf702470
old_T3_D43_failed,42,,7,7a0a82051f50d5b0c89c
old_T3_D43_failed,42,,8,e399250d7156727de0fd
old_T3_D43_failed,42,,9,4e6d2ab0e823ac1d4b58
old_T3_D43_failed,42,,10,b4899d5d03e44fbf885c
T3R,525,0.0,1,3d5dc8831f4c74f7b7d1
T3R,525,0.0,2,47404d0982a587f0393e
T3R,525,0.0,3,07e9bc7a9d27fdd58c2f
T3R,525,0.0,4,f5634113e0822bda1c03
T3R,525,0.0,5,f95928e2618ed15e654f
T3R,525,0.0,6,3545611fd9950a160288
T3R,525,0.0,7,be7d68067464e72d0b8d
T3R,525,0.0,8,28c4b7ec4bf7f486b68c
T3R,525,0.0,9,f1afcbd393ce4f5a6316
T3R,525,0.0,10,4c6a8ef1c87748df99f2
T3R,525,0.1,1,3d5dc8831f4c74f7b7d1
T3R,525,0.1,2,47404d0982a587f0393e
T3R,525,0.1,3,f5634113e0822bda1c03
T3R,525,0.1,4,07e9bc7a9d27fdd58c2f
T3R,525,0.1,5,f95928e2618ed15e654f
T3R,525,0.1,6,3545611fd9950a160288
T3R,525,0.1,7,be7d68067464e72d0b8d
T3R,525,0.1,8,28c4b7ec4bf7f486b68c
T3R,525,0.1,9,f1afcbd393ce4f5a6316
T3R,525,0.1,10,4c6a8ef1c87748df99f2
T3R,525,0.2,1,2bafcbea1bb66eb60a71
T3R,525,0.2,2,1e73138aa057a5e2b67f
T3R,525,0.2,3,3d5dc8831f4c74f7b7d1
T3R,525,0.2,4,47404d0982a587f0393e
T3R,525,0.2,5,f5634113e0822bda1c03
T3R,525,0.2,6,be7d68067464e72d0b8d
T3R,525,0.2,7,07e9bc7a9d27fdd58c2f
T3R,525,0.2,8,3545611fd9950a160288
T3R,525,0.2,9,f95928e2618ed15e654f
T3R,525,0.2,10,28c4b7ec4bf7f486b68c
T3R,525,0.3,1,2bafcbea1bb66eb60a71
T3R,525,0.3,2,1e73138aa057a5e2b67f
T3R,525,0.3,3,b95bbdf393e00f41a6df
T3R,525,0.3,4,2eda4e5a40a9021016cb
T3R,525,0.3,5,474238f822b0c38795c6
T3R,525,0.3,6,8b67a1246fe892b6581d
T3R,525,0.3,7,5eb80e21463443b22d14
T3R,525,0.3,8,c883df6ea04f89f45f03
T3R,525,0.3,9,c35ed383b2db14b3bc06
T3R,525,0.3,10,84caf30ea66b29e2ea91
old_T3_D43_failed,525,,1,2eda4e5a40a9021016cb
old_T3_D43_failed,525,,2,f191e08b3e95928a5423
old_T3_D43_failed,525,,3,b36d7c12e6d3072467ee
old_T3_D43_failed,525,,4,e399250d7156727de0fd
old_T3_D43_failed,525,,5,47404d0982a587f0393e
old_T3_D43_failed,525,,6,bcb35848089ca50a1eef
old_T3_D43_failed,525,,7,226ebdbf914ce9333de8
old_T3_D43_failed,525,,8,ef8527c6b63d54b73966
old_T3_D43_failed,525,,9,bd0519702a5756bc3c94
old_T3_D43_failed,525,,10,86f385aa0925171d22cc
T3R,1101,0.0,1,3d5dc8831f4c74f7b7d1
T3R,1101,0.0,2,47404d0982a587f0393e
T3R,1101,0.0,3,07e9bc7a9d27fdd58c2f
T3R,1101,0.0,4,f95928e2618ed15e654f
T3R,1101,0.0,5,3545611fd9950a160288
T3R,1101,0.0,6,9c7a6ce4172638d2abc7
T3R,1101,0.0,7,bd0519702a5756bc3c94
T3R,1101,0.0,8,4e6d2ab0e823ac1d4b58
T3R,1101,0.0,9,7ba2cf5e6ca289d9810f
T3R,1101,0.0,10,f5634113e0822bda1c03
T3R,1101,0.1,1,3d5dc8831f4c74f7b7d1
