outer_seed,strategy,labels_to_90,labels_to_95
42,pretrained_coverage,120.0,120.0
42,pretrained_ensemble,100.0,110.0
42,pretrained_hybrid,100.0,130.0
42,pretrained_quantile_width,110.0,
42,pretrained_random,,
42,scratch_random,,
525,pretrained_coverage,50.0,190.0
525,pretrained_ensemble,50.0,
525,pretrained_hybrid,50.0,150.0
525,pretrained_quantile_width,50.0,190.0
525,pretrained_random,50.0,80.0
525,scratch_random,,
1101,pretrained_coverage,50.0,
1101,pretrained_ensemble,50.0,150.0
1101,pretrained_hybrid,50.0,
1101,pretrained_quantile_width,50.0,
1101,pretrained_random,50.0,60.0
1101,scratch_random,180.0,
