outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
42,transfer_shift,D43_new,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
42,transfer_shift,D43_new,2,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
42,transfer_shift,D43_new,3,82fa7e7b3bd183853280,CCOC(=O)c1cccnc1
42,transfer_shift,D43_new,4,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
42,transfer_shift,D43_new,5,f95928e2618ed15e654f,COc1ccc(C=O)cc1
42,transfer_shift,D43_new,6,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
42,transfer_shift,D43_new,7,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
42,transfer_shift,D43_new,8,7a0a82051f50d5b0c89c,OCCCc1ccccc1
42,transfer_shift,D43_new,9,d59d233a1606de5b6deb,CC(C)(O)CCc1ccccc1
42,transfer_shift,D43_new,10,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,transfer_shift_uncertainty,D43_new,1,f95928e2618ed15e654f,COc1ccc(C=O)cc1
42,transfer_shift_uncertainty,D43_new,2,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
42,transfer_shift_uncertainty,D43_new,3,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
42,transfer_shift_uncertainty,D43_new,4,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
42,transfer_shift_uncertainty,D43_new,5,9563dde5c28fb62e4f7e,C=CC(=O)OCCOc1ccccc1
42,transfer_shift_uncertainty,D43_new,6,99dd4a9a47de5c84b7c0,O=Cc1ccc(Br)cc1O
42,transfer_shift_uncertainty,D43_new,7,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
42,transfer_shift_uncertainty,D43_new,8,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,transfer_shift_uncertainty,D43_new,9,3545611fd9950a160288,C/C(=N\O)c1ccccc1
42,transfer_shift_uncertainty,D43_new,10,454c1ea3beebbec4befe,COc1ccc(C=O)cc1
42,transfer_shift_uncertainty_representative,D43_new,1,b983d4c3094d909b570e,C=CC(=O)OCCOc1ccccc1
42,transfer_shift_uncertainty_representative,D43_new,2,9563dde5c28fb62e4f7e,C=CC(=O)OCCOc1ccccc1
42,transfer_shift_uncertainty_representative,D43_new,3,ffcab07e0d31056e0d4a,CCC(=O)c1cccc(Br)c1
42,transfer_shift_uncertainty_representative,D43_new,4,e79c5aedcfa41a5f23c9,O=Cc1cc(Br)ccc1O
42,transfer_shift_uncertainty_representative,D43_new,5,82fa7e7b3bd183853280,CCOC(=O)c1cccnc1
42,transfer_shift_uncertainty_representative,D43_new,6,b6f53d16978daf702470,C=CC(=O)OCCOc1ccccc1
42,transfer_shift_uncertainty_representative,D43_new,7,7a0a82051f50d5b0c89c,OCCCc1ccccc1
42,transfer_shift_uncertainty_representative,D43_new,8,e399250d7156727de0fd,COC(=O)c1ccc(C(C)(C)C)cc1
