outer_seed,new_strategy,old_strategy,sample_overlap_count,sample_overlap_fraction,canonical_compound_overlap_count,canonical_compound_jaccard
42,transfer_shift,pretrained_random,0,0.0,1,0.05555555555555555
42,transfer_shift,pretrained_coverage,5,0.5,5,0.38461538461538464
42,transfer_shift,pretrained_ensemble,2,0.2,2,0.13333333333333333
42,transfer_shift,pretrained_hybrid,6,0.6,6,0.5
42,transfer_shift,pretrained_quantile_width,10,1.0,9,1.0
42,transfer_shift_uncertainty,pretrained_random,0,0.0,1,0.05555555555555555
42,transfer_shift_uncertainty,pretrained_coverage,5,0.5,5,0.38461538461538464
42,transfer_shift_uncertainty,pretrained_ensemble,5,0.5,5,0.4166666666666667
42,transfer_shift_uncertainty,pretrained_hybrid,5,0.5,5,0.38461538461538464
42,transfer_shift_uncertainty,pretrained_quantile_width,5,0.5,5,0.38461538461538464
42,transfer_shift_uncertainty_representative,pretrained_random,0,0.0,1,0.058823529411764705
42,transfer_shift_uncertainty_representative,pretrained_coverage,0,0.0,1,0.0625
42,transfer_shift_uncertainty_representative,pretrained_ensemble,1,0.1,2,0.14285714285714285
42,transfer_shift_uncertainty_representative,pretrained_hybrid,0,0.0,1,0.0625
42,transfer_shift_uncertainty_representative,pretrained_quantile_width,2,0.2,2,0.13333333333333333
525,transfer_shift,pretrained_random,0,0.0,1,0.05263157894736842
525,transfer_shift,pretrained_coverage,4,0.4,4,0.25
525,transfer_shift,pretrained_ensemble,5,0.5,5,0.3333333333333333
525,transfer_shift,pretrained_hybrid,4,0.4,4,0.26666666666666666
525,transfer_shift,pretrained_quantile_width,8,0.8,8,0.6666666666666666
525,transfer_shift_uncertainty,pretrained_random,0,0.0,1,0.05263157894736842
525,transfer_shift_uncertainty,pretrained_coverage,5,0.5,5,0.3333333333333333
525,transfer_shift_uncertainty,pretrained_ensemble,7,0.7,7,0.5384615384615384
525,transfer_shift_uncertainty,pretrained_hybrid,5,0.5,5,0.35714285714285715
525,transfer_shift_uncertainty,pretrained_quantile_width,6,0.6,6,0.42857142857142855
525,transfer_shift_uncertainty_representative,pretrained_random,0,0.0,2,0.125
525,transfer_shift_uncertainty_representative,pretrained_coverage,1,0.1,2,0.125
525,transfer_shift_uncertainty_representative,pretrained_ensemble,1,0.1,3,0.2
525,transfer_shift_uncertainty_representative,pretrained_hybrid,1,0.1,2,0.13333333333333333
525,transfer_shift_uncertainty_representative,pretrained_quantile_width,2,0.2,3,0.2
1101,transfer_shift,pretrained_random,0,0.0,0,0.0
1101,transfer_shift,pretrained_coverage,6,0.6,6,0.5454545454545454
1101,transfer_shift,pretrained_ensemble,4,0.4,4,0.2857142857142857
1101,transfer_shift,pretrained_hybrid,6,0.6,6,0.5
1101,transfer_shift,pretrained_quantile_width,9,0.9,7,0.7777777777777778
1101,transfer_shift_uncertainty,pretrained_random,0,0.0,1,0.05263157894736842
1101,transfer_shift_uncertainty,pretrained_coverage,6,0.6,6,0.46153846153846156
1101,transfer_shift_uncertainty,pretrained_ensemble,7,0.7,7,0.5384615384615384
1101,transfer_shift_uncertainty,pretrained_hybrid,6,0.6,6,0.42857142857142855
1101,transfer_shift_uncertainty,pretrained_quantile_width,7,0.7,7,0.6363636363636364
1101,transfer_shift_uncertainty_representative,pretrained_random,1,0.1,1,0.05555555555555555
1101,transfer_shift_uncertainty_representative,pretrained_coverage,2,0.2,2,0.125
1101,transfer_shift_uncertainty_representative,pretrained_ensemble,2,0.2,4,0.26666666666666666
1101,transfer_shift_uncertainty_representative,pretrained_hybrid,2,0.2,3,0.1875
1101,transfer_shift_uncertainty_representative,pretrained_quantile_width,2,0.2,3,0.21428571428571427
