split_mode,seed,config,delta_normalized_valid_vs_legacy,delta_valid_V1_rmse_vs_legacy,delta_valid_V2_rmse_vs_legacy,delta_test_crossing_vs_legacy
compound,42,legacy_independent,0.0,0.0,0.0,0.0
compound,42,monotonic_softplus,-0.0006638132394360952,-0.00949716567993164,0.006014823913574219,-0.4074074074074074
compound,525,legacy_independent,0.0,0.0,0.0,0.0
compound,525,monotonic_softplus,-0.0044258731254784855,-0.02529621124267578,-0.02281665802001953,-0.1896551724137931
compound,1101,legacy_independent,0.0,0.0,0.0,0.0
compound,1101,monotonic_softplus,0.002582485144695723,0.03373861312866211,-0.033855438232421875,-0.05263157894736842
row,42,legacy_independent,0.0,0.0,0.0,0.0
row,42,monotonic_softplus,0.00013954435372690033,0.04791545867919922,-0.05670166015625,0.0
row,525,legacy_independent,0.0,0.0,0.0,0.0
row,525,monotonic_softplus,0.003520273201706503,0.022817373275756836,0.03677225112915039,0.0
row,1101,legacy_independent,0.0,0.0,0.0,0.0
row,1101,monotonic_softplus,0.024253793688416403,0.10558843612670898,0.12745380401611328,-0.4107142857142857
