target,calibration_rows,raw_alpha_80,alpha_80,inflation_only_constraint_active,split_mode,seed,protocol
V1,55,0.9970076665866908,1.0,True,row,42,legacy_threshold
V2,55,1.595217209564978,1.595217209564978,False,row,42,legacy_threshold
V1,57,1.9515042160640164,1.9515042160640164,False,row,42,no_threshold
V2,57,1.783659076509891,1.783659076509891,False,row,42,no_threshold
V1,55,1.1495282155537483,1.1495282155537483,False,row,525,legacy_threshold
V2,55,1.7544472412347567,1.7544472412347567,False,row,525,legacy_threshold
V1,57,2.017422873784491,2.017422873784491,False,row,525,no_threshold
V2,57,3.154667703409772,3.154667703409772,False,row,525,no_threshold
V1,55,16.105985037406484,16.105985037406484,False,row,1101,legacy_threshold
V2,55,55.9092938673263,55.9092938673263,False,row,1101,legacy_threshold
V1,57,13.231751798831903,13.231751798831903,False,row,1101,no_threshold
V2,57,20.919807853842922,20.919807853842922,False,row,1101,no_threshold
V1,55,1.0163947598624017,1.0163947598624017,False,compound,42,legacy_threshold
V2,55,1.1752336364600504,1.1752336364600504,False,compound,42,legacy_threshold
V1,57,1.4327360759923566,1.4327360759923566,False,compound,42,no_threshold
V2,57,1.3950863599336356,1.3950863599336356,False,compound,42,no_threshold
V1,55,1.0079522010598259,1.0079522010598259,False,compound,525,legacy_threshold
V2,55,2.2729126738761694,2.2729126738761694,False,compound,525,legacy_threshold
V1,57,1.3243639625552523,1.3243639625552523,False,compound,525,no_threshold
V2,57,3.1879468136461333,3.1879468136461333,False,compound,525,no_threshold
V1,55,3.6231808393535774,3.6231808393535774,False,compound,1101,legacy_threshold
V2,55,2.4718970921475774,2.4718970921475774,False,compound,1101,legacy_threshold
V1,57,4.625133845862084,4.625133845862084,False,compound,1101,no_threshold
V2,57,4.071448901722182,4.071448901722182,False,compound,1101,no_threshold
