CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2,source_row_1based,sample_id,V1_ml,V2_ml,decision,decision_reason,quality_flags,reviewer,canonical_smiles,threshold_excluded,over_v1_threshold,over_v2_threshold
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,0/1,10,2023-08-20_11-36-06.xlsx,Silica-CS 4g+4g,943,1379,CC(C)(CCl)C1=CC=CC=C1,943,1379,2,bbabdb9085edbb8c178b,7.858333333333333,11.491666666666667,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,1/1,10,2023-08-20_11-40-22.xlsx,Silica-CS 4g+4g,1120,1534,CC(C)(CCl)C1=CC=CC=C1,1120,1534,3,96dc3dc2ebd074200228,9.333333333333334,12.783333333333331,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,2/1,10,2023-08-20_11-44-38.xlsx,Silica-CS 4g+4g,1167,1511,CC(C)(CCl)C1=CC=CC=C1,1167,1511,4,6322e8f867a741eed74c,9.725,12.591666666666669,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,5/1,10,2023-08-20_11-48-58.xlsx,Silica-CS 4g+4g,1176,1564,CC(C)(CCl)C1=CC=CC=C1,1176,1564,5,c2b0aff65443af0a8618,9.8,13.033333333333331,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,10/1,10,2023-08-20_11-53-29.xlsx,Silica-CS 4g+4g,1229,1671,CC(C)(CCl)C1=CC=CC=C1,1229,1671,6,f4b69d88ad1d916ee71a,10.241666666666667,13.925,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,20/1,10,2023-08-20_11-58-05.xlsx,Silica-CS 4g+4g,1249,1728,CC(C)(CCl)C1=CC=CC=C1,1249,1728,7,0f3559d035355b0eec80,10.408333333333331,14.4,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,50/1,10,2023-08-20_12-02-47.xlsx,Silica-CS 4g+4g,1255,1791,CC(C)(CCl)C1=CC=CC=C1,1255,1791,8,d29a94054067cd60dd70,10.458333333333334,14.925,keep,,,user_confirmed_protocol_2026-08-13,CC(C)(CCl)c1ccccc1,False,False,False
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,0/1,10,2023-08-20_12-28-26.xlsx,Silica-CS 4g+4g,1345,2042,C1=CC=C(C=C1)CCCO,1345,2042,9,31d92ca6486b229184cf,11.208333333333334,17.016666666666666,keep,,,user_confirmed_protocol_2026-08-13,OCCCc1ccccc1,False,False,False
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,1/1,10,2023-08-20_12-35-17.xlsx,Silica-CS 4g+4g,1931,3051,C1=CC=C(C=C1)CCCO,1931,3051,10,8a84cca322477165b719,16.091666666666665,25.425,keep,,,user_confirmed_protocol_2026-08-13,OCCCc1ccccc1,False,False,False
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,2/1,10,2023-08-20_12-45-30.xlsx,Silica-CS 4g+4g,3640,5058,C1=CC=C(C=C1)CCCO,3640,5058,11,9cf769277f6b42d15f11,30.333333333333332,42.15,keep,,,user_confirmed_protocol_2026-08-13,OCCCc1ccccc1,False,False,False
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,5/1,10,2023-08-20_13-09-32.xlsx,Silica-CS 4g+4g,9770,13297,C1=CC=C(C=C1)CCCO,9770,13297,12,7a0a82051f50d5b0c89c,81.41666666666667,110.80833333333334,drop,over_v1_legacy_threshold,,user_confirmed_protocol_2026-08-13,OCCCc1ccccc1,True,True,False
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,0/1,10,2023-08-20_13-14-55.xlsx,Silica-CS 4g+4g,1189,1999,C1=CC=C(C=C1)CCCBr,1189,1999,13,c79f29f048bbfd157f98,9.908333333333331,16.658333333333335,keep,,,user_confirmed_protocol_2026-08-13,BrCCCc1ccccc1,False,False,False
