split_mode,seed,config,target,calibration_rows,raw_alpha_80,alpha_80,inflation_only_constraint_active
row,42,last2_head,V1,57,1.9515042160640164,1.9515042160640164,False
row,42,last2_head,V2,57,1.783659076509891,1.783659076509891,False
row,42,full_finetune,V1,57,1.8294686378232754,1.8294686378232754,False
row,42,full_finetune,V2,57,4.518549098946014,4.518549098946014,False
row,42,paper_style,V1,57,1.3280637546867844,1.3280637546867844,False
row,42,paper_style,V2,57,2.196876405776639,2.196876405776639,False
row,525,last2_head,V1,57,2.017422873784491,2.017422873784491,False
row,525,last2_head,V2,57,3.154667703409772,3.154667703409772,False
row,525,full_finetune,V1,57,1.5409903654993118,1.5409903654993118,False
row,525,full_finetune,V2,57,3.3880278879785912,3.3880278879785912,False
row,525,paper_style,V1,57,1.2108385639454502,1.2108385639454502,False
row,525,paper_style,V2,57,1.9959481669452723,1.9959481669452723,False
row,1101,last2_head,V1,57,13.231751798831903,13.231751798831903,False
row,1101,last2_head,V2,57,20.919807853842922,20.919807853842922,False
row,1101,full_finetune,V1,57,1.6283496063492569,1.6283496063492569,False
row,1101,full_finetune,V2,57,3.0390417838404504,3.0390417838404504,False
row,1101,paper_style,V1,57,2.3792574206335555,2.3792574206335555,False
row,1101,paper_style,V2,57,3.6419177312929945,3.6419177312929945,False
compound,42,last2_head,V1,57,1.4327360759923566,1.4327360759923566,False
compound,42,last2_head,V2,57,1.3950863599336356,1.3950863599336356,False
compound,42,full_finetune,V1,57,3.037891100337466,3.037891100337466,False
compound,42,full_finetune,V2,57,6.246055063841248,6.246055063841248,False
compound,42,paper_style,V1,57,1.3116582104950747,1.3116582104950747,False
compound,42,paper_style,V2,57,2.0402965961941364,2.0402965961941364,False
compound,525,last2_head,V1,57,1.3243639625552523,1.3243639625552523,False
compound,525,last2_head,V2,57,3.1879468136461333,3.1879468136461333,False
compound,525,full_finetune,V1,57,1.7155964360132916,1.7155964360132916,False
compound,525,full_finetune,V2,57,7.122423551584572,7.122423551584572,False
compound,525,paper_style,V1,57,1.3726751593201105,1.3726751593201105,False
compound,525,paper_style,V2,57,4.022964504630327,4.022964504630327,False
compound,1101,last2_head,V1,57,4.625133845862084,4.625133845862084,False
compound,1101,last2_head,V2,57,4.071448901722182,4.071448901722182,False
compound,1101,full_finetune,V1,57,4.921706773548768,4.921706773548768,False
compound,1101,full_finetune,V2,57,3.505407155514368,3.505407155514368,False
compound,1101,paper_style,V1,57,7.0872630146596185,7.0872630146596185,False
compound,1101,paper_style,V2,57,5.509842255786934,5.509842255786934,False
