epoch,train_loss,normalized_valid_score,legacy_valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_quantile_crossing_rate,V2_quantile_crossing_rate
1,1080.012451171875,2.8243941403877693,988.9551596746387,10.331327438354492,18.752723693847656,-0.11904583810824976,3.926527976989746,0.42105263157894735,13.825310707092285,22.67603302001953,35.70127487182617,-0.3033574969058841,9.640299797058105,0.2807017543859649,11.944803237915039,0.0,0.0,0.0
2,1010.330322265625,2.3594530527143798,815.2619110943833,9.951539993286133,18.144105911254883,-0.04758739051311767,3.8871989250183105,0.38596491228070173,12.064002990722656,18.570749282836914,31.178625106811523,0.005945832419692265,8.060803413391113,0.2807017543859649,10.3604097366333,0.0,0.0,0.0
3,948.795166015625,2.1285535266292683,731.2014370695179,9.608717918395996,17.632469177246094,0.010660339606964886,3.8663487434387207,0.2807017543859649,10.99169635772705,16.2144718170166,28.99301528930664,0.14042671995953415,7.263800144195557,0.2982456140350877,9.266731262207031,0.0,0.0,0.0
4,895.688232421875,1.9798344730471134,678.3635718571077,9.288959503173828,17.171850204467773,0.061674875343330604,3.836021661758423,0.22807017543859648,10.259101867675781,15.075407028198242,27.69444465637207,0.21570142371032253,6.830406665802002,0.3157894736842105,8.486762046813965,0.0,0.0,0.0
5,850.735107421875,1.861493853026774,637.3675574881945,8.938042640686035,16.69445037841797,0.11312299712469154,3.7745273113250732,0.24561403508771928,9.776537895202637,14.446784019470215,26.78293800354004,0.26647898394283265,6.601645469665527,0.2807017543859649,7.924507141113281,0.0,0.0,0.0
6,813.0780029296875,1.757520413938745,602.0917628614861,8.552037239074707,16.188980102539062,0.16601515179600468,3.6848325729370117,0.24561403508771928,9.50515079498291,14.239975929260254,26.0771427154541,0.30462976180440027,6.451695919036865,0.24561403508771928,7.525784492492676,0.0,0.0,0.0
7,781.5883178710938,1.6627158074418948,570.2338165941346,8.187105178833008,15.682109832763672,0.21742118525513043,3.584120273590088,0.2631578947368421,9.386898040771484,14.051072120666504,25.467832565307617,0.33674563819168934,6.344742298126221,0.14035087719298245,7.26154088973999,0.0,0.0,0.0
8,754.9612426757812,1.5787475471285979,542.1687290116679,7.877077102661133,15.202896118164062,0.26451850850325853,3.4872796535491943,0.2807017543859649,9.377381324768066,13.856542587280273,24.941558837890625,0.3638737876780146,6.241469383239746,0.10526315789473684,7.093942165374756,0.0,0.0,0.0
9,731.96728515625,1.5039364008677572,517.2372755512806,7.631161212921143,14.754800796508789,0.3072351570515931,3.3981034755706787,0.2807017543859649,9.457444190979004,13.680946350097656,24.475830078125,0.3874084808456333,6.16045618057251,0.14035087719298245,7.002702713012695,0.0,0.0,0.0
10,711.5455322265625,1.438369948598102,495.3985577055337,7.531661510467529,14.349233627319336,0.34479598612611884,3.3365707397460938,0.2807017543859649,9.590770721435547,13.510315895080566,24.06233787536621,0.40793178501743577,6.07109260559082,0.17543859649122806,6.973525047302246,0.0,0.0,0.0
11,692.7176513671875,1.3816074480631149,476.47212874176876,7.495055198669434,13.990968704223633,0.37710526114931653,3.2739927768707275,0.2982456140350877,9.75522518157959,13.330244064331055,23.69493293762207,0.42587422398323405,5.983677864074707,0.22807017543859648,6.996297359466553,0.0,0.0,0.0
12,674.73583984375,1.3339506395913563,460.58145685442105,7.42775297164917,13.682977676391602,0.4042276411239981,3.1989681720733643,0.2982456140350877,9.931657791137695,13.299717903137207,23.381940841674805,0.4409415404966017,5.930635452270508,0.21052631578947367,7.059240341186523,0.0,0.0,0.0
13,657.2182006835938,1.294841152927105,447.53615627363797,7.3449387550354,13.42551040649414,0.4264374634044219,3.116394281387329,0.3333333333333333,10.118605613708496,13.237161636352539,23.121065139770508,0.45334694667286435,5.8840508460998535,0.22807017543859648,7.154701232910156,0.0,0.0,0.0
14,639.9568481445312,1.261524248655176,436.40207421137984,7.230584621429443,13.20479679107666,0.4451410885610264,3.025822401046753,0.3684210526315789,10.309951782226562,13.259828567504883,22.892593383789062,0.4640970770003028,5.84904670715332,0.2631578947368421,7.278768062591553,0.0,0.0,0.0
15,622.8614501953125,1.2328176929302854,426.7750268740865,7.090610027313232,13.01583194732666,0.460907853833581,2.9302592277526855,0.40350877192982454,10.500733375549316,13.252503395080566,22.687580108642578,0.47365258878050864,5.801112651824951,0.2982456140350877,7.421340465545654,0.0,0.0,0.0
16,605.9373168945312,1.208468755920876,418.5854535290382,6.972439289093018,12.85639762878418,0.47403395851574337,2.8430442810058594,0.43859649122807015,10.690184593200684,13.250285148620605,22.507709503173828,0.4819654786284375,5.750913619995117,0.24561403508771928,7.576423168182373,0.0,0.0,0.0
17,589.4002685546875,1.1881442452837125,411.7143641259663,6.876382827758789,12.72627067565918,0.48462724030360294,2.7634801864624023,0.5263157894736842,10.874709129333496,13.22386646270752,22.349782943725586,0.4892095748602979,5.689016342163086,0.24561403508771928,7.745081424713135,0.0,0.0,0.0
18,573.4085693359375,1.172196015201855,406.2907002670481,6.788529396057129,12.627352714538574,0.49260782951830684,2.686246871948242,0.5263157894736842,11.053240776062012,13.174415588378906,22.21894073486328,0.4951727165297799,5.615509033203125,0.22807017543859648,7.9252824783325195,0.0,0.0,0.0
19,558.171630859375,1.1594021677542252,401.9018951988701,6.699048042297363,12.55234432220459,0.4986179547038062,2.6156084537506104,0.631578947368421,11.22506046295166,13.10579776763916,22.10613250732422,0.5002858829332689,5.536945343017578,0.19298245614035087,8.114113807678223,0.0,0.0,0.0
20,543.871337890625,1.1493387460453586,398.4150437061335,6.637659549713135,12.497542381286621,0.502986308210821,2.5531463623046875,0.631578947368421,11.389297485351562,13.016619682312012,22.010292053222656,0.5046094462112259,5.457637310028076,0.24561403508771928,8.31020736694336,0.0,0.0,0.0
21,530.6763916015625,1.1419555333469587,395.81865436862245,6.576785087585449,12.462167739868164,0.5057959763127795,2.491530656814575,0.6666666666666666,11.546798706054688,12.92227554321289,21.93230628967285,0.5081136933194775,5.3877105712890625,0.2631578947368421,8.515188217163086,0.0,0.0,0.0
22,518.6939086914062,1.1370589951978796,394.0620584688313,6.52245569229126,12.443183898925781,0.5073004702770305,2.4356956481933594,0.6842105263157895,11.6981840133667,12.8273286819458,21.873693466186523,0.5107392682476108,5.324801445007324,0.2631578947368421,8.725871086120605,0.0,0.0,0.0
23,507.8226318359375,1.134607841201233,393.1377512442814,6.505580425262451,12.439550399780273,0.5075881646765578,2.388862371444702,0.7192982456140351,11.842996597290039,12.824346542358398,21.83553695678711,0.5124446848584779,5.284265041351318,0.2982456140350877,8.939723014831543,0.0,0.0,0.0
24,497.99395751953125,1.1334563218759643,392.6560524042616,6.501032829284668,12.444047927856445,0.5072319949755703,2.352079391479492,0.7368421052631579,11.976938247680664,12.870288848876953,21.808334350585938,0.5136587500324987,5.255735397338867,0.3333333333333333,9.152212142944336,0.0,0.0,0.0
