evaluation_split,slice,config,rows_mean,normalized_rmse_mean,normalized_mae_mean,V1_coverage_mean,V2_coverage_mean,auce_mean
test,common,full_finetune,56.0,0.3552603987382061,0.41573491245187805,0.8303571428571428,0.7648809523809524,0.0806547619047619
test,common,last2_head,56.0,0.3075017538006283,0.35560119725060124,0.8392857142857143,0.7619047619047619,0.06791294642857142
test,common,paper_style,56.0,0.512400874028071,0.6024163358358509,0.7976190476190476,0.7827380952380952,0.06791294642857143
test,full,full_finetune,58.5,0.4692101004780896,0.5051729420652717,0.8202318332359244,0.7629066822520943,0.07458814289888953
test,full,last2_head,58.5,0.4482384963306383,0.46107216268793544,0.8264172998246639,0.7517533606078316,0.06472609828560295
test,full,paper_style,58.5,0.693696507776146,0.736049947991504,0.7749853886616013,0.7547730372102084,0.06863676212741089
test,tail,full_finetune,2.5,1.2989041925419176,2.3519137119183164,0.5833333333333334,0.7777777777777777,0.28229166666666666
test,tail,last2_head,2.5,1.4749079658011193,2.680038904643324,0.5833333333333334,0.5833333333333334,0.3520833333333333
test,tail,paper_style,2.5,2.076971153850481,3.664934232799624,0.25,0.16666666666666666,0.41631944444444446
valid,common,full_finetune,55.0,0.2583184271136742,0.3396217558527401,0.8393939393939394,0.8303030303030302,0.02329545454545451
valid,common,last2_head,55.0,0.22199768641519455,0.29285418875656716,0.8424242424242424,0.8424242424242424,0.02850378787878784
valid,common,paper_style,55.0,0.3543158924009664,0.4514163266610325,0.8454545454545453,0.8484848484848485,0.030113636363636325
valid,full,full_finetune,57.0,0.3834746607082271,0.40697971779170034,0.8245614035087719,0.8245614035087719,0.016447368421052613
valid,full,last2_head,57.0,0.34139189592940905,0.35756537472710176,0.8245614035087719,0.8245614035087719,0.016447368421052613
valid,full,paper_style,57.0,0.5535047824140248,0.5706188461521998,0.8245614035087719,0.8245614035087719,0.016447368421052613
valid,tail,full_finetune,2.0,1.3520899192130604,2.2593236711131066,0.4166666666666667,0.6666666666666666,0.2875
valid,tail,last2_head,2.0,1.2472350251810687,2.1371229889168046,0.3333333333333333,0.3333333333333333,0.3489583333333333
valid,tail,paper_style,2.0,2.2664494784398337,3.848688132159303,0.25,0.16666666666666666,0.38437499999999997
