phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
baseline,,42,4200042,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,1.6757009588181973,False,abc62b49d8b067cad1c4d9e4719de1c6b6132393a98bb99e2ee4f4ce259675cc
baseline,,525,4200525,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.5912642078474164,False,2b33341b5fdd26a306f34084bac8b78cbabd1cd394cd305c75ffa613a1562fc6
baseline,,1101,4201101,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.6053211248945445,False,1803dbe4241f23e4bf903f488a385799fad2e88cc36d93d3bba8517d1fdc599e
candidate,07e9bc7a9d27fdd58c2f,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.4131789999082685,False,21199336cd6ee9c1c5e20415566befacf856b81006b39085f0481a0e9c0717b1
candidate,07e9bc7a9d27fdd58c2f,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,4.152304167160764,False,bec3cc7a64f47c6a858824d757039e2577b16d0519c3eb21d98a6d2e70e113dc
candidate,07e9bc7a9d27fdd58c2f,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.7345676249824464,False,88df86980d02f54937690357491dd4cf4d3c597004a1f618439d4e674af5936c
candidate,167f49f748fa35bdb29e,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,18,20,3.4590922908391804,False,2fccdff8002920b42d3ffc5d96805a2f24ba089172902df528852e6dccc2c3b5
candidate,167f49f748fa35bdb29e,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,3.133201166987419,False,c473da1f78933d2861a4e6ad865f99799abd1779ed43afa1d8752bd16a470938
candidate,167f49f748fa35bdb29e,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,3.64102300000377,False,04613e123ddf86e932b18cc5297f20a932783fa95a67e12e572417a6dc11414a
candidate,26aa0143305ac532a560,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,2.7028424160089344,False,8b493fcecd825306763a3f31d080537f58685acf47a3ec4bf7c83e48abc7d590
candidate,26aa0143305ac532a560,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.3555826670490205,False,34c5c751d3a3d1f61d95abb718fadfc3e8725b63aa33cb8df7ce3fad8262fa48
candidate,26aa0143305ac532a560,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.7139776251278818,False,7c17c3098a56974cd9609120d3c8848cdf6a854c21b4b69f128e209688c9b2ba
candidate,2f828b7aa8c3e93352da,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,1.7608758751302958,False,dd3993819c444a47800967a7205045bb4eb89d0c856683db6a33041128294e41
candidate,2f828b7aa8c3e93352da,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.970509917009622,False,030f7001f577024156ec3fda6cdd085ed59a3b8b22fa08f6b9c60cab192bcbd1
candidate,2f828b7aa8c3e93352da,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.7993996657896787,False,7d1a635ab2169226dd7175344e42dd22b7ed139075ef9885470168f98add56b9
candidate,46ed1e35ca65ace74790,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,17,20,1.7844146250281483,False,8111d8594ce5eba520d4b48b13727d1b8078b6f35c3e003522414169a403db92
candidate,46ed1e35ca65ace74790,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.8433864591643216,False,a11936648ed403556b0c02b0d36559e1cd70ac3d8166754b90ec656cb376f207
candidate,46ed1e35ca65ace74790,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.8372013340704143,False,ce287361c1d58540b4c84758a9c69e13ef20e7aae4e33cfeb229f413beea469c
candidate,5048acae682925888d12,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,14,20,1.5763377910479903,False,c3737294379079da88178e3079790928b51bb739407cbb919a0dd0e84e24a504
candidate,5048acae682925888d12,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.7703459998592734,False,080b0cb4a408aed4fb1c8e795dc00075a07eacbbb840de1553f5f6bb6012118d
candidate,5048acae682925888d12,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.9254917921498416,False,a689bd304f8e6728173fc814b870bc90c602b8c1ffba9ca87e11908f273e172f
candidate,77fe8c752e01feedccfa,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,15,20,1.580832582898438,False,537a1dbfca994d38003dfac00214cc24f054988d142003e50e9b66c79c491294
candidate,77fe8c752e01feedccfa,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.6991794579662385,False,95cb99e6c9fbdd5a6bbc6a50177cec0cb48d74b530aec9179801dae828e07bef
candidate,77fe8c752e01feedccfa,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.8701217498164624,False,bc6971fbc4ceed724b296ee7d5bc009ce26431e457bf54850163e23526ad24e5
candidate,a433dc0f6a13e9ace41d,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,17,20,1.9464030829258263,False,2029af5a4a7a5ff98822c3ca842c624dfb70d9764ee7709ba11758d0ddcf0012
candidate,a433dc0f6a13e9ace41d,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.677728874841705,False,6c0d0ab88862c8c80bfd15d30d063a4e32d9bed9b0ef1a5097eb4bb75cc910f3
candidate,a433dc0f6a13e9ace41d,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.752347958041355,False,35915fcf68bee238f7b4e6020858442b446a3da714ef68b8381f8ddc0b63366f
candidate,a82e55e1cd19814ea307,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,17,20,1.9206505420152096,False,3c7466d6b6507f60a3116d200b6faf3895013606819ccea99a6eb645bb04688b
candidate,a82e55e1cd19814ea307,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.7902632080949843,False,2ab98be9bcc1140b09a01780d6be924be8481bf5a3c52f5bfbffd6f1e6df35bb
candidate,a82e55e1cd19814ea307,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.7513079158961773,False,082a8cd1f99bb159f7426e8b4bef5cd17c7a867e027e187799f5e2a362a74ba0
candidate,be7d68067464e72d0b8d,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,18,20,1.860571375116706,False,49bcfca3a45732bfe77517b58149d0f56106b4ab93dc38bbd1ff368a141f9a83
candidate,be7d68067464e72d0b8d,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,1.8963318339083344,False,2adaf4a18a278fc6ac2a27e895a280125e6d5b50a796698562701140f57dc4bf
