repetition_seed,phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,checkpoint_sha256
4601,baseline,__baseline__,42,46010042,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,2.081176040926948,2cca35b1b0022b30dd8d3b0ebebe48399c9be9a4f9a4531e25becc8cf9b1d029
4601,baseline,__baseline__,525,46010525,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.5555314579978585,d1687ac68ea8e15871dd0eae5d1a6f41b347e40a8db49b0b6a84aa3d4d41789a
4601,baseline,__baseline__,1101,46011101,22,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,3.0352207908872515,03ebd834e8aa62e5d58ab32670484427faeec5c77109801842bf62f24bbbdc30
4601,candidate,c2bd8e8f13a96726e7fc,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.488850082969293,fcdda7e291af27ec1a16460552f09ec6105ff9d36d14e414e27db011ca9b5b76
4601,candidate,c2bd8e8f13a96726e7fc,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.9827817920595407,15749107803c03499b1e0c14dfa87c578b26c45abf269ae127e051bb5438f102
4601,candidate,c2bd8e8f13a96726e7fc,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.44896029192023,8aa644f16bc8ac3c1ae3c4db5fa729686d9724547b733d69778a19e905fa4948
4601,candidate,3a02b99399bb0c3e9ff9,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,3.2139148330315948,0b208d4acfbac967617c68079f5dd5daebf955cd4133aaf6eaf721ef62218b00
4601,candidate,3a02b99399bb0c3e9ff9,525,46010525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.635308250086382,1c22fd1fbd7692394a32bca760239639bf013fb249f7a03cecc09d358cf97c5d
4601,candidate,3a02b99399bb0c3e9ff9,1101,46011101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,20,20,2.840808999957517,f1dbf76eefc64d76765a061d7c8c2d4c6f0f6db68f5f7d59c5af968ff1717bfb
4601,candidate,194278dd9ee3d2407ed5,42,46010042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,16,20,2.3528834159951657,934e9da2c54b69e3813be428507a302014387538eea75c82bd526202b890e8b9
