outer_seed,method,fit_count,extra_ensemble_fits,epochs,optimizer_steps,training_seconds,gradient_seconds,gradient_extractions,ensemble_inference_seconds,selector_seconds,historical_round_elapsed_seconds,new_fit_count,new_training_seconds,cost_note
157,random,11,0,2513,2513,3009.4492444170173,0.0,0,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
157,adaptive_lcmd,11,0,3564,3564,7461.107023121964,1346.813443748979,10,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
887,random,11,0,2126,2126,5846.494781835005,0.0,0,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
887,adaptive_lcmd,11,0,2451,2451,4004.4009786660317,1126.5188379589817,10,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
2357,random,11,0,2086,2086,5742.68494616705,0.0,0,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
2357,adaptive_lcmd,11,0,2246,2246,4185.003869040927,1326.0593542899587,10,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
6101,random,11,0,2145,2145,5884.8838633349515,0.0,0,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
6101,adaptive_lcmd,11,0,2352,2352,4102.288976832933,1269.884669251158,10,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
12203,random,11,0,1948,1948,5075.15373000002,0.0,0,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
12203,adaptive_lcmd,11,0,1965,1965,2623.9223767070216,826.9082166680018,10,,,,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
157,static_lcmd,11,0,2357,2357,3052.2425106650917,125.45757037500152,1,0.0,0.30515366699546576,,9,2524.5250063320855,OneShot final fit shared with Static; do not sum logical arms
157,oneshot_b320,2,0,406,406,536.1553090830566,125.45757037500152,1,0.0,0.30515366699546576,,0,0.0,OneShot final fit shared with Static; do not sum logical arms
887,static_lcmd,11,0,2609,2609,3405.417028207914,156.97859870898537,1,0.0,0.337055042036809,,9,2749.714807207929,OneShot final fit shared with Static; do not sum logical arms
887,oneshot_b320,2,0,423,423,624.6865477908868,156.97859870898537,1,0.0,0.337055042036809,,0,0.0,OneShot final fit shared with Static; do not sum logical arms
2357,static_lcmd,11,0,2076,2076,2719.35306995915,126.84996775002219,1,0.0,0.35344466706737876,,9,2009.203102585161,OneShot final fit shared with Static; do not sum logical arms
2357,oneshot_b320,2,0,422,422,648.0709559159586,126.84996775002219,1,0.0,0.35344466706737876,,0,0.0,OneShot final fit shared with Static; do not sum logical arms
6101,static_lcmd,11,0,2368,2368,2901.216376501252,104.41058604198042,1,0.0,0.3193418749142438,,9,2413.193712126231,OneShot final fit shared with Static; do not sum logical arms
6101,oneshot_b320,2,0,418,418,556.2541544170817,104.41058604198042,1,0.0,0.3193418749142438,,0,0.0,OneShot final fit shared with Static; do not sum logical arms
12203,static_lcmd,11,0,1977,1977,1805.9248564152513,102.97396683302941,1,0.0,0.3675220418954268,,9,1429.167164624203,OneShot final fit shared with Static; do not sum logical arms
12203,oneshot_b320,2,0,352,352,368.1654485409963,102.97396683302941,1,0.0,0.3675220418954268,,0,0.0,OneShot final fit shared with Static; do not sum logical arms
