scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,adaptive_lcmd,combined_normalized_RMSE,Random@653,0.7418771581258784,346.1968063658419,365.0,365.0,REACHED,653.0
seed,157.0,adaptive_lcmd,combined_normalized_RMSE,N80,0.506118591372539,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,combined_normalized_RMSE,N90,0.4749792800417344,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,653.0
seed,157.0,random,combined_normalized_RMSE,Random@653,0.7418771581258784,347.16906542589595,365.0,653.0,REACHED,653.0
seed,157.0,random,combined_normalized_RMSE,N80,0.506118591372539,,,,CENSORED,653.0
seed,157.0,random,combined_normalized_RMSE,N90,0.4749792800417344,,,,CENSORED,653.0
seed,157.0,random,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,653.0
seed,157.0,static_lcmd,combined_normalized_RMSE,Random@653,0.7418771581258784,346.1968063658419,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,combined_normalized_RMSE,N80,0.506118591372539,639.2693850975061,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,combined_normalized_RMSE,N90,0.4749792800417344,,,,CENSORED,653.0
seed,157.0,static_lcmd,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_RMSE,Random@653,5.214931572701574,336.4028796514965,365.0,365.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V1_RMSE,N80,3.7996589384308965,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_RMSE,N90,3.621780830091019,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_RMSE,N95,3.53284177592108,,,,CENSORED,653.0
seed,157.0,random,V1_RMSE,Random@653,5.214931572701574,334.10962870412885,365.0,621.0,REACHED,653.0
seed,157.0,random,V1_RMSE,N80,3.7996589384308965,,,,CENSORED,653.0
seed,157.0,random,V1_RMSE,N90,3.621780830091019,,,,CENSORED,653.0
seed,157.0,random,V1_RMSE,N95,3.53284177592108,,,,CENSORED,653.0
seed,157.0,static_lcmd,V1_RMSE,Random@653,5.214931572701574,336.4028796514965,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,V1_RMSE,N80,3.7996589384308965,640.104637306831,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,V1_RMSE,N90,3.621780830091019,652.5362274146569,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,V1_RMSE,N95,3.53284177592108,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_RMSE,Random@653,8.901895411724713,348.30929083599943,365.0,429.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V2_RMSE,N80,5.399766461125763,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_RMSE,N90,4.916636173414873,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_RMSE,N95,4.675071029559429,,,,CENSORED,653.0
seed,157.0,random,V2_RMSE,Random@653,8.901895411724713,653.0,653.0,653.0,REACHED,653.0
seed,157.0,random,V2_RMSE,N80,5.399766461125763,,,,CENSORED,653.0
seed,157.0,random,V2_RMSE,N90,4.916636173414873,,,,CENSORED,653.0
seed,157.0,random,V2_RMSE,N95,4.675071029559429,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_RMSE,Random@653,8.901895411724713,348.30929083599943,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,V2_RMSE,N80,5.399766461125763,639.5904192447156,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,V2_RMSE,N90,4.916636173414873,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_RMSE,N95,4.675071029559429,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_MAE,Random@653,2.5518809411165524,418.21531882765595,429.0,429.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V1_MAE,N80,1.689228799646135,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_MAE,N90,1.5737070898357912,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_MAE,N95,1.5159462349306194,,,,CENSORED,653.0
seed,157.0,random,V1_MAE,Random@653,2.5518809411165524,362.2160613858623,365.0,621.0,REACHED,653.0
seed,157.0,random,V1_MAE,N80,1.689228799646135,,,,CENSORED,653.0
seed,157.0,random,V1_MAE,N90,1.5737070898357912,,,,CENSORED,653.0
seed,157.0,random,V1_MAE,N95,1.5159462349306194,,,,CENSORED,653.0
seed,157.0,static_lcmd,V1_MAE,Random@653,2.5518809411165524,382.5075699510931,397.0,397.0,REACHED,653.0
seed,157.0,static_lcmd,V1_MAE,N80,1.689228799646135,,,,CENSORED,653.0
seed,157.0,static_lcmd,V1_MAE,N90,1.5737070898357912,,,,CENSORED,653.0
seed,157.0,static_lcmd,V1_MAE,N95,1.5159462349306194,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_MAE,Random@653,4.363997576048049,361.07114425378103,365.0,429.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V2_MAE,N80,2.621176891418384,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_MAE,N90,2.357697397227482,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_MAE,N95,2.225957650132031,,,,CENSORED,653.0
seed,157.0,random,V2_MAE,Random@653,4.363997576048049,619.4544420264824,621.0,621.0,REACHED,653.0
seed,157.0,random,V2_MAE,N80,2.621176891418384,,,,CENSORED,653.0
seed,157.0,random,V2_MAE,N90,2.357697397227482,,,,CENSORED,653.0
seed,157.0,random,V2_MAE,N95,2.225957650132031,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_MAE,Random@653,4.363997576048049,361.07114425378103,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,V2_MAE,N80,2.621176891418384,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_MAE,N90,2.357697397227482,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_MAE,N95,2.225957650132031,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_R2,Random@653,0.5087088125267266,336.4242527270382,365.0,365.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V1_R2,N80,0.7300404689374747,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_R2,N90,0.7578896433583053,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V1_R2,N95,0.7718142305687206,,,,CENSORED,653.0
seed,157.0,random,V1_R2,Random@653,0.5087088125267266,334.1330560085648,365.0,621.0,REACHED,653.0
seed,157.0,random,V1_R2,N80,0.7300404689374747,,,,CENSORED,653.0
seed,157.0,random,V1_R2,N90,0.7578896433583053,,,,CENSORED,653.0
seed,157.0,random,V1_R2,N95,0.7718142305687206,,,,CENSORED,653.0
seed,157.0,static_lcmd,V1_R2,Random@653,0.5087088125267266,336.4242527270382,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,V1_R2,N80,0.7300404689374747,635.9611445669995,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,V1_R2,N90,0.7578896433583053,649.9748227976196,653.0,653.0,REACHED,653.0
seed,157.0,static_lcmd,V1_R2,N95,0.7718142305687206,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_R2,Random@653,0.65303257983616,348.65014201475793,365.0,429.0,REACHED,653.0
seed,157.0,adaptive_lcmd,V2_R2,N80,0.8559824120156172,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_R2,N90,0.8849595256731514,,,,CENSORED,653.0
seed,157.0,adaptive_lcmd,V2_R2,N95,0.8994480825019184,,,,CENSORED,653.0
seed,157.0,random,V2_R2,Random@653,0.65303257983616,653.0,653.0,653.0,REACHED,653.0
seed,157.0,random,V2_R2,N80,0.8559824120156172,,,,CENSORED,653.0
seed,157.0,random,V2_R2,N90,0.8849595256731514,,,,CENSORED,653.0
seed,157.0,random,V2_R2,N95,0.8994480825019184,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_R2,Random@653,0.65303257983616,348.65014201475793,365.0,365.0,REACHED,653.0
seed,157.0,static_lcmd,V2_R2,N80,0.8559824120156172,554.5641621209609,557.0,557.0,REACHED,653.0
seed,157.0,static_lcmd,V2_R2,N90,0.8849595256731514,,,,CENSORED,653.0
seed,157.0,static_lcmd,V2_R2,N95,0.8994480825019184,,,,CENSORED,653.0
seed,887.0,adaptive_lcmd,combined_normalized_RMSE,Random@653,0.4879753996320623,346.82364067806526,365.0,365.0,REACHED,653.0
seed,887.0,adaptive_lcmd,combined_normalized_RMSE,N80,0.34425856354483986,565.4856263114402,589.0,589.0,REACHED,653.0
seed,887.0,adaptive_lcmd,combined_normalized_RMSE,N90,0.3222291180787796,610.622383224721,621.0,,REACHED,653.0
seed,887.0,adaptive_lcmd,combined_normalized_RMSE,N95,0.31121439534574946,,,,CENSORED,653.0
seed,887.0,random,combined_normalized_RMSE,Random@653,0.4879753996320623,653.0,653.0,653.0,REACHED,653.0
seed,887.0,random,combined_normalized_RMSE,N80,0.34425856354483986,,,,CENSORED,653.0
seed,887.0,random,combined_normalized_RMSE,N90,0.3222291180787796,,,,CENSORED,653.0
seed,887.0,random,combined_normalized_RMSE,N95,0.31121439534574946,,,,CENSORED,653.0
seed,887.0,static_lcmd,combined_normalized_RMSE,Random@653,0.4879753996320623,346.82364067806526,365.0,365.0,REACHED,653.0
seed,887.0,static_lcmd,combined_normalized_RMSE,N80,0.34425856354483986,447.1906541896442,461.0,461.0,REACHED,653.0
seed,887.0,static_lcmd,combined_normalized_RMSE,N90,0.3222291180787796,497.9497429388431,525.0,,REACHED,653.0
seed,887.0,static_lcmd,combined_normalized_RMSE,N95,0.31121439534574946,515.9195685240629,525.0,,REACHED,653.0
seed,887.0,adaptive_lcmd,V1_RMSE,Random@653,4.1691266993283955,341.9987265907877,365.0,365.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V1_RMSE,N80,3.108195669170537,486.95213201626643,493.0,557.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V1_RMSE,N90,2.9579817387324705,571.4417249227694,589.0,589.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V1_RMSE,N95,2.8828747735134375,580.933706282733,589.0,,REACHED,653.0
seed,887.0,random,V1_RMSE,Random@653,4.1691266993283955,653.0,653.0,653.0,REACHED,653.0
seed,887.0,random,V1_RMSE,N80,3.108195669170537,,,,CENSORED,653.0
seed,887.0,random,V1_RMSE,N90,2.9579817387324705,,,,CENSORED,653.0
seed,887.0,random,V1_RMSE,N95,2.8828747735134375,,,,CENSORED,653.0
seed,887.0,static_lcmd,V1_RMSE,Random@653,4.1691266993283955,341.9987265907877,365.0,365.0,REACHED,653.0
seed,887.0,static_lcmd,V1_RMSE,N80,3.108195669170537,424.9451334968596,429.0,429.0,REACHED,653.0
seed,887.0,static_lcmd,V1_RMSE,N90,2.9579817387324705,455.55725780666444,461.0,461.0,REACHED,653.0
seed,887.0,static_lcmd,V1_RMSE,N95,2.8828747735134375,470.2170631212424,493.0,,REACHED,653.0
seed,887.0,adaptive_lcmd,V2_RMSE,Random@653,8.106318492684043,350.148804308938,365.0,365.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V2_RMSE,N80,5.297748721483915,592.8321927850125,621.0,621.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V2_RMSE,N90,4.842401160735247,,,,CENSORED,653.0
seed,887.0,adaptive_lcmd,V2_RMSE,N95,4.614727380360913,,,,CENSORED,653.0
seed,887.0,random,V2_RMSE,Random@653,8.106318492684043,653.0,653.0,653.0,REACHED,653.0
seed,887.0,random,V2_RMSE,N80,5.297748721483915,,,,CENSORED,653.0
seed,887.0,random,V2_RMSE,N90,4.842401160735247,,,,CENSORED,653.0
seed,887.0,random,V2_RMSE,N95,4.614727380360913,,,,CENSORED,653.0
