method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
adaptive_lcmd,random,V1_MAE,aulc,5,5,0,-0.3771001102727091,-0.34947693150678116,0.1567478803601445,-0.5197244496983014,-0.26536886990499137
adaptive_lcmd,static_lcmd,V1_MAE,aulc,5,2,0,0.011487352110499005,0.028177805470048112,0.1240106793753967,-0.08672498644970608,0.10513563282769929
static_lcmd,random,V1_MAE,aulc,5,5,0,-0.3885874623832081,-0.4638398153890515,0.2123248494290211,-0.5450722964576105,-0.23210262830880576
adaptive_lcmd,random,V1_MAE,endpoint,5,5,0,-0.5987235445484554,-0.6596992730522617,0.10822658551318862,-0.6696983177313129,-0.5037267951370714
adaptive_lcmd,static_lcmd,V1_MAE,endpoint,5,4,0,-0.13432331954260812,-0.18089463956636198,0.17527157313374558,-0.2502556683062365,0.025380911015206387
static_lcmd,random,V1_MAE,endpoint,5,5,0,-0.4644002250058474,-0.4546524037560111,0.1843317219707553,-0.6171063753626616,-0.3268345692174896
adaptive_lcmd,random,V1_MAE,gap_closed,5,5,0,0.5103688686562055,0.4908211397902891,0.1400550188911926,0.39708273333985467,0.6169052857008458
adaptive_lcmd,static_lcmd,V1_MAE,gap_closed,5,4,0,0.1141124497314272,0.133867644834873,0.15458160919560718,-0.019592833781686792,0.21659602383814622
static_lcmd,random,V1_MAE,gap_closed,5,5,0,0.39625641892477825,0.3829177608234856,0.17228642728418933,0.26482981476516276,0.5366439377039195
adaptive_lcmd,random,V1_R2,aulc,5,5,0,0.14515093535886128,0.16120018595660723,0.07530074427355787,0.08117745813622568,0.2000186545555767
adaptive_lcmd,static_lcmd,V1_R2,aulc,5,2,0,-0.006367657483141165,-0.027155030331663554,0.050601362188344545,-0.040557271649038704,0.03377052928298918
static_lcmd,random,V1_R2,aulc,5,5,0,0.15151859284200245,0.20272152877856253,0.10743013232056246,0.06584018405172987,0.23282419669362583
adaptive_lcmd,random,V1_R2,endpoint,5,5,0,0.20809667061063086,0.19363485496878152,0.0385855777367897,0.1828907594579374,0.23928621188873986
adaptive_lcmd,static_lcmd,V1_R2,endpoint,5,4,0,0.01215564649378027,0.034276387838952815,0.05913188427841474,-0.0379979752849773,0.049636289841818025
static_lcmd,random,V1_R2,endpoint,5,5,0,0.19594102411685058,0.20849786029967943,0.055117723094489784,0.15228257896888278,0.23823345463123902
adaptive_lcmd,random,V1_R2,gap_closed,5,5,0,0.625547355775024,0.6068827532388275,0.1304420398703063,0.539005336066378,0.7382655013891529
adaptive_lcmd,static_lcmd,V1_R2,gap_closed,5,4,0,0.01672706736491756,0.08077561135073197,0.19058407229512553,-0.1533632323074857,0.13361485217915295
static_lcmd,random,V1_R2,gap_closed,5,5,0,0.6088202884101065,0.5564913481387528,0.2492732240067468,0.41547972640545083,0.8021608504147621
adaptive_lcmd,random,V1_RMSE,aulc,5,5,0,-0.8464825176347766,-0.8897343891489515,0.37439467606527216,-1.1057843016765616,-0.5129066535671278
adaptive_lcmd,static_lcmd,V1_RMSE,aulc,5,2,0,0.0261498911874015,0.16206090877499246,0.34707316742089217,-0.2569020150784769,0.26346515006800625
static_lcmd,random,V1_RMSE,aulc,5,5,0,-0.8726324088221782,-1.1605341305291539,0.5769591233662307,-1.3065072562260116,-0.4107691874583098
adaptive_lcmd,random,V1_RMSE,endpoint,5,5,0,-1.3398746725787962,-1.376694991687545,0.23005387441047617,-1.5082341371745032,-1.1454034972501357
adaptive_lcmd,static_lcmd,V1_RMSE,endpoint,5,4,0,-0.11211129672800509,-0.2412838078167785,0.4414891214029,-0.4079716116513613,0.26863297158414
static_lcmd,random,V1_RMSE,endpoint,5,5,0,-1.2277633758507913,-1.2174214595191093,0.2875905089753731,-1.4468405790936127,-0.9925981706102363
adaptive_lcmd,random,V1_RMSE,gap_closed,5,5,0,0.6292967860682315,0.5833666851884854,0.12585731417225612,0.5525688354429495,0.740567724809524
adaptive_lcmd,static_lcmd,V1_RMSE,gap_closed,5,4,0,0.026032966195658758,0.09441916302010189,0.21587625769660007,-0.16751138690170705,0.16159919515249133
static_lcmd,random,V1_RMSE,gap_closed,5,5,0,0.6032638198725728,0.5335909182292224,0.24444149273490023,0.41587711431689367,0.7928068475219121
adaptive_lcmd,random,V2_MAE,aulc,5,5,0,-0.8001683366741776,-0.9291587184444605,0.4185653226708177,-1.1244043712207161,-0.47593230212763904
adaptive_lcmd,static_lcmd,V2_MAE,aulc,5,2,0,0.010961934389542183,0.017657449033906758,0.13273637438940933,-0.10293777742974797,0.10916179695432468
static_lcmd,random,V2_MAE,aulc,5,5,0,-0.8111302710637197,-0.923914922298573,0.5175604820562337,-1.2196507473843845,-0.4026097947430551
adaptive_lcmd,random,V2_MAE,endpoint,5,5,0,-1.2561841392974489,-1.3118218632339,0.29171658183357213,-1.4834685115219592,-1.028899767072938
adaptive_lcmd,static_lcmd,V2_MAE,endpoint,5,5,0,-0.28458891778255246,-0.2023542524813462,0.26327400893174174,-0.5195531329376807,-0.11770107488838022
static_lcmd,random,V2_MAE,endpoint,5,5,0,-0.9715952215148963,-1.1533250751541102,0.49999882582480026,-1.351040634662985,-0.5653537096737099
adaptive_lcmd,random,V2_MAE,gap_closed,5,5,0,0.47241790763622193,0.4672341627432607,0.09422966641585682,0.3997410946224461,0.5450947206499976
adaptive_lcmd,static_lcmd,V2_MAE,gap_closed,5,5,0,0.1100099486243307,0.06564774435631604,0.10561572651013493,0.04569550983167507,0.19998623538704013
static_lcmd,random,V2_MAE,gap_closed,5,5,0,0.36240795901189116,0.4045937937373625,0.17998036239763157,0.21711273660227196,0.49879773574823894
adaptive_lcmd,random,V2_R2,aulc,5,5,0,0.15549850680702698,0.18949178375155917,0.0780565508163224,0.09481439150499486,0.21533334360188539
adaptive_lcmd,static_lcmd,V2_R2,aulc,5,2,0,-0.005777630764835928,-0.010185686517937498,0.0280362649043204,-0.02724067339701728,0.015462543436929942
static_lcmd,random,V2_R2,aulc,5,5,0,0.16127613757186293,0.17752401874988444,0.09522481972872673,0.08556772874782836,0.2369845463958975
adaptive_lcmd,random,V2_R2,endpoint,5,5,0,0.19328789546663086,0.19242206724076927,0.03856485410015321,0.1631544402787719,0.22342135065448981
adaptive_lcmd,static_lcmd,V2_R2,endpoint,5,3,0,0.01291975204410054,0.009497192252371,0.04887037565123475,-0.022291258114282852,0.05494279680082133
static_lcmd,random,V2_R2,endpoint,5,5,0,0.18036814342253032,0.21033979305893014,0.06948294989871984,0.11832655503294813,0.22381601529703848
adaptive_lcmd,random,V2_R2,gap_closed,5,5,0,0.5440577849320498,0.5725749719761577,0.12023049905443267,0.4502085561458176,0.6379070137182822
adaptive_lcmd,static_lcmd,V2_R2,gap_closed,5,3,0,0.03324370884738918,0.027840133445674264,0.14705041875798924,-0.07643399974744947,0.16013550935736173
static_lcmd,random,V2_R2,gap_closed,5,5,0,0.5108140760846608,0.5291506250014892,0.2272574179625156,0.3206922168315981,0.6864859748845358
adaptive_lcmd,random,V2_RMSE,aulc,5,5,0,-2.106555554320635,-2.7350613800866617,0.932623502574084,-2.776649737453288,-1.3261077238850705
adaptive_lcmd,static_lcmd,V2_RMSE,aulc,5,2,0,0.06663884668622924,0.12552480182881887,0.47915130889123403,-0.2962287397242488,0.43686052387591146
static_lcmd,random,V2_RMSE,aulc,5,5,0,-2.1731944010068647,-2.4974484045536194,1.2089156437266064,-3.1195168237964577,-1.226871978217271
adaptive_lcmd,random,V2_RMSE,endpoint,5,5,0,-2.9406179750228523,-2.9484224502469365,0.5505035137817188,-3.40980616801138,-2.515492515582533
adaptive_lcmd,static_lcmd,V2_RMSE,endpoint,5,3,0,-0.26015312656566963,-0.16125998473881165,0.9752622732794277,-1.1094213219403668,0.4463152880690592
static_lcmd,random,V2_RMSE,endpoint,5,5,0,-2.680464848457183,-2.787162465508125,1.0652385333161938,-3.421535104644203,-1.7694228875488833
adaptive_lcmd,random,V2_RMSE,gap_closed,5,5,0,0.5460082343048459,0.5573470988990872,0.0954087837664273,0.4667730959530763,0.6156087193222664
adaptive_lcmd,static_lcmd,V2_RMSE,gap_closed,5,3,0,0.04191344908905812,0.03541470266661206,0.18194436326236985,-0.09436374218176173,0.19873360214544145
static_lcmd,random,V2_RMSE,gap_closed,5,5,0,0.5040947852157878,0.5014526988523476,0.2195365821564734,0.3205355501639481,0.6768213521045581
adaptive_lcmd,random,combined_normalized_RMSE,aulc,5,5,0,-0.12473566662149674,-0.1425842539633141,0.0464667638804059,-0.1578917216420862,-0.08406970462611967
adaptive_lcmd,static_lcmd,combined_normalized_RMSE,aulc,5,2,0,0.0048540530166996,0.005566874985929393,0.03924807985488021,-0.028326250772844185,0.03546011090213845
static_lcmd,random,combined_normalized_RMSE,aulc,5,5,0,-0.12958971963819632,-0.14815112894924348,0.0770514961963509,-0.18923757967249585,-0.06994185960389682
adaptive_lcmd,random,combined_normalized_RMSE,endpoint,5,5,0,-0.19257041826853122,-0.1825410017979503,0.02639076626226882,-0.21448846896574386,-0.1729955916040363
adaptive_lcmd,static_lcmd,combined_normalized_RMSE,endpoint,5,4,0,-0.014221571191561987,-0.02205393378505993,0.06112879669322037,-0.061509707968857755,0.03809395231312165
static_lcmd,random,combined_normalized_RMSE,endpoint,5,5,0,-0.17834884707696924,-0.1851969552923518,0.06423535210866392,-0.2282368546274837,-0.12617684010181796
adaptive_lcmd,random,combined_normalized_RMSE,gap_closed,5,5,0,0.5880014122448585,0.5862075749163124,0.09132398795487129,0.5263927418288523,0.6637407379553301
