outer_seed,active_label_count,selected_intersection,selected_overlap_fraction
157,333,0,
157,365,32,1.0
157,397,34,0.53125
157,429,45,0.46875
157,461,54,0.421875
157,493,66,0.4125
157,525,77,0.4010416666666667
157,557,86,0.38392857142857145
157,589,101,0.39453125
157,621,113,0.3923611111111111
157,653,133,0.415625
887,333,0,
887,365,32,1.0
887,397,38,0.59375
887,429,44,0.4583333333333333
887,461,61,0.4765625
887,493,75,0.46875
887,525,86,0.4479166666666667
887,557,98,0.4375
887,589,110,0.4296875
887,621,127,0.4409722222222222
887,653,147,0.459375
2357,333,0,
2357,365,32,1.0
2357,397,37,0.578125
2357,429,43,0.4479166666666667
2357,461,53,0.4140625
2357,493,65,0.40625
2357,525,77,0.4010416666666667
2357,557,86,0.38392857142857145
2357,589,96,0.375
2357,621,109,0.3784722222222222
2357,653,125,0.390625
6101,333,0,
6101,365,32,1.0
6101,397,36,0.5625
6101,429,41,0.4270833333333333
6101,461,51,0.3984375
6101,493,61,0.38125
6101,525,73,0.3802083333333333
6101,557,82,0.36607142857142855
6101,589,93,0.36328125
6101,621,104,0.3611111111111111
6101,653,121,0.378125
12203,333,0,
12203,365,32,1.0
12203,397,36,0.5625
12203,429,43,0.4479166666666667
12203,461,51,0.3984375
12203,493,59,0.36875
12203,525,70,0.3645833333333333
12203,557,80,0.35714285714285715
12203,589,94,0.3671875
12203,621,103,0.3576388888888889
12203,653,114,0.35625
