selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
0,2800,109,1633279.8790968105,103446.10301288767
1,264,29,1055748.2212726616,110652.57617333328
2,151,109,717970.0354025734,64191.79651351253
3,1398,191,709054.368401629,108337.67174346925
4,851,230,604609.5183158158,69758.24591785754
5,1091,188,573156.7712274428,124473.84324354661
6,1553,336,467593.38314587134,122582.96618180501
7,1624,188,448682.92798389617,69020.53413421835
8,202,34,418908.9313710132,49548.770014024776
9,1757,11,417936.41175436525,63724.34248801017
10,2821,31,398384.3166388174,74235.72505519495
11,1492,191,387475.82018272346,75294.4476489799
12,77,7,382076.997863849,69658.42862747802
13,1450,163,327789.6630544411,59140.316848684844
14,854,337,324293.26336656825,42418.78684676881
15,351,31,324148.59158362244,34379.949302149296
16,1010,109,320923.6655642952,48832.276952767075
17,2910,213,318865.38557254116,26302.13802896146
18,380,7,312418.56923637097,53191.255941073265
19,955,188,310642.3586235511,36105.885336204956
20,1549,11,290488.3034027637,61406.02078852401
21,254,341,272246.16898097575,44300.68369878299
22,1088,101,269488.1605469233,25004.873422437697
23,602,15,259552.9142478136,37694.50103514026
24,1065,269,258959.0325651904,26761.02037680871
25,426,55,256203.8891855232,51805.393029621904
26,2364,358,334992.24183827697,50859.030420228955
27,1425,213,247483.5743858713,15931.953410212795
28,1554,339,237720.45346331387,79240.19104930287
29,2930,291,237380.19934220397,25419.067800613455
30,2812,191,236886.94752787927,50270.934831215505
31,2893,156,222064.29722616094,37549.16363916459
32,2282,15,221858.41321267336,35788.35560439581
33,2867,333,216819.29703929886,52830.70406605408
34,2951,213,215619.92876387778,12459.127986363445
35,2588,291,211961.13154159053,20560.136847867085
36,1850,163,209885.40911503244,33299.446961995476
37,1919,7,206036.10764541896,47403.9066236841
38,1337,213,196563.9710043623,10306.871799206594
39,732,101,194474.08444620323,20136.822392818773
40,1696,191,186616.01269666376,50188.67087087786
41,2109,369,186295.98696443526,30023.240628442814
42,2864,49,184701.54313580907,30633.24813525575
43,2739,304,184050.92750715592,61350.52078604477
44,2639,358,182415.22374538492,38679.06644159192
45,2339,258,182287.37564692847,17780.0343222508
46,2825,343,175758.81343598518,61185.090083281684
