selection_order,canonical_index,sample_id
0,3896,c45057c2cab40f4fa2be
1,355,f7d57d8bb988f7016502
2,204,547923973b121019625f
3,1936,488727f2d41859d1ac45
4,1150,1ae3618ec277b0463686
5,1499,70cba7a21b5a01fb8e73
6,2148,79ff49052bce33597828
7,2251,66747ae127e03516ffda
8,272,61090cfdcf019e0891a3
9,2442,6a4e95d2a3cca31094a1
10,3929,6b5982c6e1bbaadd6a95
11,2064,ce14dd2481560a984aea
12,114,9249ed2c527f70995033
13,2008,95d1d257dfea69f178f8
14,1154,9cd02352c2ed7a3e2321
15,482,754f1d33b0ed61557754
16,1379,29b39881584c4fec1c58
17,4046,605436d35600502e8c2e
18,529,57646b9484b03f4076bb
19,1303,4fb92bd1fab3ba235858
20,2143,b86ace0ccafe0af8ceec
21,343,08ae0e5f727afabf1e71
22,1496,d5234e966aa231be05e5
23,830,6c99a9b10569a54b715f
24,1460,30296d2e8c07c81b40a6
25,590,cfc3cd7290e349d095d4
26,3273,8641d0ec9c4b21727b9a
27,1971,9f3b75bc3a2c4004a893
28,2149,a1dc71bed9d8f372c9e5
29,4072,a7f8c888870123f3b277
30,3914,857ae40d0fdf1c7e387e
31,4025,d54c93a11164b4abac6e
32,3151,483022b02f8329c323ac
33,3994,b1801204c2c4a34a9278
34,4101,05c8e4d5f25c1295f231
35,3602,e3c2b5ea1c83276cf63a
36,2566,b7cf293311f83700cd9a
37,2665,eb3bc3fba39e57adbc2f
38,1854,8b9ff1a26d840aaa6a49
39,995,776ee2c1e85ebde75168
40,2351,c1b9b6fc781ab8519301
41,2918,39963f2ef0f22d86beed
42,3990,a7bc3fb68bdecbbe086f
43,3811,156594686f5cf7182bcc
44,3673,c393010c592b487413e2
45,3235,f4fb5c03b8e8996e75f6
46,3934,9ffee2813aef5c26f96f
47,1823,0ae541927703401945de
48,3186,0d2aca4be80c9833ca6a
49,850,ea004678fc850c759752
50,2191,bae9d67e095423d8edd2
51,4121,0c5c35afb3a24375c153
52,2176,17902fa9c7f8ea9b456e
