outer_seed,method,fit_count,extra_ensemble_fits,epochs,optimizer_steps,training_seconds,gradient_seconds,gradient_extractions,ensemble_inference_seconds,selector_seconds,historical_round_elapsed_seconds,new_fit_count,new_training_seconds,cost_note
157,random,22,0,5088,5088,13230.07131624897,0.0,0,,,13233.653409168124,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
157,hybrid,64,42,22745,22745,54588.93335587403,0.0,0,,,52413.93357799802,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
157,lcmd,22,0,9025,9025,15679.980331747036,2134.406877292029,21,,,17830.27266583196,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
157,kernel_ivr,22,0,6319,6319,7110.5097735809395,1226.3361457501305,21,0.0,7.570522835070733,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed
887,random,22,0,4626,4626,14612.691804708971,0.0,0,,,14617.520892293775,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
887,hybrid,64,42,14208,14208,34119.90572512639,0.0,0,,,31946.67482391902,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
887,lcmd,22,0,5130,5130,11661.756138666009,2618.6504855421954,21,,,14296.980397081119,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
887,kernel_ivr,22,0,5906,5906,6650.651673000946,1284.646877502033,21,0.0,8.137940497952513,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed
2357,random,22,0,4342,4342,13893.361142957816,0.0,0,,,13898.503840082849,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
2357,hybrid,64,42,15517,15517,38945.5441934159,0.0,0,,,38570.69603774871,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
2357,lcmd,22,0,4890,4890,11279.715307041013,2786.3456260408857,21,,,14083.947924168198,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
2357,kernel_ivr,22,0,5435,5435,5804.335925458057,1211.1039336670074,21,0.0,8.441313874034677,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed
6101,random,22,0,4442,4442,14124.79068979394,0.0,0,,,14130.33405629103,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
6101,hybrid,64,42,15705,15705,39297.764888494916,0.0,0,,,38782.363265998196,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
6101,lcmd,22,0,4952,4952,11021.805413208902,2689.763395334303,21,,,13728.75166153902,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
6101,kernel_ivr,22,0,4932,4932,5215.36324325006,1191.8438323718146,21,0.0,8.158201331971213,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed
12203,random,22,0,4061,4061,13186.101234917063,0.0,0,,,13191.719035792048,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
12203,hybrid,64,42,13948,13948,35311.87187700311,0.0,0,,,34093.733543584065,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
12203,lcmd,22,0,4342,4342,8171.529583081079,1967.4438263330958,21,,,10154.220040458837,0,0.0,fit time includes validation/prediction; ensemble inference not separately timed; round elapsed overlaps components
12203,kernel_ivr,22,0,4990,4990,3268.0935548769776,815.4030328331282,21,0.0,5.018745664914603,,0,0.0,historical effort reused by this report; original IVR used 21 new fits per seed
