scope,outer_seed,method,metric,target,crossing,random_labels,method_labels,saved_labels,incremental_saving,status
cohort_mean,,hybrid,V1_MAE,N80,interpolated_labels,,842.3198859848401,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N80,first_observed_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N80,sustained_labels,,973.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N80,interpolated_labels,,977.2568839451958,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N80,first_observed_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N80,sustained_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N80,interpolated_labels,,926.6692946061485,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N80,first_observed_labels,,941.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N80,sustained_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N80,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N80,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N80,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_MAE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_MAE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_MAE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_MAE,Random@1005,interpolated_labels,921.2136084822027,522.3108090190003,398.9027994632024,0.6781597598404965,BOTH_REACHED
cohort_mean,,hybrid,V1_MAE,Random@1005,first_observed_labels,941.0,525.0,416.0,0.6842105263157895,BOTH_REACHED
cohort_mean,,hybrid,V1_MAE,Random@1005,sustained_labels,941.0,525.0,416.0,0.6842105263157895,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_MAE,Random@1005,interpolated_labels,921.2136084822027,511.58400867626415,409.6295998059386,0.6963959927124544,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_MAE,Random@1005,first_observed_labels,941.0,525.0,416.0,0.6842105263157895,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_MAE,Random@1005,sustained_labels,941.0,525.0,416.0,0.6842105263157895,BOTH_REACHED
cohort_mean,,lcmd,V1_MAE,Random@1005,interpolated_labels,921.2136084822027,527.6861543685924,393.52745411361036,0.669021335852887,BOTH_REACHED
cohort_mean,,lcmd,V1_MAE,Random@1005,first_observed_labels,941.0,557.0,384.0,0.631578947368421,BOTH_REACHED
cohort_mean,,lcmd,V1_MAE,Random@1005,sustained_labels,941.0,557.0,384.0,0.631578947368421,BOTH_REACHED
cohort_mean,,random,V1_MAE,Random@1005,interpolated_labels,921.2136084822027,921.2136084822027,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_MAE,Random@1005,first_observed_labels,941.0,941.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_MAE,Random@1005,sustained_labels,941.0,941.0,0.0,0.0,BOTH_REACHED
cohort_mean,,hybrid,V1_R2,N80,interpolated_labels,,634.5672775355667,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N80,first_observed_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N80,sustained_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N80,interpolated_labels,,805.0954315342888,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N80,first_observed_labels,,813.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N80,sustained_labels,,813.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N80,interpolated_labels,,588.5897481014882,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N80,first_observed_labels,,589.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N80,sustained_labels,,589.0,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N80,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N80,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N80,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N90,interpolated_labels,,926.3260289451687,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N90,first_observed_labels,,941.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N90,interpolated_labels,,844.8775932517594,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N90,first_observed_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N90,sustained_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N90,interpolated_labels,,928.978662329248,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N90,first_observed_labels,,941.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N90,sustained_labels,,1005.0,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N95,interpolated_labels,,968.2792919193971,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N95,first_observed_labels,,973.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_R2,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_R2,Random@1005,interpolated_labels,1005.0,512.245008731357,492.75499126864304,0.7332663560545283,BOTH_REACHED
cohort_mean,,hybrid,V1_R2,Random@1005,first_observed_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,hybrid,V1_R2,Random@1005,sustained_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_R2,Random@1005,interpolated_labels,1005.0,499.81296948701925,505.18703051298075,0.7517664144538404,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_R2,Random@1005,first_observed_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_R2,Random@1005,sustained_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,lcmd,V1_R2,Random@1005,interpolated_labels,1005.0,466.2140343145886,538.7859656854114,0.801764829889005,BOTH_REACHED
cohort_mean,,lcmd,V1_R2,Random@1005,first_observed_labels,1005.0,493.0,512.0,0.7619047619047619,BOTH_REACHED
cohort_mean,,lcmd,V1_R2,Random@1005,sustained_labels,1005.0,493.0,512.0,0.7619047619047619,BOTH_REACHED
cohort_mean,,random,V1_R2,Random@1005,interpolated_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_R2,Random@1005,first_observed_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_R2,Random@1005,sustained_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,hybrid,V1_RMSE,N80,interpolated_labels,,648.9938639335252,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N80,first_observed_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N80,sustained_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N80,interpolated_labels,,825.3641152781328,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N80,first_observed_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N80,sustained_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N80,interpolated_labels,,639.2771132735863,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N80,first_observed_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N80,sustained_labels,,653.0,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N80,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N80,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N80,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N90,interpolated_labels,,952.9531107831664,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N90,first_observed_labels,,973.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N90,sustained_labels,,973.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N90,interpolated_labels,,940.3254918873232,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N90,first_observed_labels,,941.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V1_RMSE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V1_RMSE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N95,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N95,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V1_RMSE,N95,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V1_RMSE,Random@1005,interpolated_labels,1005.0,511.54056607231274,493.45943392768726,0.7343146338209632,BOTH_REACHED
cohort_mean,,hybrid,V1_RMSE,Random@1005,first_observed_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,hybrid,V1_RMSE,Random@1005,sustained_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_RMSE,Random@1005,interpolated_labels,1005.0,498.6345045393992,506.3654954606008,0.7535200825306559,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_RMSE,Random@1005,first_observed_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,kernel_ivr,V1_RMSE,Random@1005,sustained_labels,1005.0,525.0,480.0,0.7142857142857143,BOTH_REACHED
cohort_mean,,lcmd,V1_RMSE,Random@1005,interpolated_labels,1005.0,460.2737479398629,544.7262520601371,0.8106045417561564,BOTH_REACHED
cohort_mean,,lcmd,V1_RMSE,Random@1005,first_observed_labels,1005.0,461.0,544.0,0.8095238095238095,BOTH_REACHED
cohort_mean,,lcmd,V1_RMSE,Random@1005,sustained_labels,1005.0,461.0,544.0,0.8095238095238095,BOTH_REACHED
cohort_mean,,random,V1_RMSE,Random@1005,interpolated_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_RMSE,Random@1005,first_observed_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,random,V1_RMSE,Random@1005,sustained_labels,1005.0,1005.0,0.0,0.0,BOTH_REACHED
cohort_mean,,hybrid,V2_MAE,N80,interpolated_labels,,668.8038102768509,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_MAE,N80,first_observed_labels,,685.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_MAE,N80,sustained_labels,,781.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N80,interpolated_labels,,849.2679631871131,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N80,first_observed_labels,,877.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N80,sustained_labels,,877.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N80,interpolated_labels,,733.6934650407977,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N80,first_observed_labels,,749.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N80,sustained_labels,,845.0,,,CENSORED_COMPARISON
cohort_mean,,random,V2_MAE,N80,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_MAE,N80,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_MAE,N80,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_MAE,N90,interpolated_labels,,886.6406668886489,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_MAE,N90,first_observed_labels,,909.0,,,CENSORED_COMPARISON
cohort_mean,,hybrid,V2_MAE,N90,sustained_labels,,909.0,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N90,first_observed_labels,,,,,CENSORED_COMPARISON
cohort_mean,,kernel_ivr,V2_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N90,interpolated_labels,,932.2412313713171,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N90,first_observed_labels,,941.0,,,CENSORED_COMPARISON
cohort_mean,,lcmd,V2_MAE,N90,sustained_labels,,,,,CENSORED_COMPARISON
cohort_mean,,random,V2_MAE,N90,interpolated_labels,,,,,CENSORED_COMPARISON
