method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
hybrid,kernel_ivr,V1_MAE,aulc,5,4,0,-0.0508479512778921,-0.0650453674605378,0.06993903274162733,-0.1022437017601788,0.008706846841056581
hybrid,lcmd,V1_MAE,aulc,5,3,0,-0.014119961423199623,-0.0045468471387051235,0.1212035991535263,-0.10812147843098532,0.07988155558458607
hybrid,random,V1_MAE,aulc,5,5,0,-0.4138727594874448,-0.3922006208881397,0.06140548019459033,-0.4618880771897734,-0.3658574417851161
kernel_ivr,lcmd,V1_MAE,aulc,5,2,0,0.03672798985469248,0.012169285643873096,0.08453445888868534,-0.024024946502622234,0.1003760179618975
kernel_ivr,random,V1_MAE,aulc,5,5,0,-0.36302480820955263,-0.37447981366736083,0.05611356592491533,-0.4022784544824809,-0.31555926683167945
lcmd,random,V1_MAE,aulc,5,5,0,-0.39975279806424513,-0.3521237382200517,0.08163278661056954,-0.47324144192464573,-0.34666059165291147
hybrid,kernel_ivr,V1_MAE,endpoint,5,3,0,0.01735837076493585,-0.046545451207698374,0.18119641437483722,-0.10851774112783748,0.1724469060234599
hybrid,lcmd,V1_MAE,endpoint,5,3,0,-0.013489452997843454,-0.016836071471802105,0.11919132527978867,-0.11378781526780539,0.08294610828518593
hybrid,random,V1_MAE,endpoint,5,5,0,-0.3928829748853505,-0.31905805349921734,0.1569742726794183,-0.522562687116847,-0.27585018418675705
kernel_ivr,lcmd,V1_MAE,endpoint,5,2,0,-0.0308478237627793,0.07504709161442857,0.1959884060058122,-0.19238995430852582,0.10795863149263303
kernel_ivr,random,V1_MAE,endpoint,5,5,0,-0.4102413456502864,-0.39347852334130007,0.17774768496264737,-0.53684219879498,-0.2727523619608343
lcmd,random,V1_MAE,endpoint,5,5,0,-0.3793935218875071,-0.42814966357297446,0.12995860163084347,-0.47981528892791536,-0.2789717548470988
hybrid,kernel_ivr,V1_MAE,gap_closed,5,3,0,-0.00302789332361435,0.034445077786095624,0.14240166235446092,-0.12028765646039725,0.10070591969634375
hybrid,lcmd,V1_MAE,gap_closed,5,3,0,0.007768705081180638,0.0120512081240578,0.09534793883445125,-0.07281041142908151,0.08331026721646273
