outer_seed,selection_order,canonical_index,sample_id
73,0,204,547923973b121019625f
73,1,1833,d3047299bd8817ee87dd
73,2,4158,1e775e7d8dcbf48fd6f8
73,3,3644,6020a000a87663526cc8
73,4,4053,3c358af26c2e2988cd46
73,5,3279,5524670e4337370c2ef6
73,6,1371,534afc6bd39a8f7923d8
73,7,596,122fbec0df9ecf1c5d89
73,8,1860,b1fcf9bf2e03028d2ef8
73,9,4046,605436d35600502e8c2e
73,10,1378,bd3435c0f9b14ec7997d
73,11,4066,7c6e7b244de393e8554d
73,12,2111,b8abc8f40545556f07e0
73,13,4008,050e2fab4b407ea058cb
73,14,4079,b7fffd840d208b29776c
73,15,199,fe40c32169d87261e1e9
73,16,2190,b0802294da4fd71d0f9d
73,17,2410,64c9e190e213bb061867
73,18,353,9c10e0827e86bb3c7681
73,19,1720,d01d365af220241485ec
73,20,1829,815afa4c05f8c4e7ef9c
73,21,3988,a0d6732883ffc7d063fb
73,22,2153,1395836aef00d6a880b0
73,23,1442,619663c2b3ffb3a6c497
73,24,831,b4351e5f05f6d477a6c0
73,25,1499,70cba7a21b5a01fb8e73
73,26,3717,c356230277dfc98406e0
73,27,1936,488727f2d41859d1ac45
73,28,2660,425fe9dfe0c3f345460b
73,29,833,880646809d9f015053f6
73,30,4059,fd9cda2d3ab32ea2a360
73,31,1375,9b1545dfa05c9439870b
311,0,2983,62d1db91c3839882736a
311,1,2065,aef5cafc63ca445e92fa
311,2,2008,95d1d257dfea69f178f8
311,3,3994,b1801204c2c4a34a9278
311,4,983,35f2be5f5aa14265e8a4
311,5,1894,0a79a24271d119590ae6
311,6,2069,4862e2fb71344ce16021
311,7,2029,bef8e35136c28810eb6b
311,8,2148,79ff49052bce33597828
311,9,2979,de3442604a546992b1e1
311,10,1521,0d588f7534b7a34cb10a
311,11,3150,e9a7d193dc3d83532c1f
311,12,621,6ce2b891280aed137ab8
311,13,566,48679ae48dd485ffb7a6
311,14,1895,a01a137fa48c1391b9e7
311,15,3605,0cf0d36290765378ae8d
311,16,836,71abc36775b6cce56da7
311,17,4079,b7fffd840d208b29776c
311,18,4161,1e971da91b3a8229f0e0
311,19,1056,376ba323d8d487f80cee
311,20,3799,7654254c03d9de79740f
311,21,1139,2c1a26f1476e0550985e
311,22,2448,96710afeabc594baa359
311,23,3279,5524670e4337370c2ef6
311,24,3661,0e3fa5113029ce384922
311,25,692,c5a12771920c4410d921
311,26,1499,70cba7a21b5a01fb8e73
