outer_seed,method,round,reuse_status,source_checkpoint,fit_contract_hash,initialization_seed,initialization_hash,train_ids_hash,validation_ids_hash,train_rows,validation_rows,best_epoch,epochs_run,best_validation_combined_normalized_rmse,checkpoint_sha256,checkpoint_state_hash,prediction_sha256,prediction_rows,training_seconds,test_labels_used_for_fit_or_checkpoint_selection,test_graph_label_state,model_variant,parameter_count
157,cw_ivr_portfolio,0,reused_historical_round0,/Users/fish/Documents/GitHub/column_chromatography_prediction/studies/active_learning/qgeognn_v2_row_sequential_b32/runtime/seed_157/lcmd/round_00/model/best.pt,2667bb2f225a3eb662fdb3b3ebc45e47bcd5134fd2e78f4c2bb50014945b2e1a,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,333,416,82,182,0.8538865655827187,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,4caaf2241a54b172f8cf0cc5069818c21f40db9eb66885f12e62b2c9b7b53683,449bcacedb3708db5846031c7a1db5ae7df047fe78b44a58088bf3f34a1b4374,417,235.10733525000975,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,1,new_fit,,060a3252d70304faae8e6e07b9f5c86af0e9cc284a95bf7548cc619c5ac3a04d,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,f131bc9e5014eebe6acda1e31ffcada219957a55ad25ab9f6ec086525e503002,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,365,416,110,210,0.7815354730773288,a48a0f790e0ec66497843b2a4a2ad60940e8e8ef1fac103ee9a0ac2c27e45c8e,3c537512d081e27e54cce0364f62c90ae4c8f30494e4eeb458e5338bd54150ce,e23e1821099eb5b0fcea64f8a5216852c466602f5201f8110e0f25acb8f8bbe9,417,221.64676770800725,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,2,new_fit,,4f47ff8d86986f2e311e03186abffc875d25fed5e0773488efd9d2b73a1fe3ae,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,dedf573bc521e66b247df3e2fd0d0e8f3ad39d723b1b0d8d36bdf7057957be43,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,397,416,118,218,0.6738204026116595,e75a67fd95c426b88068ebee0c65fc1d56bae2fe278cf96248e1b7002154103c,df4dcf3737f5eea75d20ede75844feef0fa782b18aaaf2979cf524d2abd2ef73,4a7fda793af327e9ca925f0a7aa3da789ea76b24f3655ca1d440cbee0e7c277c,417,255.15497554199828,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,3,new_fit,,914c9d23f414d24f4d9569fb7bcdc70b7af7d8f253513d30fbf2e5a81a85b1ab,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,9895c7cec4a1c5f71c52185b594121e09a77a20a21166ba3a8dced87fe6128af,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,429,416,195,295,0.5809813182230956,b12aaa12180967822c7cdde38d0d73fb44eeeadbb33d54068f844e89d3025e45,ff7157ed1c0872dcf2e5c065ec7f2758e17c80033962b86c7b5f668ce9d488fd,bb2c6f91df9f9ef6c4804073e05146e9d98163daae2246df910836677f32fe59,417,350.99244795799314,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,4,new_fit,,6fb0e7de3f9dba7227d94dc2be5c918d577cd5f4150418e6702e5e591676e36a,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,43b2f15d299eabb078df966496ed6e66c2d873353c40a9daa49ca06841cf8e45,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,461,416,213,313,0.5515753389924587,0a2ac845853bfb8def8c76333e07b30e30874c147314de10b1f842bfaa961ed9,c8f09f2280219547b5cf513217703eae085d8392b1d940affb23a75c3d20ef4d,3c4975c7b13a354cbe4b5c7e500d93aa3c27fd3b1d2bb3c5f5ffd204b4603053,417,412.6974849170074,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,5,new_fit,,d7abfe370860820d712e4511e9efa4ec6d8c7a06ef91c73dfcc8f729138d1157,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,2d114ad89b4a15b04e2e1383c0851298242d80dfac6ede3bdc14dee01762f87b,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,493,416,497,597,0.4820766652170259,7044528024d5f96c34aa6e6a73b8dff79e11fe4d9b38189af37578932f805e97,d59d6d74128813cb5acbfb511592a6a1db9f52cb4e0433b0d60d573ac6e7b9ff,4a01244c16bd0dd87fbf9ab72f3f7cb033e7e8e60806f18efd6ce31ff49aad38,417,791.5885619159963,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,6,new_fit,,513c2958d9edb7167d6b5aa6be901f7c095d61842a4cbb14fe0aa2d22090d2b5,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,654b116e8a0aedcae72b2afb15e704ef383b7b879303199d75a5b349a7f028ef,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,525,416,205,305,0.4804430018916914,457f35af21fee2809f5e8bb21982fb0c303a096b9a23a11e9490efc350ce533f,2a7c5e172331dff1b6b35068445ba7b72d0ab1af9293faecf59dafe0dcbffe25,a7508372ffe870acff7e6d43b2293347a2618cfb45893c5f6d5f34cdc68b1c27,417,405.38889274999383,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,7,new_fit,,a576617b6b9ae52a748416739e408eb4a9f5c86d6dc76d0e7ba697fa7a8f56e6,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,a901f707eaf3703ff1b98f1af1a9767b30f4371a65f56eea8713a6c8f32102d5,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,557,416,176,276,0.4481143495611587,237bac4b86b1af639a685bc20eb546d8a2b26b4a28c3fd64c9db003f3a7011c1,5a074fed3c2ff5b165dd2c99e20de0d8b99fbf21d7a4a1b739e9a13cc43ff9b3,1fa0e59d752ed4712b4f07ac2755d70cb8466b5e43e9f93283bbc16f65df5ff0,417,295.05702212499455,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,8,new_fit,,0d5d6d638ddc571d0821883e4c8cddec4ed61858c6e02b49372c029b44aef3c8,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,b6f20d96652ce6628f1ab1349e5fdf9be06d691b406738c75492eca3b49ee650,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,589,416,260,360,0.4290043171108221,f69a7cb2a7fac3292dd9a97401963d185e79cbfb13d7cea84e79e2ba8dd7527d,b9eac7559248aa09c55bc3739efcdeb6f0ae673c689a39dc79665a2c16c658e4,30ba493f4ab00d51e92a9bde3dd066a78beaea82c4f1af2986102509199dd253,417,421.76316387500265,0,zero_sentinel,qgeognn_v2,458952
157,cw_ivr_portfolio,9,new_fit,,7016bff0b3e7934ab6e12d2fce40264ebd078ee350dea07b3e97fcf4f9d11c57,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,788fe0b867fb3ea7d63c6a2e7fe8d47f137798218a8f94f35a16ecba2026756d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,621,416,362,462,0.4218395968841526,af040ce3bc100b3995961b7bb675730f7fc7c619dbcdb70ae7a1911c06c86e1d,36c6afe017064e0f21b369189feeccac744155b91111c19801f323c37a610148,73abefb3955aeb8becd10322f3dafa49ce02d4095a31fccc3f7f440515e1ac05,417,563.7321720420005,0,zero_sentinel,qgeognn_v2,458952
