outer_seed,method,source_round,source_budget,evaluation_round,evaluation_budget,checkpoint_reuse,new_fit,epochs_run,best_epoch,training_seconds,gradient_extraction_seconds,selector_seconds,total_elapsed_seconds
157,center_width_lcmd,10,653,11,685,False,True,286,186,693.2766913749947,103.53174679201038,0.16361462500935886,796.9720527920144
157,center_width_lcmd,11,685,12,717,False,True,332,232,777.7879124160099,139.9521234999993,0.287920041999314,918.0279559580085
157,center_width_lcmd,12,717,13,749,False,True,308,208,453.8002816669905,87.96296412499214,0.17904179201286752,541.9422875839955
157,center_width_lcmd,13,749,14,781,False,True,281,181,342.62731245800387,57.01417150000634,0.12035479200130794,399.7618387500115
157,center_width_lcmd,14,781,15,813,False,True,334,234,522.9546994580014,51.73660129100608,0.09067370800767094,574.7819744570152
157,center_width_lcmd,15,813,16,845,False,True,287,187,540.8508467920037,81.259721541006,0.1808513750002021,622.2914197080099
157,center_width_lcmd,16,845,17,877,False,True,342,242,682.8203035830084,88.71965854200243,0.13572437499533407,771.6756865000061
157,center_width_lcmd,17,877,18,909,False,True,332,232,719.6910865409882,88.45235858300293,0.09460241699707694,808.2380475409882
157,center_width_lcmd,18,909,19,941,False,True,347,247,697.1521945830027,75.24129074999655,0.09447300000465475,772.4879583330039
157,center_width_lcmd,19,941,20,973,False,True,291,191,478.93892279099964,61.18477391700435,0.06259120898903348,540.186287916993
157,center_width_lcmd,20,973,21,1005,False,True,441,341,767.5158703330089,53.95337791599741,0.077502165993792,821.5467504150001
6101,center_width_lcmd,10,653,11,685,False,True,228,128,568.2836912920029,102.59567100000277,0.15511333401082084,671.0344756260165
6101,center_width_lcmd,11,685,12,717,False,True,238,138,578.5702030829998,135.08866045800096,0.2600160000001779,713.9188795410009
6101,center_width_lcmd,12,717,13,749,False,True,279,179,511.5230690000026,128.29648166699917,0.2530729580030311,640.0726236250048
6101,center_width_lcmd,13,749,14,781,False,True,191,91,243.49366758299584,65.20671629199933,0.08001087499724235,308.7803947499924
6101,center_width_lcmd,14,781,15,813,False,True,202,102,271.0950495839934,60.45976866700221,0.11502379200828727,331.6698420430039
6101,center_width_lcmd,15,813,16,845,False,True,203,103,337.9403205419949,50.448192791998736,0.06844058299611788,388.45695391698973
6101,center_width_lcmd,16,845,17,877,False,True,231,131,415.7374161659973,84.53768841701094,0.10655749999568798,500.3816620830039
6101,center_width_lcmd,17,877,18,909,False,True,230,130,453.4088772919931,79.74367729199002,0.114528916994459,533.2670835009776
6101,center_width_lcmd,18,909,19,941,False,True,244,144,510.21098583399726,86.94942741699924,0.08793112500279676,597.2483443759993
6101,center_width_lcmd,19,941,20,973,False,True,293,193,669.263038916004,84.02403987500293,0.10040570799901616,753.387484499006
6101,center_width_lcmd,20,973,21,1005,False,True,207,107,477.95561887499935,75.80289812499541,0.12281395800528117,553.881330958
