outer_seed,comparator,metric,CW_minus_comparator
157,gradient_maxdet,NRMSE@461,-0.05630889413226914
157,gradient_maxdet,NRMSE@493,-0.04577194540376828
157,gradient_maxdet,NRMSE@525,-0.0966150098715235
157,gradient_maxdet,AULC_429_525,-0.04552442645426402
157,gradient_maxdet,AULC_333_525,0.08856092862108611
157,gradient_maxdet,V1_RMSE@525,-0.6798199510505429
157,gradient_maxdet,V2_RMSE@525,-1.1616040990140766
157,gradient_maxdet,V1_R2@525,0.1020996713806589
157,gradient_maxdet,V2_R2@525,0.06482481724838063
157,hybrid,NRMSE@461,-0.06355810568434184
157,hybrid,NRMSE@493,-0.07502573542954893
157,hybrid,NRMSE@525,-0.08425733878492125
157,hybrid,AULC_429_525,-0.05065175469297778
157,hybrid,AULC_333_525,0.08599726450172923
157,hybrid,V1_RMSE@525,-0.8073077639688102
157,hybrid,V2_RMSE@525,-0.4029565708344718
157,hybrid,V1_R2@525,0.12310589992502141
157,hybrid,V2_R2@525,0.021149000749579594
157,lcmd,NRMSE@461,-0.14313620182916664
157,lcmd,NRMSE@493,-0.07509200905451374
157,lcmd,NRMSE@525,-0.07974545616872553
157,lcmd,AULC_429_525,-0.09346662604893441
157,lcmd,AULC_333_525,0.06458982882375092
157,lcmd,V1_RMSE@525,-0.6577413973256516
157,lcmd,V2_RMSE@525,-0.6943049026701118
157,lcmd,V1_R2@525,0.09852143233958532
157,lcmd,V2_R2@525,0.03732599119394808
157,kernel_ivr,NRMSE@461,-0.03207521389740564
157,kernel_ivr,NRMSE@493,-0.04132631530707587
157,kernel_ivr,NRMSE@525,0.014751972657434997
157,kernel_ivr,AULC_429_525,-0.022875580533288975
157,kernel_ivr,AULC_333_525,0.09988535158157363
157,kernel_ivr,V1_RMSE@525,0.08639408380178715
157,kernel_ivr,V2_RMSE@525,0.22495031956392175
157,kernel_ivr,V1_R2@525,-0.011779363737784543
157,kernel_ivr,V2_R2@525,-0.01118796848889736
6101,gradient_maxdet,NRMSE@461,-0.05015134083804218
6101,gradient_maxdet,NRMSE@493,-0.0361194752845021
6101,gradient_maxdet,NRMSE@525,-0.011602354236004864
6101,gradient_maxdet,AULC_429_525,-0.02753542873515802
6101,gradient_maxdet,AULC_333_525,0.12723553929507636
6101,gradient_maxdet,V1_RMSE@525,-0.014433576914637314
6101,gradient_maxdet,V2_RMSE@525,-0.2840402171301255
6101,gradient_maxdet,V1_R2@525,0.0020672553459173404
6101,gradient_maxdet,V2_R2@525,0.02052352774655486
6101,hybrid,NRMSE@461,-0.005550327085708684
6101,hybrid,NRMSE@493,-0.05682351507586436
6101,hybrid,NRMSE@525,0.005421743710936178
6101,hybrid,AULC_429_525,-0.014600504249945523
6101,hybrid,AULC_333_525,0.1337030015376826
6101,hybrid,V1_RMSE@525,0.11920121052685051
6101,hybrid,V2_RMSE@525,-0.18546192145085882
6101,hybrid,V1_R2@525,-0.01680978563358082
6101,hybrid,V2_R2@525,0.013314701300810139
6101,lcmd,NRMSE@461,-0.050777452360016406
6101,lcmd,NRMSE@493,-0.07362418431335949
6101,lcmd,NRMSE@525,-0.08464337025203483
6101,lcmd,AULC_429_525,-0.06491296702919824
6101,lcmd,AULC_333_525,0.10854677014805625
6101,lcmd,V1_RMSE@525,-0.47317524830719737
6101,lcmd,V2_RMSE@525,-1.0244534051737881
6101,lcmd,V1_R2@525,0.07135263604868558
6101,lcmd,V2_R2@525,0.07758987895301117
6101,kernel_ivr,NRMSE@461,-0.03632744004045074
6101,kernel_ivr,NRMSE@493,-0.02047970325169246
6101,kernel_ivr,NRMSE@525,0.025483144456644014
6101,kernel_ivr,AULC_429_525,-0.010241402577366943
6101,kernel_ivr,AULC_333_525,0.1358825523739719
6101,kernel_ivr,V1_RMSE@525,0.2689409105674505
6101,kernel_ivr,V2_RMSE@525,-0.04632166263900306
6101,kernel_ivr,V1_R2@525,-0.03726158228488208
6101,kernel_ivr,V2_R2@525,0.003295218117488341
