outer_seed,source_round,acquisition_round,active_labels_before_acquisition,method_a,method_b,overlap_count,overlap_fraction
157,3,4,429,center_width_lcmd,lcmd,6,0.1875
157,3,4,429,center_width_lcmd,gradient_maxdet,3,0.09375
157,4,5,461,center_width_lcmd,lcmd,3,0.09375
157,4,5,461,center_width_lcmd,gradient_maxdet,3,0.09375
157,5,6,493,center_width_lcmd,lcmd,3,0.09375
157,5,6,493,center_width_lcmd,gradient_maxdet,1,0.03125
6101,3,4,429,center_width_lcmd,lcmd,1,0.03125
6101,3,4,429,center_width_lcmd,gradient_maxdet,0,0.0
6101,4,5,461,center_width_lcmd,lcmd,2,0.0625
6101,4,5,461,center_width_lcmd,gradient_maxdet,1,0.03125
6101,5,6,493,center_width_lcmd,lcmd,2,0.0625
6101,5,6,493,center_width_lcmd,gradient_maxdet,0,0.0
