outer_seed,source_budget,source_round,method_a,method_b,overlap_count,overlap_fraction
157,525,6,center_width_lcmd,gradient_maxdet,0,0.0
157,525,6,center_width_lcmd,lcmd,2,0.0625
157,557,7,center_width_lcmd,gradient_maxdet,0,0.0
157,557,7,center_width_lcmd,lcmd,1,0.03125
157,589,8,center_width_lcmd,gradient_maxdet,1,0.03125
157,589,8,center_width_lcmd,lcmd,2,0.0625
157,621,9,center_width_lcmd,gradient_maxdet,1,0.03125
157,621,9,center_width_lcmd,lcmd,0,0.0
6101,525,6,center_width_lcmd,gradient_maxdet,0,0.0
6101,525,6,center_width_lcmd,lcmd,2,0.0625
6101,557,7,center_width_lcmd,gradient_maxdet,1,0.03125
6101,557,7,center_width_lcmd,lcmd,1,0.03125
6101,589,8,center_width_lcmd,gradient_maxdet,1,0.03125
6101,589,8,center_width_lcmd,lcmd,0,0.0
6101,621,9,center_width_lcmd,gradient_maxdet,1,0.03125
6101,621,9,center_width_lcmd,lcmd,1,0.03125
