scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N80,0.506118591372539,582.3904573139089,589.0,,REACHED,1005.0
seed,157.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N90,0.4749792800417344,962.8607489086555,973.0,,REACHED,1005.0
seed,157.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N80,0.506118591372539,556.8773891432329,557.0,973.0,REACHED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N90,0.4749792800417344,794.1874226107013,813.0,,REACHED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,1005.0
seed,6101.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N80,0.5904782450796815,829.0290983380085,845.0,845.0,REACHED,1005.0
seed,6101.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N90,0.5454481823993969,844.9760272604968,845.0,,REACHED,1005.0
seed,6101.0,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N80,0.5904782450796815,863.2054822333682,877.0,877.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N90,0.5454481823993969,992.7830650251526,1005.0,1005.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
cohort_mean,,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N80,0.5482984182261103,828.5147044416125,845.0,845.0,REACHED,1005.0
cohort_mean,,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N90,0.5102137312205657,966.524728974072,973.0,,REACHED,1005.0
cohort_mean,,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N95,0.49117138771779334,,,,CENSORED,1005.0
cohort_mean,,gradient_maxdet,combined_normalized_RMSE,N80,0.5482984182261103,860.2862108503963,877.0,877.0,REACHED,1005.0
cohort_mean,,gradient_maxdet,combined_normalized_RMSE,N90,0.5102137312205657,1004.0320836521302,1005.0,1005.0,REACHED,1005.0
cohort_mean,,gradient_maxdet,combined_normalized_RMSE,N95,0.49117138771779334,,,,CENSORED,1005.0
