outer_seed,method,metric,target,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
157,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N80,546.3858279666607,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N90,560.6970216379422,589.0,589.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,combined_normalized_RMSE,N95,570.1683128373853,589.0,589.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_RMSE,N80,540.6468410723977,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_RMSE,N90,549.9917342368135,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_RMSE,N95,554.6641808190213,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_RMSE,N80,558.9823608749684,589.0,589.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_RMSE,N90,583.5017741346255,589.0,653.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_RMSE,N95,685.0519606632713,717.0,877.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_R2,N80,538.8354055768547,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_R2,N90,549.0223488997024,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V1_R2,N95,554.1158205611263,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_R2,N80,547.9424339989193,557.0,557.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_R2,N90,575.4544818860804,589.0,589.0,REACHED,1005.0
157,gradient_latent_fusion_maxdet,V2_R2,N95,668.5485891882049,685.0,813.0,REACHED,1005.0
157,gradient_maxdet,combined_normalized_RMSE,N80,547.3982969750375,557.0,557.0,REACHED,1005.0
157,gradient_maxdet,combined_normalized_RMSE,N90,555.297568020906,557.0,973.0,REACHED,1005.0
157,gradient_maxdet,combined_normalized_RMSE,N95,584.9067570918756,589.0,1005.0,REACHED,1005.0
157,gradient_maxdet,V1_RMSE,N80,543.9870902322076,557.0,557.0,REACHED,1005.0
157,gradient_maxdet,V1_RMSE,N90,550.5500828388589,557.0,1005.0,REACHED,1005.0
157,gradient_maxdet,V1_RMSE,N95,553.8315791421845,557.0,1005.0,REACHED,1005.0
157,gradient_maxdet,V2_RMSE,N80,552.8385083432278,557.0,557.0,REACHED,1005.0
