outer_seed,artifact,path,sha256,contract_hash,reuse_allowed,reason
157,scrubbed_graphs,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_157/scrubbed_graphs.pt,29c2d4c5d9b4b0165c7ef5d400c0d7a5ae53795e10aea67318f68705ec9d9239,f19153bc938131586ee230fbe34c7903ce2814115a16bbd3b8b6969ca8bc6976,True,all required content/protocol hashes match
157,gradient_features,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_157/gradient_features.npz,80c9a397f0c2d1b7caf8377929b046f24ed324718508ec35f6c6043672854147,e2272c82a6eff64cabfbca4aeac0bf3527f6c867dc9df42cde0f525eedb62c58,True,all required content/protocol hashes match
157,baseline_checkpoint,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_157/baseline_l0/best.pt,87e92ccdabc1dd64ecf89a3061624450ce125906c4cbb988d7263b190991b1c0,f19153bc938131586ee230fbe34c7903ce2814115a16bbd3b8b6969ca8bc6976,True,all required content/protocol hashes match
157,ensemble_member_1_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_157/ensemble_member_1/predictions.csv.gz,fcf8d4d4710bf9d190c26d87bc987518778187aef733618fddf56ada37e07d75,,True,all required content/protocol hashes match
157,ensemble_member_2_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_157/ensemble_member_2/predictions.csv.gz,3a419145dc2fbc72d580b56fb642bafdc29625f7f133422e32702ab986906afc,,True,all required content/protocol hashes match
887,scrubbed_graphs,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_887/scrubbed_graphs.pt,29c2d4c5d9b4b0165c7ef5d400c0d7a5ae53795e10aea67318f68705ec9d9239,2336d28e4b9bbe878d45a6eac4c946862a6e119e748cd9b51e15fa5cbce6181a,True,all required content/protocol hashes match
887,gradient_features,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_887/gradient_features.npz,747a27d934768cbb9d678883bb35281c26e883cf39a98d667078dddf7599dfd0,59edddf1940bf9e3c3d8871f730a3e509e35ae095211a2616f62fb7e653663ad,True,all required content/protocol hashes match
887,baseline_checkpoint,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_887/baseline_l0/best.pt,8a9c26efc0e8fd25420e56177f8becc8d12ddec204e564c6037fe58c12587059,2336d28e4b9bbe878d45a6eac4c946862a6e119e748cd9b51e15fa5cbce6181a,True,all required content/protocol hashes match
887,ensemble_member_1_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_887/ensemble_member_1/predictions.csv.gz,0e951f9e46bc71d7b774291a74ab47fc65358266344ecdbe22bd40d6777614ce,,True,all required content/protocol hashes match
887,ensemble_member_2_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_887/ensemble_member_2/predictions.csv.gz,ba2290b82f383b053b052746ca42ee5be02d74f950741708748485f5b3c60a98,,True,all required content/protocol hashes match
2357,scrubbed_graphs,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_2357/scrubbed_graphs.pt,29c2d4c5d9b4b0165c7ef5d400c0d7a5ae53795e10aea67318f68705ec9d9239,ea597bc4ddb9a54779813945cd7920a9c137600393c7a75a65f19155bd3d184a,True,all required content/protocol hashes match
2357,gradient_features,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_2357/gradient_features.npz,25b8741bf98d7f8d4e9515d7de931da066fc5b9eee0fcc262600729f576d5b51,7ee8ef8cd2efb550b4ca39c7a30e2e7b2b7113c8b369618b5febf7e87ee54f8d,True,all required content/protocol hashes match
2357,baseline_checkpoint,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_2357/baseline_l0/best.pt,ac34c895d573510f86f9aa1dd0b7b0c565dbf3fd80fa3763acab92c787de6731,ea597bc4ddb9a54779813945cd7920a9c137600393c7a75a65f19155bd3d184a,True,all required content/protocol hashes match
2357,ensemble_member_1_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_2357/ensemble_member_1/predictions.csv.gz,93dd5415fb4c8bab386f468c49871ce4ce837903eb3e4a250d6b39ca1d5a1c54,,True,all required content/protocol hashes match
2357,ensemble_member_2_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_2357/ensemble_member_2/predictions.csv.gz,1edde7c6fc06220bf93f21e43c05c21777a9fdd55dcd6cbe0830e10adcb966aa,,True,all required content/protocol hashes match
6101,scrubbed_graphs,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_6101/scrubbed_graphs.pt,29c2d4c5d9b4b0165c7ef5d400c0d7a5ae53795e10aea67318f68705ec9d9239,0c84bd921f2d7f0b4f82fdcdd447bf2c879289ebad2ba08aac09620da58d4751,True,all required content/protocol hashes match
6101,gradient_features,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_6101/gradient_features.npz,b1e3a748fb37ad2c180fc347e73153d2b011a16d9c9728ab91bbd5ec652e68b5,2736f2c6cc6c3012a3b519a5030fd321f1992933f2adb8239e349513f3fd393d,True,all required content/protocol hashes match
6101,baseline_checkpoint,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_6101/baseline_l0/best.pt,bcfffa247c3d24c8c74993ddb66cb59741ae14b1e67e8ed9543a8d1af7c6c494,0c84bd921f2d7f0b4f82fdcdd447bf2c879289ebad2ba08aac09620da58d4751,True,all required content/protocol hashes match
6101,ensemble_member_1_predictions,studies/active_learning/qgeognn_v2_row_small_batch_benchmark/runtime/seed_6101/ensemble_member_1/predictions.csv.gz,baeb84233b6932dc35fef0860295493358cb4f9783e79b0afaa8a5cb353b5679,,True,all required content/protocol hashes match
