outer_seed,selection_order,canonical_u0_position,canonical_index,sample_id,uncertainty_score,uncertainty_rank,in_top25_shortlist
157,0,2825,3934,9ffee2813aef5c26f96f,1.2206400997691158,22,True
157,1,1494,2066,aa43fe84c0d8c825fe58,0.28129638109677757,547,True
157,2,2966,4121,0c5c35afb3a24375c153,0.918355877741773,50,True
157,3,1761,2447,b51b5dbcd2a38b174973,0.3323713135791188,429,True
157,4,321,440,327064e6ca2c38d79d76,0.6325658012684421,119,True
157,5,1399,1938,b6f1b33a5491968c645e,0.3937179683953942,322,True
157,6,1396,1932,9de8f9fed06ef9d5befa,0.8106233590394029,63,True
157,7,77,114,9249ed2c527f70995033,0.611717011818527,131,True
157,8,2933,4079,b7fffd840d208b29776c,0.2315025013534074,715,True
157,9,1368,1898,a5f9179bfb146ad70953,0.8056011170525882,65,True
157,10,1558,2153,1395836aef00d6a880b0,0.9289319786817416,48,True
157,11,2574,3583,e3a799d0fa90b649a157,0.7315847779347487,87,True
157,12,1091,1499,70cba7a21b5a01fb8e73,1.2166270801810268,23,True
157,13,2953,4106,7155ede91e7e3232862a,0.584501676700254,150,True
157,14,1940,2692,ca467c94f14b2219503e,1.430881897970001,4,True
157,15,2368,3279,5524670e4337370c2ef6,1.2115818497239623,25,True
157,16,262,353,9c10e0827e86bb3c7681,1.4046514841238638,9,True
157,17,301,410,a2f83665cfe821271b30,0.425312311016337,264,True
157,18,2800,3896,c45057c2cab40f4fa2be,0.7512393277120558,80,True
157,19,1556,2151,59b54ad3a60a52cc2b2c,1.1163096699124213,28,True
157,20,2281,3150,e9a7d193dc3d83532c1f,0.5087642541567219,191,True
157,21,2787,3878,8e99350aac88fae9186b,0.47924006644322426,207,True
157,22,1623,2249,9ed7c1fb1c2cc499bbf9,0.6354429828217752,118,True
157,23,1936,2687,1cc3b837c6561b1c0a23,0.8221583158455976,61,True
157,24,1553,2148,79ff49052bce33597828,0.8944063796183276,54,True
157,25,1573,2175,a60552f4d1a5ced4641f,0.33187477353648465,436,True
157,26,2824,3933,a38fee52661fd3e3b7ea,1.1159671401089013,32,True
157,27,2893,4025,d54c93a11164b4abac6e,0.40846828905306637,284,True
157,28,2812,3914,857ae40d0fdf1c7e387e,1.086676069125626,42,True
157,29,1477,2044,b5aa0bae2967975bdf4b,0.3137525037136716,473,True
157,30,1493,2065,aef5cafc63ca445e92fa,0.29338735689279366,527,True
157,31,1011,1381,80f546c47198fa7c6dbf,1.6834329573639941,1,True
887,0,1475,2068,5b706e17e8412d02342f,0.8481226944155901,19,True
887,1,2274,3153,e4a7e43d15fcdee2ba1d,0.2227751238267299,556,True
887,2,1379,1938,b6f1b33a5491968c645e,1.179787796249857,4,True
887,3,301,410,a2f83665cfe821271b30,0.43453134682653477,227,True
887,4,1059,1500,942b8fc9cf013acda52b,0.6971117913616475,48,True
887,5,2839,3934,9ffee2813aef5c26f96f,0.4476423007904681,217,True
887,6,2327,3231,55200f8e501a16ffa0cf,0.48630247758022493,185,True
887,7,1338,1880,f433bc672465387d951a,0.6376251000840105,92,True
887,8,1325,1862,1aceeb0ee0419209d1c7,0.1989254305345536,626,True
887,9,1943,2690,c4bb286978fe9078a303,0.7662242690973324,37,True
887,10,2996,4162,b37608f8c4a8ee4b8696,0.40735077106266765,250,True
887,11,2628,3642,d3ffe87bbab76e5d5d56,0.6668502357676234,68,True
887,12,1354,1900,b85305d91a9e7cfa6005,0.8314018203619044,23,True
887,13,1843,2563,a6145bb0c9947f9515df,0.2607472139070295,475,True
887,14,2991,4155,65fcce0299e031dedeb8,0.44435435323985134,222,True
887,15,867,1211,23ef03f3e75e40b20095,0.36186214545047457,301,True
887,16,921,1303,4fb92bd1fab3ba235858,0.29506525926061955,393,True
887,17,1057,1496,d5234e966aa231be05e5,0.6484630808458278,79,True
887,18,2374,3297,cace6f00c46aea69fe39,0.4212799734985635,239,True
887,19,899,1264,74c8fcd8ac3f6caedcd2,0.2852083862080285,410,True
887,20,1052,1490,ebf38d80f4c5674cf120,0.17957097823253057,717,True
887,21,1447,2029,bef8e35136c28810eb6b,0.8317135282529532,21,True
887,22,2938,4074,5df546d9e2f2a29dfc89,0.20118763279806562,621,True
887,23,1605,2248,04ea307c7b7f3321cc20,1.0079261853993966,7,True
887,24,708,983,35f2be5f5aa14265e8a4,0.6644953526877745,75,True
887,25,298,406,89425cdfb228a6ebf75d,0.6735142245690121,61,True
887,26,765,1059,18aafc3a2522f8cc2983,0.5292078002934638,137,True
887,27,2995,4161,1e971da91b3a8229f0e0,0.5427541745099789,126,True
887,28,1606,2249,9ed7c1fb1c2cc499bbf9,1.1707350720831697,5,True
887,29,1409,1980,f91285c618eacb53538b,0.6385563039851011,85,True
887,30,1055,1493,f6c49d6bc4b677f17278,0.3184939587143759,365,True
887,31,85,113,28e9fea3e3293f2b8a0e,0.22052794454913122,569,True
2357,0,1836,2566,b7cf293311f83700cd9a,1.3362832291078017,3,True
2357,1,2276,3171,7e981ba02c83f74f5e65,0.5814255476149509,96,True
2357,2,2260,3153,e4a7e43d15fcdee2ba1d,0.33118237980527343,346,True
2357,3,1076,1500,942b8fc9cf013acda52b,1.2311466948881573,7,True
2357,4,2272,3166,e9b889b81ce52aedb70e,0.29441198748313485,421,True
2357,5,352,482,754f1d33b0ed61557754,0.37785990862569335,268,True
2357,6,1563,2177,3774a4dac6dd0f01d48d,0.40362392416558124,227,True
2357,7,820,1153,e47aebe2660b9e1528de,0.4588895650938721,170,True
2357,8,1123,1562,2b266fc41757f88e8b09,0.3772312019104901,270,True
2357,9,1750,2449,c76d0420b34df595c0c9,0.6304488025914444,73,True
2357,10,1310,1822,c982fb7ecc03831b90a4,0.6431226496867685,68,True
2357,11,785,1101,c3add4f9b8eb5e002281,0.6615285512449999,61,True
2357,12,1088,1519,c476eca5614cf9aa12d8,0.9207989437308853,18,True
2357,13,2731,3799,7654254c03d9de79740f,0.6300956761573222,74,True
2357,14,1243,1725,8e17cb06a37c48cc9ab5,0.268016435190048,479,True
2357,15,2864,3987,c68db037670dea886720,0.30199853854932723,399,True
2357,16,2970,4121,0c5c35afb3a24375c153,0.2270287641459426,646,True
2357,17,1907,2663,2b97a1e0a6a4b944b760,0.3680181895739365,296,True
2357,18,2258,3150,e9a7d193dc3d83532c1f,0.24663750517468994,560,True
2357,19,89,113,28e9fea3e3293f2b8a0e,0.316901825421284,382,True
2357,20,673,942,1211905ebc8972913270,0.39798097492902257,235,True
2357,21,848,1197,4d1e1e0eca90a46d77b2,0.3852498742222619,263,True
2357,22,2323,3241,761c3f82d640da44966c,0.5883863729515048,86,True
2357,23,1255,1742,ef04e37e6ef5b90e7ffd,0.2631940767021658,487,True
2357,24,982,1380,13ba7659fc6b864608f8,1.4064283460478129,2,True
2357,25,1371,1896,c08c4700ae34281b3318,0.25776555911986354,515,True
2357,26,1337,1856,4e93e36ab850bab3d594,0.3588267803575446,311,True
2357,27,450,624,302e458c5ed2285ca328,0.8738214053668283,23,True
2357,28,228,313,ae25864f890aaddebd63,0.3427553122259375,334,True
2357,29,614,853,2d178efe0181baca2bd5,0.7117129222144158,48,True
2357,30,2265,3158,ec71ea81bb34e0bf505e,0.2506369478009557,548,True
2357,31,2888,4018,52348febee6695107c49,0.5226128676799512,116,True
6101,0,1508,2070,b514312eda7950cdcf1c,0.5962014903343767,131,True
6101,1,2837,3934,9ffee2813aef5c26f96f,1.2238494889628542,12,True
6101,2,2742,3801,79362765eb92377a5970,0.764150455517352,81,True
6101,3,2996,4162,b37608f8c4a8ee4b8696,1.2320189336482334,11,True
