outer_seed,method,arm,initialization_seed,initialization_hash,l0_ids_hash,validation_ids_hash,test_ids_hash,target_scales_hash,training_config_hash,source
157,Gradient-LCMD,b32/lcmd,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
157,Hybrid,hybrid,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,extension
157,Random,b32/random_control_0,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
157,Random,b32/random_control_1,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
157,Random,b32/random_control_2,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
157,Random,b32/random_control_3,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
157,Random,b32/random_control_4,2000160,27933d44c40fa421228312c0940f971cf44564d39c1cf128e0b3b1acf85d75f6,1171988daf4e91eb3d866b44b1ba07f04a36e6f88eb953eda831b9c64c66854d,1c7360ea30a5bb2bbc04c1160ce749a6592ce89a5314acb6d1aa7bd7ce5d6ead,10a2ef48671c007be63ae19d9203e2af7c5f13b954f505102564aaeabe0ecc19,b815935a22203bf02d1f1feab3b6ac9310685740471b808f2c23c7324e3c2199,c7bf44133f21e5e95f63df9a334572426cc72171739d982b58cee8ea8e948ba9,frozen_primary
887,Gradient-LCMD,b32/lcmd,2000890,e8b80a6fa0e13af4ceeba87cca4c19aaa0d0938540f1b23a12735ab6b1248e71,7c4a495fbada80f6a2894d232c8e9da2d0fbdb72e36460ec8fad3673097b8eaa,c9d69291ee84c64472ce3af1a9d4479ba63acacae4993a663d261576a29306c3,990930f043cb4b5a7327059f853719d8ec62ce21eeaf1756acbc315e6c0a33de,e293bfb7911393082c769c32dababc3e5727b2d53c3e8169d80ca8cefab1ae64,028450c6cae91e91beb2737680db5fe1873489a8200d0e78c0fc3e157ae5cd05,frozen_primary
887,Hybrid,hybrid,2000890,e8b80a6fa0e13af4ceeba87cca4c19aaa0d0938540f1b23a12735ab6b1248e71,7c4a495fbada80f6a2894d232c8e9da2d0fbdb72e36460ec8fad3673097b8eaa,c9d69291ee84c64472ce3af1a9d4479ba63acacae4993a663d261576a29306c3,990930f043cb4b5a7327059f853719d8ec62ce21eeaf1756acbc315e6c0a33de,e293bfb7911393082c769c32dababc3e5727b2d53c3e8169d80ca8cefab1ae64,028450c6cae91e91beb2737680db5fe1873489a8200d0e78c0fc3e157ae5cd05,extension
887,Random,b32/random_control_0,2000890,e8b80a6fa0e13af4ceeba87cca4c19aaa0d0938540f1b23a12735ab6b1248e71,7c4a495fbada80f6a2894d232c8e9da2d0fbdb72e36460ec8fad3673097b8eaa,c9d69291ee84c64472ce3af1a9d4479ba63acacae4993a663d261576a29306c3,990930f043cb4b5a7327059f853719d8ec62ce21eeaf1756acbc315e6c0a33de,e293bfb7911393082c769c32dababc3e5727b2d53c3e8169d80ca8cefab1ae64,028450c6cae91e91beb2737680db5fe1873489a8200d0e78c0fc3e157ae5cd05,frozen_primary
