outer_seed,method,acquisition_space,batch_size,mean_raw_gradient_norm,median_raw_gradient_norm,mean_transformed_feature_norm,mean_nearest_l0_distance_own_space,mean_nearest_l0_raw_gradient_distance,mean_nearest_l0_latent_distance,mean_nearest_l0_condition_distance,unique_compounds,repeated_compound_fraction,exact_X_duplicate_rate,loading_solvent_counts_json,loading_solvent_PE_count,loading_solvent_EA_count,loading_solvent_DCM_count,eluent_EA_ratio_unique_count,eluent_EA_ratio_values_json,loading_amount_min,loading_amount_q25,loading_amount_median,loading_amount_q75,loading_amount_max,loading_volume_min,loading_volume_q25,loading_volume_median,loading_volume_q75,loading_volume_max,predicted_V1_q50_mean,predicted_V1_q50_std,predicted_V2_q50_mean,predicted_V2_q50_std,mean_ensemble_uncertainty,mean_ensemble_uncertainty_rank,fraction_in_uncertainty_top_25pct
73,latent_farthest_first,latent,32,356.6036739451399,348.74173173657783,165.22622489938266,46.024963836167345,210.1908672504457,46.024963836167345,0.4092689196867437,25,0.40625,0.0,"{""DCM"": 25, ""PE"": 7}",7,0,25,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",44.4,102.5,144.55,155.4375,210.89999999999998,200.0,300.0,300.0,425.0,1500.0,22.38630298152566,9.382121404555688,55.9320342540741,20.997390479872422,0.5321292442697874,187.25,0.9375
73,latent_lcmd,latent,32,276.79557530712486,255.49009519800506,116.50733091510007,36.63255728115681,169.13901067785753,36.63255728115681,0.14922584281357154,30,0.125,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,83.74125000000001,149.25,159.5625,278.59499999999997,200.0,300.0,300.0,300.0,700.0,17.370570555329323,7.666544200112218,39.043561071157455,16.33505618054329,0.4281360185548748,413.28125,0.84375
73,gradient_farthest_first,raw_gradient,32,444.7683719087805,439.5106088526785,444.7683719087805,267.3626336764873,267.3626336764873,35.07148055101925,0.22201746466525563,31,0.0625,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,4,"[""10/1"", ""2/1"", ""20/1"", ""50/1""]",50.0,79.6625,113.75,151.3,206.25,300.0,300.0,300.0,400.0,1000.0,20.81253507733345,8.558913544438557,46.2475448846817,20.66912358465139,0.5117199466739341,239.90625,0.9375
73,raw_gradient_lcmd,raw_gradient,32,366.45540850905974,366.072607827971,366.45540850905974,227.67323088248406,227.67323088248406,34.42843248044767,0.25555472253386513,29,0.1875,0.0,"{""DCM"": 24, ""PE"": 8}",8,0,24,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",49.5,102.8,144.55,167.8875,278.25,200.0,300.0,300.0,400.0,2000.0,17.734552890062332,7.472092723081529,40.91488170623779,16.0159670069461,0.42351257795907093,378.09375,0.875
73,gradient_norm_topB,raw_gradient,32,542.1696671126538,536.1810665418172,542.1696671126538,194.15624566667583,194.15624566667583,24.846103438332214,0.19448707700324408,17,0.78125,0.03125,"{""DCM"": 26, ""PE"": 6}",6,0,26,4,"[""10/1"", ""100/1"", ""20/1"", ""50/1""]",50.0,91.8125,110.2,136.025,201.75,200.0,300.0,300.0,400.0,1000.0,28.4575015604496,9.845788915871552,57.10229927301407,23.341712541051244,0.4029487221461053,532.25,0.6875
73,direction_lcmd,direction_gradient,32,105.1316652544492,91.38141947343343,1.0,0.8507914450987195,85.98827089854572,18.07168792607279,0.1366176327965507,30,0.125,0.0,"{""DCM"": 25, ""PE"": 7}",7,0,25,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",40.0,50.0,56.8,101.975,225.9,200.0,300.0,300.0,300.0,700.0,6.572222478687763,3.671003299303001,15.353845953941345,5.444151813087561,0.17585219282648445,1355.1875,0.25
73,tempered_lcmd_alpha_0p5,tempered_gradient_alpha_0p5,32,239.12050102190352,227.09479199538833,15.13073869186698,10.903560739150556,174.2227786680524,28.11081794256684,0.11283061769193335,28,0.25,0.0,"{""DCM"": 25, ""PE"": 7}",7,0,25,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",40.0,54.099999999999994,102.15,144.825,175.2,200.0,300.0,300.0,300.0,800.0,11.715100351721048,6.542802122569179,29.744967192411423,15.27421813350986,0.347034181803973,450.5,0.84375
73,output_whitened_lcmd,output_whitened_gradient,32,333.0282722346807,314.18733796284096,399.98137317251405,277.08637221677486,221.73185766518674,33.39382451370034,0.27513044987236746,28,0.25,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",40.0,52.375,114.3,169.17499999999998,235.95,300.0,300.0,300.0,400.0,1500.0,15.040104676038027,8.513446765336827,39.412842750549316,18.57242205019019,0.43560459695890685,284.96875,0.9375
73,center_width_lcmd,center_width_gradient,32,351.3872587536336,361.26611999417855,324.71144039435177,204.72653146923966,219.3980455176727,33.186125950463605,0.24125886991612414,28,0.21875,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,5,"[""1/1"", ""10/1"", ""20/1"", ""5/1"", ""50/1""]",49.5,59.925,122.4,162.5,201.75,200.0,300.0,300.0,400.0,2000.0,17.552281484007835,6.519660631607389,44.54815053939819,16.834037437899873,0.4176961788661346,293.0625,0.90625
311,latent_farthest_first,latent,32,451.8621011726387,451.74166793807103,167.01592221910704,42.614407411521526,271.3502887887631,42.614407411521526,0.5287965624526052,21,0.5625,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,60.37375,116.5,142.95,210.89999999999998,300.0,300.0,300.0,700.0,1500.0,25.83723347261548,12.10046349353571,57.14390178024769,20.40407310578365,0.6341378629005688,254.8125,0.90625
