method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE
kernel_ivr,333,0.706752581442242,5.184738211156995,9.676954325956611
kernel_ivr,365,0.6733202771170154,5.015125689666759,9.081222155025547
kernel_ivr,397,0.6377450736807513,4.784684146130627,8.610681605852383
kernel_ivr,429,0.6018597915543762,4.548895911884352,7.977525673666608
kernel_ivr,461,0.5661588052842534,4.3480673262317975,7.254303680514532
kernel_ivr,493,0.5415458029736028,4.197885460972903,6.852752453970211
kernel_ivr,525,0.507021383715462,3.9032475437709544,6.554491266700491
kernel_ivr,557,0.5297711623883159,4.064968608853301,6.74378008870754
kernel_ivr,589,0.5078562167390973,3.951413142984157,6.378960669264214
kernel_ivr,621,0.5067935586406501,3.948519905379957,6.322244236208796
kernel_ivr,653,0.5047316989992149,3.948334565536652,6.218466320556518
kernel_ivr,685,0.4877094829407995,3.8303405180746077,5.990753825055274
kernel_ivr,717,0.4876937486670685,3.82281715276753,6.007559325744383
kernel_ivr,749,0.47113410007564527,3.7066390071497963,5.766839307347373
kernel_ivr,781,0.448611962096349,3.575407685656077,5.299532884411725
kernel_ivr,813,0.4389099753235164,3.5449021130093166,5.083906595521913
kernel_ivr,845,0.4128938509197977,3.267492904347381,4.970407768466326
kernel_ivr,877,0.4111414728195239,3.2682278875502035,4.916736071988813
kernel_ivr,909,0.4113896256329685,3.268525347996564,4.902845577040135
kernel_ivr,941,0.4091153969331775,3.2747558446511844,4.779774358943873
kernel_ivr,973,0.394734174870685,3.126399220020165,4.761471761959716
kernel_ivr,1005,0.39591341209925746,3.168244885942213,4.645669413829663
lcmd,333,0.706752581442242,5.184738211156995,9.676954325956611
lcmd,365,0.6631462288249763,4.907886426828962,8.894683739681577
lcmd,397,0.6433792397945742,4.804047695741988,8.382742474022791
lcmd,429,0.5926986458598484,4.460525769468725,7.63415549337183
lcmd,461,0.5531633002364338,4.138702220427742,7.109750568380543
lcmd,493,0.5253030915916783,4.023203685921549,6.537222149080016
lcmd,525,0.507750219121164,3.870995748156825,6.296644537473002
lcmd,557,0.4831940110855217,3.6902820992724257,6.104106116574885
lcmd,589,0.45560083655998296,3.532730878227219,5.621858107089885
lcmd,621,0.44758397199080563,3.4869686236002537,5.533785918679131
lcmd,653,0.4367913643948073,3.4007379508222164,5.426925384797538
lcmd,685,0.43107539208805373,3.391053814720493,5.258997349443609
lcmd,717,0.4290525441491949,3.4030321273075677,5.187706618774965
lcmd,749,0.4180738553739232,3.332846158755218,5.003269905911212
lcmd,781,0.4269478414906616,3.3954166474693586,5.121433283629939
lcmd,813,0.4205113953005789,3.3237363890785625,5.095820400032195
lcmd,845,0.41431745910549617,3.2933918904828623,4.95135460720474
lcmd,877,0.4212443924698281,3.3171879798043884,5.11553726267252
lcmd,909,0.4231578294009716,3.37987355603678,5.0131470017113395
lcmd,941,0.4048515273803905,3.2158828371536345,4.831564033390963
lcmd,973,0.4147840867181949,3.2922660914349478,4.9769942740542366
lcmd,1005,0.4086138896739119,3.241493742650338,4.922502152014511
random,333,0.706752581442242,5.184738211156995,9.676954325956611
random,365,0.667577610664019,4.969685338882487,8.973439498429409
random,397,0.703284447734656,5.199203317934512,9.6044997757879
random,429,0.6802771848490827,5.030841612902113,9.20149181820636
random,461,0.6823768283744339,5.048039617059901,9.264933294772268
random,493,0.6734614780061358,4.979037737719476,9.256781939995005
random,525,0.6659587135047629,4.916183104818683,9.224748726220596
random,557,0.6697002124291106,4.948240712870421,9.127328420127219
random,589,0.6530791527056533,4.875643707636862,8.73900106604373
random,621,0.6271753738778327,4.743355837879606,8.317971120466094
random,653,0.6293617826633385,4.740612623401012,8.36754335982039
random,685,0.5959127248675093,4.4520178494125116,7.935638540747101
random,717,0.6257754935702237,4.682011010692413,8.340056198026588
random,749,0.6130536608343531,4.59499556515965,8.082140323111439
random,781,0.608983043486574,4.555729015853862,8.075816411596952
random,813,0.5823406456904026,4.394305963661421,7.627907074717667
random,845,0.5845240665841864,4.36081546772564,7.763239813212591
random,877,0.5806761518538238,4.341251016992872,7.549205965855603
random,909,0.5564586778542028,4.248806497778756,7.095797812047698
random,941,0.5430129816108427,4.149944496002865,6.912786107602382
random,973,0.5414498746107598,4.1881161335348525,6.729568288943807
random,1005,0.5433010055541065,4.146006127161856,6.873136166267011
