outer_seed,method,normalized_AULC
157,kernel_ivr,0.5486373507083153
157,lcmd,0.5830240925144091
157,random,0.773868932054304
887,kernel_ivr,0.38413904906096824
887,lcmd,0.3429492000486118
887,random,0.4654395623144185
2357,kernel_ivr,0.4460000358374404
2357,lcmd,0.3919416097237422
2357,random,0.5240780186950685
6101,kernel_ivr,0.6802780839081188
6101,lcmd,0.6550766786112255
6101,random,0.7878860619322093
12203,kernel_ivr,0.4412956133763525
12203,lcmd,0.4247013877913356
12203,random,0.5700290676873516
