outer_seed,method,fit_count,epochs,training_seconds,gradient_seconds,ivr_seconds,new_training_seconds,new_gradient_seconds
157,random,22,5088,13230.07131624897,0.0,0.0,0.0,0.0
157,lcmd,22,9025,15679.980331747036,2134.406877292029,0.0,0.0,0.0
157,kernel_ivr,22,6319,7110.5097735809395,1226.3361457501305,7.570522835070733,6875.40243833093,1100.878575375129
887,random,22,4626,14612.691804708971,0.0,0.0,0.0,0.0
887,lcmd,22,5130,11661.756138666009,2618.6504855421954,0.0,0.0,0.0
887,kernel_ivr,22,5906,6650.651673000946,1284.646877502033,8.137940497952513,6334.349453375966,1127.6682787930476
2357,random,22,4342,13893.361142957816,0.0,0.0,0.0,0.0
2357,lcmd,22,4890,11279.715307041013,2786.3456260408857,0.0,0.0,0.0
2357,kernel_ivr,22,5435,5804.335925458057,1211.1039336670074,8.441313874034677,5416.175858042028,1084.2539659169852
6101,random,22,4442,14124.79068979394,0.0,0.0,0.0,0.0
6101,lcmd,22,4952,11021.805413208902,2689.763395334303,0.0,0.0,0.0
6101,kernel_ivr,22,4932,5215.36324325006,1191.8438323718146,8.158201331971213,4924.2948073750595,1087.4332463298342
12203,random,22,4061,13186.101234917063,0.0,0.0,0.0,0.0
12203,lcmd,22,4342,8171.529583081079,1967.4438263330958,0.0,0.0,0.0
12203,kernel_ivr,22,4990,3268.0935548769776,815.4030328331282,5.018745664914603,3055.0710039189435,712.4290660000988
