outer_seed,arm,split,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2,combined_normalized_RMSE,V1_RMSE_MAE_ratio,V2_RMSE_MAE_ratio,all_outputs_finite,baseline_L0_NRMSE,gain
73,lcmd,test,3.5803327585173568,7.296415779619775,1.80099842931441,3.322699249505425,0.8174484028223181,0.7863302131682346,0.4931230105418764,1.987971061074323,2.195930245780092,True,0.9060071987044153,0.41288418816253886
73,random_control_0,test,5.92658885368499,10.630697606974449,2.693320541930713,4.958570917161534,0.4997945117024497,0.5464266824142217,0.7776064366928338,2.200476609232892,2.1439035126394534,True,0.9060071987044153,0.12840076201158146
73,random_control_1,test,6.261948832220631,11.424183564536433,2.9170209418097848,5.2675552105160355,0.4415839633554437,0.47618936170211357,0.8265561687966619,2.146693135612382,2.168782880857031,True,0.9060071987044153,0.07945102990775332
73,random_control_2,test,5.346676572103466,10.225951371400418,2.6022127257834238,5.144234608689087,0.5928947712434813,0.5803073000695884,0.7181534303232545,2.0546654464975735,1.9878470072356038,True,0.9060071987044153,0.18785376838116075
73,random_control_3,test,6.581526048846506,10.89188445532362,2.9565763027547933,5.112920287129977,0.3831322557232021,0.5238650953487576,0.8407194591917939,2.226063316111328,2.1302668228057855,True,0.9060071987044153,0.06528773951262135
73,random_control_4,test,5.973800384327737,11.328990167301425,2.867370161221182,5.321794758025977,0.4917934411463598,0.4848824237184637,0.7998200524037483,2.0833725847881324,2.128791259793662,True,0.9060071987044153,0.10618714630066695
311,lcmd,test,3.6407455464820058,7.171578553974832,1.9362656344040978,3.4891836225843544,0.8028512344940257,0.8120117164718923,0.48597437104135477,1.8802923946963899,2.0553743596512173,True,0.8370259008474962,0.3510515298061414
311,random_control_0,test,6.597908236660147,11.491628189643539,3.0563102734746406,5.070694185847001,0.35252060786632233,0.517314342051281,0.8359461586630405,2.158782206742104,2.266283031171203,True,0.8370259008474962,0.0010797421844557231
311,random_control_1,test,6.26662104349112,10.955710383550773,3.1519411650778864,4.840934172522822,0.41590932392714874,0.5612851359349331,0.7951513473604946,1.9881783051417674,2.2631397150028327,True,0.8370259008474962,0.04187455348700153
311,random_control_2,test,5.279804003437736,9.461031340330122,2.6370819083792414,4.906241821728164,0.5853811811842595,0.6728264208413354,0.6766085964277613,2.0021387984428287,1.9283662901470249,True,0.8370259008474962,0.1604173044197349
311,random_control_3,test,5.032604189071913,8.825776313859386,2.497926728616801,4.246304905385994,0.6232971051426057,0.7152871325933887,0.6393602269401639,2.0147124939323824,2.0784603344580392,True,0.8370259008474962,0.19766567390733225
311,random_control_4,test,5.758086230892726,10.34019467851366,2.7831637687820323,4.798480977257379,0.506860560809229,0.6091962758006098,0.7385457112369219,2.0688995363763945,2.1548891675347863,True,0.8370259008474962,0.09848018961057425
1297,lcmd,test,3.6218088136431112,5.9307470653033105,1.8489171017845758,3.1347878602483004,0.8181733559313239,0.8626383849244947,0.44693935561624715,1.9588811256855916,1.8919133701230895,True,0.7085251894017569,0.26158583378550976
1297,random_control_0,test,4.985133758980214,8.318249256007658,2.314363939299,4.019288802890183,0.6555230939416712,0.7297843844305305,0.6198488845359158,2.1539973356524755,2.069582372390405,True,0.7085251894017569,0.0886763048658411
1297,random_control_1,test,4.763526638699389,7.937613405994031,2.26058517600135,3.8411324727449485,0.6854688396637446,0.7539482435191178,0.5919654207453919,2.1072095355085816,2.0664773897583535,True,0.7085251894017569,0.11655976865636497
1297,random_control_2,test,4.8671107615647555,8.046405282700835,2.2619357463553085,3.6026686741579637,0.6716409882187853,0.7471573170106022,0.6029102047828596,2.1517458086098182,2.2334569205372423,True,0.7085251894017569,0.10561498461889729
1297,random_control_3,test,4.937666295435454,8.398175656821937,2.242392008824886,3.7921120440073723,0.6620519447789699,0.7245666707733355,0.6187964038334272,2.201963918888122,2.2146433331508413,True,0.7085251894017569,0.08972878556832975
1297,random_control_4,test,4.601316753161786,7.964205367405455,2.1380059547561534,4.234373750160638,0.7065252491383263,0.7522968759365545,0.5808986407292062,2.1521533852259926,1.8808461031819215,True,0.7085251894017569,0.12762654867255074
4093,lcmd,test,3.566861496328339,4.765788373134667,1.7156784500149513,2.583233586604075,0.7688120554718562,0.8897020858879865,0.3742203436100851,2.0789801820365907,1.844892540050853,True,0.6538488839229488,0.2796285403128637
4093,random_control_0,test,4.424363165725718,7.20745177539697,2.204242833798452,3.5608835566243964,0.6442915121668237,0.747732511767806,0.4978948964743493,2.007203152885589,2.0240627531862914,True,0.6538488839229488,0.1559539874485995
4093,random_control_1,test,4.694375594331724,9.238264892486454,2.6082099158700993,4.2726192660183075,0.5995499419916817,0.5855438254064191,0.5747392944430745,1.7998457738267128,2.1622017589916633,True,0.6538488839229488,0.07910958947987434
4093,random_control_2,test,4.616843689982004,7.573472997416882,2.147008726350981,3.5974711196885694,0.6126683066253897,0.7214597537450228,0.5210073732853836,2.1503609339439955,2.105221347287011,True,0.6538488839229488,0.13284151063756522
4093,random_control_3,test,4.253822372143816,6.2868667155850355,2.042056711457616,3.1153156239923527,0.6711851717224715,0.8080596426602795,0.4614669622706176,2.0831068737104004,2.0180512905874566,True,0.6538488839229488,0.1923819216523312
4093,random_control_4,test,4.998919777615193,7.485732984171307,2.4584461676416924,3.9280134176464676,0.5459067702946641,0.7278762443377954,0.544846088852747,2.0333655637497623,1.905729993319754,True,0.6538488839229488,0.10900279507020183
8191,lcmd,test,3.445086807112125,5.321794558381629,1.725651880534147,2.927013517283707,0.7671335875476404,0.8739898359980582,0.4008085719976819,1.9963973301763247,1.818165350777163,True,0.7743949296661449,0.373586357668463
8191,random_control_0,test,4.749978534319638,9.10489703568486,2.3317256705652323,4.453840216858495,0.5573200955178806,0.6311587847094262,0.605081945055585,2.0371086505936176,2.044280125097747,True,0.7743949296661449,0.16931298461055988
