outer_seed,arm,split,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2,combined_normalized_RMSE,V1_RMSE_MAE_ratio,V2_RMSE_MAE_ratio,all_outputs_finite
73,baseline_l0,train,0.7861919830976845,1.578328383911053,0.5311559735833704,0.7788204989275774,0.9861781292993348,0.9906561279314713,0.10762374694484539,1.4801527652861528,2.0265624570544616,True
73,baseline_l0,validation,7.365712818329565,12.829065625524024,3.5642740416985292,6.416593332703297,0.2577795461507879,0.40057710513849165,0.9567015166348757,2.066539422097715,1.9993577526782684,True
73,baseline_l0,test,6.869652107484623,12.503379329350373,3.279981340435769,6.330409720075502,0.3279395460734935,0.3725504920386342,0.9060071987044153,2.094418045247764,1.975129554363386,True
311,baseline_l0,train,2.0530738261871635,2.979673907407384,1.349318915301257,1.6791020127030107,0.9179863431454267,0.9629822004554307,0.24395843898868416,1.521563066303552,1.7745639543429041,True
311,baseline_l0,validation,5.284027137685118,10.7026944342171,2.8967169609207373,5.286703586578369,0.489006614189446,0.5494260977870411,0.7144416459920727,1.8241434040575233,2.0244551749389905,True
311,baseline_l0,test,6.469330785087148,11.864428696591041,3.3858482351691888,5.7502816106489805,0.37751036624150947,0.48548869211970824,0.8370259008474962,1.9106972125594637,2.0632778531436156,True
1297,baseline_l0,train,1.7962586457679761,2.428959716006669,0.9772188613364646,1.5422987966566115,0.9408047015507367,0.9733551606645648,0.20717158431663246,1.8381334180465734,1.574895682517653,True
1297,baseline_l0,validation,4.44495521363618,8.837093494924657,2.352401360296286,4.892459526658058,0.5749662699050097,0.600993121986216,0.597983565361004,1.8895394674811512,1.8062680839305991,True
1297,baseline_l0,test,5.490817152378823,9.991931123840061,2.530792692010637,4.857471271670407,0.5820922318335682,0.6101069922560987,0.7085251894017569,2.169603685719725,2.057023205080942,True
4093,baseline_l0,train,1.8185815578363222,2.304598143921498,1.0016269282893733,1.2919829070747075,0.949717416743122,0.9797373375387325,0.18781007923662094,1.8156276618303218,1.7837682923681568,True
4093,baseline_l0,validation,5.2822280698457735,9.781377927026076,2.7857879592249026,5.1313674587469835,0.526562689487373,0.6404574504146976,0.6281825379537359,1.8961342884529742,1.9061932332194678,True
4093,baseline_l0,test,5.714700122262904,9.693934738680358,2.8140652654268186,4.758533634727807,0.4065562177515336,0.5436500829946211,0.6538488839229488,2.030763178264857,2.037168481469578,True
8191,baseline_l0,train,4.326786127259528,7.697620373197375,2.3579856726500363,4.0457431020679415,0.6799287484057959,0.7523310326990487,0.5327946440467713,1.834950134534466,1.9026468510229462,True
8191,baseline_l0,validation,6.200155128538642,11.812034084306017,3.2979702201600256,6.146416222819915,0.4423284616906047,0.4910362591772284,0.7875349660152986,1.8799912414727005,1.9217758212421827,True
8191,baseline_l0,test,5.976647377703816,11.86743445922267,3.10904754608941,6.185445946183422,0.29915532170519543,0.37338173412980247,0.7743949296661449,1.9223402952525768,1.9186061219313022,True
