outer_seed,arm,gradient_norm_mean,nearest_L0_gradient_distance_mean,initial_L0_clusters_covered,unique_compounds,compound_repeated_row_fraction,nearest_L0_condition_distance_mean,unique_eluent_ratios,unique_loading_solvents
73,lcmd,211.04241315962622,133.37734136904217,131,157,0.8288288288288288,0.2339867518910776,10,3
73,random_control_0,124.95839911542438,62.63815780904312,182,159,0.8138138138138138,0.21300203796812087,9,3
73,random_control_1,123.29221372857872,64.79694486357221,175,163,0.8138138138138138,0.20168494655822009,7,3
73,random_control_2,131.18889132490526,66.46558994608034,170,167,0.7987987987987988,0.2319989156858246,7,3
73,random_control_3,118.9287741513814,62.167328087176486,177,161,0.8108108108108109,0.2165796441394331,9,3
73,random_control_4,123.53921327428206,64.13029924557837,178,162,0.8078078078078078,0.2333930809499679,9,3
311,lcmd,265.3235688375276,163.09423893505326,135,162,0.8078078078078078,0.21896847188766408,9,3
311,random_control_0,139.0418910562108,69.4477723795551,167,157,0.8318318318318318,0.20250227010662755,9,3
311,random_control_1,146.29099200990595,76.05534312672528,175,170,0.7897897897897898,0.18041801959620202,9,3
311,random_control_2,143.76653637128985,76.10541429813755,180,162,0.7987987987987988,0.21595060681034853,8,3
311,random_control_3,150.87283659921326,75.14736993098077,184,172,0.7537537537537538,0.19606253297407986,10,3
311,random_control_4,145.07451606858646,74.49417313637669,182,162,0.7957957957957958,0.20009871113307034,9,3
1297,lcmd,217.89831566769385,130.16345621605333,131,156,0.8348348348348348,0.19079036895757648,7,3
1297,random_control_0,113.0230162234082,57.95840979420221,165,155,0.8078078078078078,0.1797582593990501,8,3
1297,random_control_1,117.51196689628854,59.96722978399495,168,171,0.7627627627627628,0.15966687889938525,9,3
1297,random_control_2,122.58538218997616,61.64205321854814,180,162,0.8018018018018018,0.17032973058630121,9,3
1297,random_control_3,116.36528395621228,56.27582158733263,181,175,0.7747747747747747,0.1670623766172708,9,3
1297,random_control_4,122.82736710918176,62.95711209777118,176,170,0.7357357357357357,0.20188903790808077,9,3
4093,lcmd,187.01810349499047,121.15187213026604,137,172,0.7837837837837838,0.26127354455248286,7,3
4093,random_control_0,118.84128863017236,65.42742706095451,173,163,0.8108108108108109,0.20299360574070677,9,3
4093,random_control_1,113.12141919252882,62.84085803383446,175,159,0.8138138138138138,0.22453415096078808,8,3
4093,random_control_2,121.75708931422776,63.316049125943934,172,159,0.8288288288288288,0.18128611264955224,9,3
4093,random_control_3,108.87456625692354,57.917323573178116,177,170,0.7867867867867868,0.21000994692134248,9,3
4093,random_control_4,115.96802743955128,60.8915994519662,169,169,0.7837837837837838,0.17492304902861813,9,3
8191,lcmd,151.28625780672454,81.85948924862831,153,157,0.8318318318318318,0.24597543995457213,9,3
8191,random_control_0,97.2249973895304,42.161679457553056,187,161,0.7957957957957958,0.20412525818326618,8,3
8191,random_control_1,95.05102314378975,39.946103360136114,180,160,0.8048048048048048,0.20031545645792972,9,3
8191,random_control_2,96.54223916567814,43.196758457003874,179,170,0.7627627627627628,0.20363723089206717,9,3
8191,random_control_3,95.71415258113079,42.25983196292444,184,166,0.8018018018018018,0.19098117760457406,9,3
8191,random_control_4,97.38329629784003,43.80033570467772,184,165,0.8018018018018018,0.20204153826163784,10,3
