outer_seed,arm,fit_contract_hash,initialization_seed,initialization_hash,train_ids_hash,validation_ids_hash,train_rows,validation_rows,best_epoch,epochs_run,best_validation_combined_normalized_rmse,checkpoint_sha256,prediction_sha256,prediction_rows,training_seconds,test_labels_used_for_fit_or_checkpoint_selection,test_graph_label_state,model_variant,parameter_count
73,baseline_l0,0a4fefff93c2b88db37e465ea0d27f30e0f628abca8f5263d82c7c18c1490ca0,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,40561f1da4da86a3f5b585a0401d7b8b4f3aa38fbacb7f1f909a6c33bb3de800,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,333,416,121,221,0.9567015178861998,4ca7bdf79e0a4277227431b58fde4dbe67f7f536a25037552feff98be47b8aa8,99438149ab36809801c8c15927ddfb4b7eb97c66fb842a2af607511148c43512,1166,106.6306999589433,0,zero_sentinel,qgeognn_v2,458952
73,lcmd,c1cb500e5437ede4fb52fe85d92cb49a628754c74dee682829b5bd666f2392e1,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,f128cb5c40ae35d9a0cf373d4234bf3a560b821b04110b78485e71ea4f1484ce,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,343,443,0.5551062218325282,2b413415aba209753b2c1eefed4d1ac878d9221d47b190aaabc0b6111436d2fe,52ff1a16236ac02b5548aec66607055de9b892e76a4ca1cd1759e95619eea19f,417,330.5110594589496,0,zero_sentinel,qgeognn_v2,458952
73,random_control_0,a648bf2a20317cbd73f11c00594a4d8b56054e632802a9445d84dc5da686844b,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,d534fa70e10f77dd8abff1734a3bbce0d285b84ddaf499d39300bca185cdb23e,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,83,183,0.7965817478342423,53e62b1acbbb3eb0a3769f960be4db01d0f6578464cbc94930e2ec733c1a882c,742b69f4eb1b020edbe8b93b92a81665ae5d8004730eace799e8ea9f092639d2,417,129.65442966698902,0,zero_sentinel,qgeognn_v2,458952
73,random_control_1,9de2048419316170121b52b846be60974003e2d04413e903242027b85da75d01,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,fc0abf68d84307798bb6bbc0ac6461d0b2e4729cebcb65521b0899b286bf139b,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,146,246,0.8333430506054521,210366e75b527431ff0d8f68a01b701ea500c2aa90b08dea88cd6e2b41097661,4ec38615bc2d1d2d37bd6bc11922255361f7b3a6aa2a9dbb8e1c32224bec1384,417,175.33509320800658,0,zero_sentinel,qgeognn_v2,458952
73,random_control_2,d6435217504d6b8df10f67429371e3a8345e2b85487f5a41ad154412e4680447,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,b4cfc84a35775c9421dfa34a2be38ca46dc9ad72c0f7b11b304abfa99b30d97f,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,108,208,0.7831165958830997,6f612e071526feeeb095606a4501a434d5bbd5115687c08e7e01bf755253816c,e75394a3edf374555e97a18ecc80de31014298f06122149e78770abda5c0f64c,417,152.31049570802134,0,zero_sentinel,qgeognn_v2,458952
73,random_control_3,4eba0692cb1148b57143dbdf6ed1e7462cb9ebb7257029683ac3cf2dc9b093cc,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,1f8f1a69c8668d49ae040f04a1d991663a5f7f19e097610c38dfa554e31ce2ec,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,78,178,0.7933740898697448,0657b66d0cb365529a27bb26e4ad6741b069108ffea4e4b3377b0bd4847853dd,2af4a5c00208f762f56b63002eb5396f0062f96395d5f60c35fab7d393a4711a,417,134.1478123330162,0,zero_sentinel,qgeognn_v2,458952
73,random_control_4,bef78e3a9037991b731385f735de370165aa0b096cd39730c96882da9f2eeb10,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,2f49c522ebd0c48c4ed2f7681b02c5a8a0b81baf12e149a6e8d042ed8db6d2c4,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,666,416,90,190,0.8198716649772706,6fb637ba2f3bf579f783f06979b9a79e0fb6de8d2daf49967bb29a456369ac01,5a122b83f952f69760afc60e3a521f6e69542895c236c2170ddbbfbc65d0006c,417,138.81646874995204,0,zero_sentinel,qgeognn_v2,458952
311,baseline_l0,66652bffe08a3299f78b66a1254c499e0e968ddfafb7c67dc820ba1b3dda4f31,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,7645e76b4873745a4775da4702605c4535e9acda590a031d3c7d665ac28b8725,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,333,416,70,170,0.7144416277934152,06e7ffb93c7f4c1d2cb38567e00044a4b7332721c57c01898dcdec8924075d3a,abe4d7328ca24847022aaa1c6f47564365d7bb9e5fe5f7511320f1f8626ccd89,1166,105.0458502919646,0,zero_sentinel,qgeognn_v2,458952
311,lcmd,7d383dd0423b73925244aee7766abe36bd060f5cfa23f6ccf081fe8f85ce25c0,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,52a71c7295bca5c113a170539c7c079ffff25ba12117e15d795850f8e6235663,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,139,239,0.409627892471715,2b98ad657c743baf395d919d940edd4286643d899054f01777527db1fd54f45d,eb2bfb303f4a43e31948d2829819f7ed40762728ce54bd3f74fb0af145adb6e3,417,233.3371356659918,0,zero_sentinel,qgeognn_v2,458952
311,random_control_0,99a86666ec92583718f177e7b7f09ab42e73c280a3b709412d948405c3f3153f,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,f839f81e6d716c850619a35abd7645089b6aa6f992c0079f663851f802413577,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,666,416,138,238,0.619658098259457,608a086b013d2ba7fc7991ac691164bb5c73f2db96371b4e714db591860d8798,4a3a11652d292d9ff63706f6217519b17a4a74a98d2ba2ec10618f0d0f05d08d,417,240.72297970898217,0,zero_sentinel,qgeognn_v2,458952
