parameter_name,parameter_count,requires_grad,gradient_tensor_observed,ever_nonzero_elements,shape,outer_seed
backbone.atom_encoder.atom_embedding_list.0.weight,15872,True,True,1280,124x128,73
backbone.atom_encoder.atom_embedding_list.1.weight,1792,True,True,256,14x128,73
backbone.atom_encoder.atom_embedding_list.2.weight,2176,True,True,512,17x128,73
backbone.atom_encoder.atom_embedding_list.3.weight,2432,True,True,512,19x128,73
backbone.atom_encoder.atom_embedding_list.4.weight,2816,True,True,384,22x128,73
backbone.atom_encoder.atom_embedding_list.5.weight,1792,True,True,384,14x128,73
backbone.atom_encoder.atom_embedding_list.6.weight,2432,True,True,512,19x128,73
backbone.atom_encoder.atom_embedding_list.7.weight,896,True,True,256,7x128,73
backbone.atom_encoder.atom_embedding_list.8.weight,1920,True,True,512,15x128,73
backbone.bond_encoder.bond_embedding_list.0.weight,1664,True,True,325,13x128,73
backbone.bond_encoder.bond_embedding_list.1.weight,3584,True,True,402,28x128,73
backbone.bond_encoder.bond_embedding_list.2.weight,1024,True,True,256,8x128,73
backbone.bond_float_encoder.linear_list.0.weight,2560,True,True,1860,128x20,73
backbone.bond_float_encoder.linear_list.0.bias,128,True,True,93,128,73
backbone.bond_float_encoder.linear_list.1.weight,2560,True,True,1860,128x20,73
backbone.bond_float_encoder.linear_list.1.bias,128,True,True,93,128,73
backbone.bond_float_encoder.linear_list.2.weight,2560,True,True,1860,128x20,73
backbone.bond_float_encoder.linear_list.2.bias,128,True,True,93,128,73
backbone.bond_float_encoder.linear_list.3.weight,2560,True,True,1860,128x20,73
backbone.bond_float_encoder.linear_list.3.bias,128,True,True,93,128,73
backbone.bond_float_encoder.linear_list.4.weight,2560,True,True,1860,128x20,73
backbone.bond_float_encoder.linear_list.4.bias,128,True,True,93,128,73
backbone.bond_float_encoder.rbf_list.0.gamma,1,True,True,1,1,73
backbone.bond_float_encoder.rbf_list.1.gamma,1,True,True,1,1,73
backbone.bond_float_encoder.rbf_list.2.gamma,1,True,True,1,1,73
backbone.bond_float_encoder.rbf_list.3.gamma,1,True,True,1,1,73
backbone.bond_float_encoder.rbf_list.4.gamma,1,True,True,1,1,73
backbone.convs.0.eps,1,True,True,1,1,73
backbone.convs.0.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs.0.mlp.0.bias,128,True,True,128,128,73
backbone.convs.0.mlp.1.weight,128,True,True,128,128,73
backbone.convs.0.mlp.1.bias,128,True,True,128,128,73
backbone.convs.0.mlp.3.weight,16384,True,True,16114,128x128,73
backbone.convs.0.mlp.3.bias,128,True,True,127,128,73
backbone.convs.1.eps,1,True,True,1,1,73
backbone.convs.1.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs.1.mlp.0.bias,128,True,True,128,128,73
backbone.convs.1.mlp.1.weight,128,True,True,128,128,73
backbone.convs.1.mlp.1.bias,128,True,True,128,128,73
backbone.convs.1.mlp.3.weight,16384,True,True,16365,128x128,73
backbone.convs.1.mlp.3.bias,128,True,True,128,128,73
backbone.convs.2.eps,1,True,True,1,1,73
backbone.convs.2.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs.2.mlp.0.bias,128,True,True,128,128,73
backbone.convs.2.mlp.1.weight,128,True,True,128,128,73
backbone.convs.2.mlp.1.bias,128,True,True,128,128,73
backbone.convs.2.mlp.3.weight,16384,True,True,16317,128x128,73
backbone.convs.2.mlp.3.bias,128,True,True,128,128,73
backbone.convs.3.eps,1,True,True,1,1,73
backbone.convs.3.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs.3.mlp.0.bias,128,True,True,128,128,73
backbone.convs.3.mlp.1.weight,128,True,True,128,128,73
backbone.convs.3.mlp.1.bias,128,True,True,128,128,73
backbone.convs.3.mlp.3.weight,16384,True,True,16256,128x128,73
backbone.convs.3.mlp.3.bias,128,True,True,127,128,73
backbone.convs.4.eps,1,True,True,1,1,73
backbone.convs.4.mlp.0.weight,16384,True,True,16382,128x128,73
backbone.convs.4.mlp.0.bias,128,True,True,128,128,73
backbone.convs.4.mlp.1.weight,128,True,True,128,128,73
backbone.convs.4.mlp.1.bias,128,True,True,128,128,73
backbone.convs.4.mlp.3.weight,16384,True,True,16384,128x128,73
backbone.convs.4.mlp.3.bias,128,True,True,128,128,73
backbone.convs_bond_angle.0.eps,1,True,True,1,1,73
backbone.convs_bond_angle.0.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs_bond_angle.0.mlp.0.bias,128,True,True,128,128,73
backbone.convs_bond_angle.0.mlp.1.weight,128,True,True,128,128,73
backbone.convs_bond_angle.0.mlp.1.bias,128,True,True,128,128,73
backbone.convs_bond_angle.0.mlp.3.weight,16384,True,True,16215,128x128,73
backbone.convs_bond_angle.0.mlp.3.bias,128,True,True,127,128,73
backbone.convs_bond_angle.1.eps,1,True,True,1,1,73
backbone.convs_bond_angle.1.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs_bond_angle.1.mlp.0.bias,128,True,True,128,128,73
backbone.convs_bond_angle.1.mlp.1.weight,128,True,True,128,128,73
backbone.convs_bond_angle.1.mlp.1.bias,128,True,True,128,128,73
backbone.convs_bond_angle.1.mlp.3.weight,16384,True,True,16359,128x128,73
backbone.convs_bond_angle.1.mlp.3.bias,128,True,True,128,128,73
backbone.convs_bond_angle.2.eps,1,True,True,1,1,73
backbone.convs_bond_angle.2.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs_bond_angle.2.mlp.0.bias,128,True,True,128,128,73
backbone.convs_bond_angle.2.mlp.1.weight,128,True,True,128,128,73
backbone.convs_bond_angle.2.mlp.1.bias,128,True,True,128,128,73
backbone.convs_bond_angle.2.mlp.3.weight,16384,True,True,16149,128x128,73
backbone.convs_bond_angle.2.mlp.3.bias,128,True,True,127,128,73
backbone.convs_bond_angle.3.eps,1,True,True,1,1,73
backbone.convs_bond_angle.3.mlp.0.weight,16384,True,True,16384,128x128,73
backbone.convs_bond_angle.3.mlp.0.bias,128,True,True,128,128,73
backbone.convs_bond_angle.3.mlp.1.weight,128,True,True,128,128,73
backbone.convs_bond_angle.3.mlp.1.bias,128,True,True,128,128,73
backbone.convs_bond_angle.3.mlp.3.weight,16384,True,True,15859,128x128,73
backbone.convs_bond_angle.3.mlp.3.bias,128,True,True,125,128,73
backbone.convs_bond_float.0.linear_list.0.weight,2560,True,True,2560,128x20,73
