outer_seed,arm,initialization_seed,initialization_hash,validation_ids_hash,initial_hash_identical_within_seed,test_used_for_checkpoint_selection
73,baseline_l0,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,lcmd,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,random_control_0,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,random_control_1,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,random_control_2,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,random_control_3,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
73,random_control_4,2000076,92a4456433f2dfa9a62808ee0f3c81fe4dc42e1d3e92f0bf6a74175910e9d782,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,True,False
311,baseline_l0,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,lcmd,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,random_control_0,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,random_control_1,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,random_control_2,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,random_control_3,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
311,random_control_4,2000314,2c3eed569f74ffd8fcc3304ece8aef8e4543c53bd91fbfbe07bb03428cdbea13,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,True,False
1297,baseline_l0,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,True,False
1297,lcmd,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,True,False
1297,random_control_0,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,True,False
