purpose,requested_rows,requested_ids_hash,roles,acquisitions_frozen,predictions_frozen,outer_seed
initial_fit,333,40561f1da4da86a3f5b585a0401d7b8b4f3aa38fbacb7f1f909a6c33bb3de800,l0,False,False,73
initial_fit,416,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,validation,False,False,73
after_acquisition_fit,333,f339b99e6975aaf195b5bb8597781e72c24d2728c6238d94a09029f780ff3112,u0,True,False,73
after_acquisition_fit,333,d11e25e788627e87883c4381f1ef2a9e20cbcbea9678a5aa6a6098e8cfe77719,u0,True,False,73
after_acquisition_fit,333,c3ceecffcfbef5433f0a442a5cd2aceb7dfa9459f9f7fa6604f4dff85b9bc8ba,u0,True,False,73
after_acquisition_fit,333,15612c42868c3bc0822b5bd360ec35095167b19698dc68e9c3dfc39d7935357a,u0,True,False,73
after_acquisition_fit,333,0f4c0c59be3440b19f3cd4c47323211d3b1e10b6bcf3f574bc437bebfca107cb,u0,True,False,73
after_acquisition_fit,333,82e82720dd9fb9c28cf763ff9e292d0c5147c0efc82ab691eb54e3e6c64c9cc3,u0,True,False,73
initial_fit,333,7645e76b4873745a4775da4702605c4535e9acda590a031d3c7d665ac28b8725,l0,False,False,311
initial_fit,416,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,validation,False,False,311
after_acquisition_fit,333,ecaeb717390178da7678d4fab517fb73d1ed4a394ac3531b581fe97a76804317,u0,True,False,311
after_acquisition_fit,333,95e84a13befe4a5e7bc20aff5a1b12a8ee2a6765a5331c34d3f331ce45af48d4,u0,True,False,311
after_acquisition_fit,333,40c868c7f7c9cef147c460b4a61a3e6191df6a2b8a1708a60ff926e804b843c9,u0,True,False,311
after_acquisition_fit,333,59df1dff774adcdd7807b4ac854e0bd05179dc20de607c3c330c09f6b162577b,u0,True,False,311
after_acquisition_fit,333,1d1d8ef80d68721af10bd25c51f2be360b60fdbaaef976fa9ebb5b30ef754173,u0,True,False,311
after_acquisition_fit,333,37441a1ec9e7e83a25a69c75f6d454f1bcbeb8ec19497174cafd9cbff08268cf,u0,True,False,311
initial_fit,333,c3543c5ca4b5bc59df68cc3dbeeacb5f522ce29c53b5adbd226f7ff24882c155,l0,False,False,1297
initial_fit,416,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,validation,False,False,1297
after_acquisition_fit,333,f13c53465b88af9152fa3585f1e1be58a402234649c374c39519a9fe49a5ddb1,u0,True,False,1297
after_acquisition_fit,333,aae277545fe8cd0b98dd137b11c148e2b0cb49ef8493b1bf5f70d7381b0fd953,u0,True,False,1297
after_acquisition_fit,333,0488eceec419337b4fb71f1940b7d609f55aeee032fc9842b733143af8308f82,u0,True,False,1297
after_acquisition_fit,333,133e75736f6bccdc7f8d1807d4943913bdcb4a4e1335a2df964644979092ec26,u0,True,False,1297
after_acquisition_fit,333,a0d9b8f1f7769890ccfed928217687515924d3d943882e7840900c6176c8bd18,u0,True,False,1297
after_acquisition_fit,333,dd55868288489186f7f1d31d07fe6c91b4b21a61a626a27519baf8cf36d7b578,u0,True,False,1297
initial_fit,333,eb041eee2085ab25f42c0ec5a3668df36ff342335d42151604564d14ff69b3e5,l0,False,False,4093
initial_fit,416,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,validation,False,False,4093
after_acquisition_fit,333,8d984762f2c27ba68d0e1044a94fd052e5693e7de4f7d007963eb1637880269b,u0,True,False,4093
after_acquisition_fit,333,b6f55aa82ff4f719266df36e9ba985c5ee541bef0c2c54bcc46fcd2f88d4c6cb,u0,True,False,4093
after_acquisition_fit,333,8d62dd1a65e7ce578588e128b49aa3be9ca9f2412c50bd1b5e8a9fa7f283c272,u0,True,False,4093
after_acquisition_fit,333,380dd87ae3f690594c8d8eb00902bd729dc7dccf62dc13f7ea05a781a1ce77a8,u0,True,False,4093
after_acquisition_fit,333,c8f4f41ee0967c3b1217f094bebee26d5dd69f1c264c1d38f4c0e64bc57215a2,u0,True,False,4093
after_acquisition_fit,333,f05450c3d98cdd3ecf7efbef076b7426caabb73c199e93b90840fb96a9c0a8a7,u0,True,False,4093
initial_fit,333,1984269150c1565a6474f4d86053ea64a975e806feaa96aca5c84a7ee31e6828,l0,False,False,8191
initial_fit,416,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,validation,False,False,8191
after_acquisition_fit,333,5666985713cc4bc3c3f24f91989d110b94484ed8d54e115350e1e8eca071040d,u0,True,False,8191
after_acquisition_fit,333,4fd36bc6eb8c763b5af92999e9e77cdc7bd5bc24ed82bddc4deffc58f0e5e84c,u0,True,False,8191
after_acquisition_fit,333,c84477ee3df3a7db9f553d6aa88f17eeed1cf72427e33e9b410ce2521addd13b,u0,True,False,8191
after_acquisition_fit,333,824c63d4f4fb43e573385340628588255541c6e8ea0f61ffd9ef6a4dd7215d83,u0,True,False,8191
after_acquisition_fit,333,c609df14d8120ab9ef6203528781336a27720e3bb535ef316264945a2e2af052,u0,True,False,8191
after_acquisition_fit,333,7b80a2891181257575970694b4cce59eaf723e395112704167b9b0ad3b8df558,u0,True,False,8191
initial_fit,333,40561f1da4da86a3f5b585a0401d7b8b4f3aa38fbacb7f1f909a6c33bb3de800,l0,True,True,73
initial_fit,416,74e11d38797ceae36e33389d39059bf738edc2707d9049841d7382c1748d0ff2,validation,True,True,73
final_test_evaluation,417,d186053156c1d32c22cac18d41c595784df8928b2b47d348c56ea09a604d7725,test,True,True,73
initial_fit,333,7645e76b4873745a4775da4702605c4535e9acda590a031d3c7d665ac28b8725,l0,True,True,311
initial_fit,416,4dedb6ec9fe666a288c423f8db5d129507d4d1924c68c9eae318e06836b41e52,validation,True,True,311
final_test_evaluation,417,f4021b55fbf801b64338a40ef0f1055bc61204d58998270480ca6d76374b5b9e,test,True,True,311
initial_fit,333,c3543c5ca4b5bc59df68cc3dbeeacb5f522ce29c53b5adbd226f7ff24882c155,l0,True,True,1297
initial_fit,416,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,validation,True,True,1297
final_test_evaluation,417,efe79cfdda686f051b1b6d50f9bece695522f7f16566b327db4fd0d5f91b6211,test,True,True,1297
initial_fit,333,eb041eee2085ab25f42c0ec5a3668df36ff342335d42151604564d14ff69b3e5,l0,True,True,4093
initial_fit,416,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,validation,True,True,4093
final_test_evaluation,417,165abe02ea7d084d9fe6afe04739aa254293d2ba62155a4d0b5ffb492ee1ca20,test,True,True,4093
initial_fit,333,1984269150c1565a6474f4d86053ea64a975e806feaa96aca5c84a7ee31e6828,l0,True,True,8191
initial_fit,416,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,validation,True,True,8191
final_test_evaluation,417,18006bd813a67022bd285486ce159d91f798bd300d2c87b608ada914e02bfc1a,test,True,True,8191
