seed,method,round,source,selected_rows,new_molecule_rows,known_molecule_rows,distinct_molecules,within_source_same_molecule_pairs,selected_distinct_PE_EA,MW_min,MW_max,MW_mean,LogP_min,LogP_max,LogP_mean,TPSA_min,TPSA_max,TPSA_mean
157,cw16_random16_full_pool,0,CW,16,5,11,15,1,5,107.156,236.267,172.91025,0.5027,2.7892800000000006,1.6954624999999999,12.89,69.67,41.655
157,cw16_random16_full_pool,0,random,16,7,9,16,0,6,108.13999999999997,279.95899999999995,182.60924999999995,0.5027,4.755500000000002,2.5172512500000006,0.0,52.60000000000001,15.504375000000001
157,cw16_random16_full_pool,1,CW,16,0,16,16,0,5,117.151,220.268,164.4438125,0.41200000000000003,2.9764000000000017,1.86197625,12.03,52.32,31.278125000000003
157,cw16_random16_full_pool,1,random,16,5,11,16,0,6,125.17099999999999,262.046,167.95825,0.41200000000000003,4.094100000000004,2.0953075000000005,0.0,52.32,26.6375
157,cw16_random16_full_pool,2,CW,16,4,12,15,1,4,106.146,286.33,182.1276875,0.08919999999999989,4.148600000000003,2.2189187500000003,12.03,43.370000000000005,28.16625
157,cw16_random16_full_pool,2,random,16,1,15,16,0,7,108.13999999999997,317.351,174.74993749999996,0.3619999999999999,3.801800000000002,2.4132587500000002,0.0,35.53,18.9975
157,cw16_random16_full_pool,3,CW,16,2,14,16,0,5,107.156,335.2440000000001,177.38831249999996,1.2778999999999998,5.998100000000004,2.3992287500000007,0.0,43.370000000000005,23.201249999999998
157,cw16_random16_full_pool,3,random,16,0,16,16,0,7,108.568,239.06499999999994,170.06637499999997,0.5027,3.6023000000000014,2.0879012500000007,0.0,52.60000000000001,24.133750000000003
157,cw16_random16_full_pool,4,CW,16,1,15,16,0,7,116.116,262.046,179.94743749999998,0.13849999999999985,3.0436000000000014,2.10515125,0.0,69.67,29.564375
157,cw16_random16_full_pool,4,random,16,1,15,15,1,6,122.12299999999996,335.2440000000001,197.84612499999997,0.5286,5.998100000000004,2.4600375000000008,0.0,52.60000000000001,22.071875
157,cw16_random16_full_pool,5,CW,16,2,14,16,0,6,116.16299999999997,214.21699999999996,154.67649999999998,0.6279999999999999,2.8980000000000015,1.8458087500000002,0.0,69.67,29.365624999999998
157,cw16_random16_full_pool,5,random,16,1,15,16,0,5,134.17799999999997,238.45499999999998,192.91887499999996,1.1296,3.410920000000001,2.3699525000000006,0.0,63.370000000000005,20.462500000000002
157,cw16_llm16_full_pool,0,CW,16,5,11,15,1,5,107.156,236.267,172.91025,0.5027,2.7892800000000006,1.6954624999999999,12.89,69.67,41.655
157,cw16_llm16_full_pool,0,LLM,16,5,11,12,4,6,129.159,214.21699999999996,164.852375,-0.6642000000000001,2.7892800000000006,1.2573612500000002,26.3,69.67,47.350000000000016
157,cw16_llm16_full_pool,1,CW,16,2,14,14,2,5,117.151,262.046,171.17499999999998,0.5286,3.1423000000000014,2.0764325000000006,12.89,43.370000000000005,26.145
