record_type,scope,method,display_name,outer_seed,source_study,available_through,AULC_333_429,AULC_429_525,AULC_525_653,AULC_653_1005,AULC_333_1005,NRMSE_1005,V1_RMSE_1005,V2_RMSE_1005
per_seed,main,random,Random,157,qgeognn_v2_row_sequential_b32,1005,0.8062952674,0.8616672893,0.7918859833,0.7345287245,0.7738689321,0.6691077239,4.5812339231,8.3129349242
per_seed,main,random,Random,6101,qgeognn_v2_row_sequential_b32,1005,0.8797479638,0.8055946384,0.8012690649,0.7531366577,0.7878860619,0.7464550734,4.6380318748,7.6938703638
per_seed,main,lcmd,LCMD,157,qgeognn_v2_row_sequential_b32,1005,0.7249062812,0.6534083328,0.5908385131,0.5222916408,0.5830240925,0.5092245315,3.8656441573,5.3491558355
per_seed,main,lcmd,LCMD,6101,qgeognn_v2_row_sequential_b32,1005,0.9246690521,0.8050521974,0.6347753108,0.5480313872,0.6550766786,0.5282773729,3.2089233986,5.6616716355
per_seed,main,hybrid,Hybrid,157,qgeognn_v2_row_sequential_b32,1005,0.6978975736,0.6105934614,0.5841665606,0.5450333736,0.5836907837,0.5454648360,4.3310213077,5.1216457030
per_seed,main,hybrid,Hybrid,6101,qgeognn_v2_row_sequential_b32,1005,0.8824579552,0.7547397346,0.6391548179,0.5189743692,0.6274728763,0.5088528666,3.0652890224,5.5260152174
per_seed,main,gradient_maxdet,Gradient MaxDet,157,qgeognn_v2_row_maxdet_b32,1005,0.6865386816,0.6054661332,0.5146502419,0.4893946288,0.5389503013,0.4844563385,3.8011337661,4.7027279760
per_seed,main,gradient_maxdet,Gradient MaxDet,6101,qgeognn_v2_row_maxdet_b32,1005,0.8438899689,0.7676746591,0.7320079911,0.6357095256,0.7026443157,0.5345587462,3.3324554043,5.4761386114
per_seed,main,kernel_ivr,Kernel IVR,157,qgeognn_v2_row_kernel_ivr_b32,1005,0.7340320053,0.5828172873,0.5242607126,0.4976176033,0.5486373507,0.4790361153,3.6871032266,4.8788689325
per_seed,main,kernel_ivr,Kernel IVR,6101,qgeognn_v2_row_kernel_ivr_b32,1005,0.8289219436,0.7503806329,0.7228482797,0.6051399012,0.6802780839,0.5447445131,3.3934546425,5.5881463641
per_seed,main,center_width_lcmd,Center-width LCMD,157,qgeognn_v2_row_cw_lcmd_to_1005,1005,0.6960861199,0.5599417067,0.5069149931,0.4768569113,0.5257699751,0.4693390968,3.5374222420,5.0046283372
