scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,gradient_maxdet,combined_normalized_RMSE,Random@1005,0.6691077238818106,388.63512188789616,397.0,397.0,REACHED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N80,0.506118591372539,556.8773891432329,557.0,973.0,REACHED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N90,0.4749792800417344,794.1874226107013,813.0,,REACHED,1005.0
seed,157.0,gradient_maxdet,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,1005.0
seed,157.0,hybrid,combined_normalized_RMSE,Random@1005,0.6691077238818106,400.7418550715919,429.0,429.0,REACHED,1005.0
seed,157.0,hybrid,combined_normalized_RMSE,N80,0.506118591372539,,,,CENSORED,1005.0
seed,157.0,hybrid,combined_normalized_RMSE,N90,0.4749792800417344,,,,CENSORED,1005.0
seed,157.0,hybrid,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,combined_normalized_RMSE,Random@1005,0.6691077238818106,419.305634402405,429.0,429.0,REACHED,1005.0
seed,157.0,kernel_ivr,combined_normalized_RMSE,N80,0.506118591372539,524.1573153460488,525.0,877.0,REACHED,1005.0
seed,157.0,kernel_ivr,combined_normalized_RMSE,N90,0.4749792800417344,958.3135528003468,973.0,,REACHED,1005.0
seed,157.0,kernel_ivr,combined_normalized_RMSE,N95,0.4594096243763321,969.0434071726773,973.0,,REACHED,1005.0
seed,157.0,lcmd,combined_normalized_RMSE,Random@1005,0.6691077238818106,473.19765603655014,493.0,493.0,REACHED,1005.0
seed,157.0,lcmd,combined_normalized_RMSE,N80,0.506118591372539,936.9072265264793,941.0,,REACHED,1005.0
seed,157.0,lcmd,combined_normalized_RMSE,N90,0.4749792800417344,,,,CENSORED,1005.0
seed,157.0,lcmd,combined_normalized_RMSE,N95,0.4594096243763321,,,,CENSORED,1005.0
seed,157.0,random,combined_normalized_RMSE,Random@1005,0.6691077238818106,904.2593329699317,909.0,909.0,REACHED,1005.0
