method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
gradient_maxdet,hybrid,V1_MAE,aulc,2,1,0,0.03227758319448415,0.03227758319448415,0.19644243172927645,-0.10662819239406263,0.17118335878303093
gradient_maxdet,kernel_ivr,V1_MAE,aulc,2,1,0,-0.011967200823151392,-0.011967200823151392,0.06549599702521224,-0.058279864460252906,0.03434546281395012
gradient_maxdet,lcmd,V1_MAE,aulc,2,1,0,-0.008715307231333735,-0.008715307231333735,0.05288490024419739,-0.04611057881637981,0.02867996435371234
gradient_maxdet,random,V1_MAE,aulc,2,2,0,-0.3913284322810362,-0.3913284322810362,0.10913835198057661,-0.4685009010540262,-0.3141559635080462
gradient_maxdet,u50_gradient_maxdet,V1_MAE,aulc,2,2,0,-0.023179156572371906,-0.023179156572371906,0.007435759741087791,-0.02843703270856901,-0.017921280436174802
hybrid,kernel_ivr,V1_MAE,aulc,2,1,0,-0.04424478401763554,-0.04424478401763554,0.1309464347040642,-0.1368378959690808,0.04834832793380972
hybrid,lcmd,V1_MAE,aulc,2,1,0,-0.040992890425817885,-0.040992890425817885,0.14355753148507905,-0.1425033944293186,0.060517613577682816
hybrid,random,V1_MAE,aulc,2,2,0,-0.42360601547552035,-0.42360601547552035,0.08730407974869982,-0.4853393222910771,-0.36187270865996357
hybrid,u50_gradient_maxdet,V1_MAE,aulc,2,1,0,-0.055456739766856056,-0.055456739766856056,0.18900667198818866,-0.18910463921920573,0.07819115968549362
kernel_ivr,lcmd,V1_MAE,aulc,2,1,0,0.003251893591817656,0.003251893591817656,0.012611096781014847,-0.005665498460237783,0.012169285643873096
kernel_ivr,random,V1_MAE,aulc,2,2,0,-0.3793612314578848,-0.3793612314578848,0.043642354955364386,-0.4102210365937733,-0.3485014263219963
kernel_ivr,u50_gradient_maxdet,V1_MAE,aulc,2,1,0,-0.011211955749220515,-0.011211955749220515,0.05806023728412444,-0.052266743250124925,0.029842831751683896
lcmd,random,V1_MAE,aulc,2,2,0,-0.38261312504970246,-0.38261312504970246,0.05625345173637924,-0.4223903222376464,-0.34283592786175854
u50_gradient_maxdet,lcmd,V1_MAE,aulc,2,1,0,0.01446384934103817,0.01446384934103817,0.045449140503109595,-0.0176735461078108,0.04660124478988714
u50_gradient_maxdet,random,V1_MAE,aulc,2,2,0,-0.3681492757086643,-0.3681492757086643,0.10170259223948884,-0.4400638683454572,-0.2962346830718714
