method,phase,start_labels,stop_labels,metric,mean,median,std
gradient_maxdet,early,333,525,V1_MAE,2.2993548633716854,2.2993548633716854,0.08032672981799942
gradient_maxdet,early,333,525,V1_R2,0.6101422601713098,0.6101422601713098,0.012051647456531511
gradient_maxdet,early,333,525,V1_RMSE,4.741058038357563,4.741058038357563,0.07758999176648591
gradient_maxdet,early,333,525,V2_MAE,3.9877179959456885,3.9877179959456885,0.24382810483462425
gradient_maxdet,early,333,525,V2_R2,0.6908916109419045,0.6908916109419045,0.09480180972468688
gradient_maxdet,early,333,525,V2_RMSE,8.145183822162888,8.145183822162888,1.0802128918239051
gradient_maxdet,early,333,525,combined_normalized_RMSE,0.7258923606898313,0.7258923606898313,0.1129814554794647
gradient_maxdet,late,653,1005,V1_MAE,1.8256474915597078,1.8256474915597078,0.032316010083813795
gradient_maxdet,late,653,1005,V1_R2,0.7437067030260749,0.7437067030260749,0.0008905150444776909
gradient_maxdet,late,653,1005,V1_RMSE,3.84216758663141,3.84216758663141,0.10451451797635049
gradient_maxdet,late,653,1005,V2_MAE,2.9367318357261194,2.9367318357261194,0.2806117623487884
gradient_maxdet,late,653,1005,V2_R2,0.840284138470544,0.840284138470544,0.07255496724801365
gradient_maxdet,late,653,1005,V2_RMSE,5.813969456320049,5.813969456320049,1.1868128236038065
gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.5625520771725903,0.5625520771725903,0.10346025574721891
gradient_maxdet,middle,525,653,V1_MAE,2.003200573172215,2.003200573172215,0.023943515481733346
gradient_maxdet,middle,525,653,V1_R2,0.7032566224638315,0.7032566224638315,0.0365844953844477
gradient_maxdet,middle,525,653,V1_RMSE,4.1428964887454365,4.1428964887454365,0.3935868229051502
gradient_maxdet,middle,525,653,V2_MAE,3.353446499763919,3.353446499763919,0.39758265148065
gradient_maxdet,middle,525,653,V2_R2,0.7850539628561135,0.7850539628561135,0.11297178252829232
gradient_maxdet,middle,525,653,V2_RMSE,6.721630636323762,6.721630636323762,1.68949890155449
gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.6233291165081388,0.6233291165081388,0.15369513834494564
hybrid,early,333,525,V1_MAE,2.361948805890209,2.361948805890209,0.15056860956485943
hybrid,early,333,525,V1_R2,0.590482510985196,0.590482510985196,0.016949046167751464
hybrid,early,333,525,V1_RMSE,4.853461279970691,4.853461279970691,0.051276883180908193
hybrid,early,333,525,V2_MAE,3.9970611469637007,3.9970611469637007,0.2238203194418055
hybrid,early,333,525,V2_R2,0.689269871894624,0.689269871894624,0.10505279952934826
hybrid,early,333,525,V2_RMSE,8.137977149006923,8.137977149006923,1.22423504157121
hybrid,early,333,525,combined_normalized_RMSE,0.7364221811964865,0.7364221811964865,0.11621535229910084
hybrid,late,653,1005,V1_MAE,1.74536886273944,1.74536886273944,0.27146071626673896
hybrid,late,653,1005,V1_R2,0.7548909143974791,0.7548909143974791,0.12093673820505578
hybrid,late,653,1005,V1_RMSE,3.6926413873670443,3.6926413873670443,0.8258989418673074
hybrid,late,653,1005,V2_MAE,2.591426971173375,2.591426971173375,0.06627307545992342
hybrid,late,653,1005,V2_R2,0.862669177039771,0.862669177039771,0.020920625345292616
hybrid,late,653,1005,V2_RMSE,5.486040063982798,5.486040063982798,0.27938003138603607
hybrid,late,653,1005,combined_normalized_RMSE,0.5320038714376298,0.5320038714376298,0.01842649873699986
hybrid,middle,525,653,V1_MAE,1.960618576879124,1.960618576879124,0.2443684894736385
hybrid,middle,525,653,V1_R2,0.6977444014167765,0.6977444014167765,0.07981115739326623
hybrid,middle,525,653,V1_RMSE,4.148315687335705,4.148315687335705,0.42860333862490446
hybrid,middle,525,653,V2_MAE,3.0946758643900463,3.0946758643900463,0.006530966285800012
hybrid,middle,525,653,V2_R2,0.8043531112864704,0.8043531112864704,0.04773765244482956
hybrid,middle,525,653,V2_RMSE,6.515651522912966,6.515651522912966,0.6201351777195803
hybrid,middle,525,653,combined_normalized_RMSE,0.6116606892551472,0.6116606892551472,0.038882569579148735
kernel_ivr,early,333,525,V1_MAE,2.3544643033417962,2.3544643033417962,0.16891530777762687
kernel_ivr,early,333,525,V1_R2,0.6093913641089228,0.6093913641089228,0.039493952699634204
kernel_ivr,early,333,525,V1_RMSE,4.729352399988395,4.729352399988395,0.08229535335990337
kernel_ivr,early,333,525,V2_MAE,4.08864431334533,4.08864431334533,0.1893879160736032
