outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
157,random,0,333,5.222683805149919,9.264808762812883,2.613402478128886,4.7290128449456015,0.5072470735708294,0.6241655027553434
157,random,1,365,4.9991212410021255,8.929215084974805,2.546018679936727,4.784146543315274,0.5485298047289822,0.6508996448689406
157,random,2,397,5.941708227098384,10.682636390223692,2.7271582377042702,5.035026080316777,0.36222955640962406,0.5003330610587338
157,random,3,429,6.198268686959288,11.207505064826659,2.90256676914023,5.297097543446566,0.30596313017454624,0.4500266953230815
157,random,4,461,6.106151741153115,11.285957985581748,2.7550787125274145,5.1861238742617966,0.32643900367704803,0.44230008228605466
157,random,5,493,5.580649649092525,10.45297183264734,2.790343758013609,5.175093103084061,0.4373850571867687,0.5215866585303961
157,random,6,525,5.615420343403721,10.012730623555578,2.7656576176055614,5.023740646650466,0.43035237950875693,0.56103611922106
157,random,7,557,5.821619735900899,10.728203314443126,2.6861555716402523,4.977755069732666,0.3877491256434048,0.4960612981872822
157,random,8,589,5.332258534416032,10.014311826091657,2.6039377479530352,4.792279281204553,0.4863537265778546,0.5608974666131415
157,random,9,621,5.192512841525659,8.971070386848472,2.544896024022457,4.342262349254508,0.5129238056940283,0.6476191893170854
157,random,10,653,5.214931572701574,8.901895411724713,2.5518809411165524,4.363997576048049,0.5087088125267266,0.65303257983616
157,random,11,685,5.307794213820575,10.13802368717338,2.5431185208922096,4.423293608841565,0.4910561170191825,0.5499815440176058
157,random,12,717,5.459292097778018,10.270369481275088,2.4066320923592546,4.287012870934942,0.46158839889414804,0.5381554132045328
157,random,13,749,5.299355721723773,10.279130593402133,2.3527345365757566,4.283046220418075,0.4926730994507613,0.5373671264640048
157,random,14,781,5.369583853486795,9.804502766988318,2.3233000877663956,4.03546965207985,0.47913760527489246,0.5791039317157471
157,random,15,813,4.853723457694511,8.865694402817331,2.327472588427061,3.8462198861211325,0.574409619788333,0.6558488409320318
157,random,16,845,5.023621187627825,9.234902994711609,2.3042827029880004,3.980612965224744,0.5440937851580667,0.6265878904134832
157,random,17,877,5.133553611855211,10.106141740860817,2.2996620542997364,3.871411986774106,0.5239221791377432,0.5528075197345244
157,random,18,909,4.326370865438933,8.347811480988936,2.151233890359636,3.7794386500077284,0.6618656931335556,0.6948811859471442
157,random,19,941,4.596893294802182,8.242142865898225,2.1007420805146655,3.554347252102493,0.6182574315379269,0.702556831798367
157,random,20,973,4.429416351498928,7.835931623461387,2.174244730878505,3.5589412465084087,0.64556650710649,0.7311531221076473
157,random,21,1005,4.5812339230557235,8.312934924151305,2.180377501092083,3.684403755681978,0.6208538228838819,0.6974253890563308
157,hybrid,0,333,5.222683805149919,9.264808762812883,2.613402478128886,4.7290128449456015,0.5072470735708294,0.6241655027553434
157,hybrid,1,365,5.271126932187659,8.827951058025024,2.669768691920548,4.373794054813522,0.49806359658196553,0.6587728682603684
157,hybrid,2,397,5.058704464336235,7.455193215413821,2.56176975076433,3.867971619256109,0.5377037593066657,0.756644296593236
157,hybrid,3,429,4.201836649426148,6.742808522676657,2.318982483957597,3.7451815159200765,0.6810518590601213,0.8009302017992896
157,hybrid,4,461,4.731061129443885,6.486426707945376,2.364677462360556,3.503541339215615,0.5956486804892145,0.8157808591616902
157,hybrid,5,493,4.717050385507753,6.391618524416658,2.4290505270306153,3.454341670020307,0.598040056961015,0.8211267427091068
157,hybrid,6,525,4.6241936509110575,6.194942172380761,2.319102378772031,3.4468821324318717,0.6137097276952275,0.8319655860907592
157,hybrid,7,557,4.115832939445092,6.285280247000848,2.048120246516715,3.2541235265114326,0.6939747772814662,0.8270291118228157
157,hybrid,8,589,4.6266406843002,6.196323430446169,2.178618572312865,3.1403563680122795,0.6133007849157541,0.8318906459999447
157,hybrid,9,621,4.511767562120515,5.865243098495889,2.1250878386646153,2.8838632878639716,0.6322648189622673,0.8493754521062086
157,hybrid,10,653,4.478396093489879,5.728562143694441,2.0445498493935563,2.790783142300247,0.6376846364630062,0.8563138264363899
157,hybrid,11,685,4.320060462355987,5.46539639211666,1.9462075953860936,2.7534092839101523,0.6628513726765823,0.8692122544858367
157,hybrid,12,717,4.263289437895376,5.384272279749694,1.9635546744870338,2.643313287831039,0.6716542630583232,0.8730660632126415
157,hybrid,13,749,4.099776800828432,5.227845007535901,1.8668406672900815,2.564392432892065,0.6963577696721461,0.880334453433878
157,hybrid,14,781,4.303373397689659,5.182306890446295,1.934397186878488,2.441249052683512,0.6654509451599283,0.8824101117221721
157,hybrid,15,813,4.467456084991268,5.268832512558506,2.027385911209692,2.4854315682280834,0.63945263182973,0.8784506869747721
157,hybrid,16,845,4.305107153140409,5.2486848372599875,1.96459685641227,2.5484659700370806,0.6651813226870074,0.8793785030702832
157,hybrid,17,877,4.0866025631919145,5.196338794770372,1.8619797458465723,2.5128215954458115,0.6983060843614807,0.8817724636914629
157,hybrid,18,909,4.2544239725052195,5.334853687423546,1.9344125257121574,2.5439345545048337,0.6730184261896519,0.8753854515398785
157,hybrid,19,941,4.227704434368767,5.298159963740756,1.9450135070928853,2.5392170810013366,0.6771126872899021,0.8770937819809562
157,hybrid,20,973,4.31053841951862,5.141579752943071,1.9132030176030075,2.382271788388991,0.6643359841384924,0.8842510992074714
157,hybrid,21,1005,4.331021307735473,5.121645702971631,1.8613194475928656,2.360629890176604,0.6611383772087476,0.8851468828628966
157,lcmd,0,333,5.222683805149919,9.264808762812883,2.613402478128886,4.7290128449456015,0.5072470735708294,0.6241655027553434
157,lcmd,1,365,5.149783360892966,8.506234942560331,2.711555643333234,4.312909799799931,0.5209071770495723,0.6831903004674056
157,lcmd,2,397,5.078863293018754,8.930373554945422,2.595354929816523,4.597700098435656,0.5340119368296644,0.6508090549326404
157,lcmd,3,429,4.88705081086749,8.050893397653814,2.529781197472442,4.1334327553673615,0.5685450514884871,0.7162003376809795
