seed,source_trajectory,anchor_budget,left_strategy,right_strategy,intersection_count,intersection_fraction_of_32,jaccard
157,center_width_lcmd,429,center_width_lcmd,kernel_ivr,12,0.375,0.2307692307692307
157,center_width_lcmd,429,center_width_lcmd,gradient_maxdet,10,0.3125,0.1851851851851851
157,center_width_lcmd,429,kernel_ivr,gradient_maxdet,14,0.4375,0.28
157,center_width_lcmd,653,center_width_lcmd,kernel_ivr,2,0.0625,0.032258064516129
157,center_width_lcmd,653,center_width_lcmd,gradient_maxdet,1,0.03125,0.0158730158730158
157,center_width_lcmd,653,kernel_ivr,gradient_maxdet,21,0.65625,0.4883720930232558
157,hybrid,429,center_width_lcmd,kernel_ivr,7,0.21875,0.1228070175438596
157,hybrid,429,center_width_lcmd,gradient_maxdet,3,0.09375,0.0491803278688524
157,hybrid,429,kernel_ivr,gradient_maxdet,11,0.34375,0.2075471698113207
157,hybrid,653,center_width_lcmd,kernel_ivr,1,0.03125,0.0158730158730158
157,hybrid,653,center_width_lcmd,gradient_maxdet,1,0.03125,0.0158730158730158
157,hybrid,653,kernel_ivr,gradient_maxdet,13,0.40625,0.2549019607843137
6101,center_width_lcmd,429,center_width_lcmd,kernel_ivr,9,0.28125,0.1636363636363636
6101,center_width_lcmd,429,center_width_lcmd,gradient_maxdet,6,0.1875,0.1034482758620689
6101,center_width_lcmd,429,kernel_ivr,gradient_maxdet,17,0.53125,0.3617021276595745
6101,center_width_lcmd,653,center_width_lcmd,kernel_ivr,4,0.125,0.0666666666666666
6101,center_width_lcmd,653,center_width_lcmd,gradient_maxdet,3,0.09375,0.0491803278688524
6101,center_width_lcmd,653,kernel_ivr,gradient_maxdet,18,0.5625,0.391304347826087
6101,hybrid,429,center_width_lcmd,kernel_ivr,4,0.125,0.0666666666666666
6101,hybrid,429,center_width_lcmd,gradient_maxdet,5,0.15625,0.0847457627118644
6101,hybrid,429,kernel_ivr,gradient_maxdet,10,0.3125,0.1851851851851851
6101,hybrid,653,center_width_lcmd,kernel_ivr,1,0.03125,0.0158730158730158
6101,hybrid,653,center_width_lcmd,gradient_maxdet,1,0.03125,0.0158730158730158
6101,hybrid,653,kernel_ivr,gradient_maxdet,22,0.6875,0.5238095238095238
