audit_kind,feature,continuous_position,delta_embedding_max_abs,delta_prediction_max_abs,feature_reaches_encoder,expected_or_unexpected
direct_edge_feature_perturbation,bond_length,0,8.40031623840332,12.200536727905273,True,expected
direct_edge_feature_perturbation,eluent_exact_mol_wt,1,3.8800101280212402,3.1319751739501953,True,expected
direct_edge_feature_perturbation,eluent_tpsa,2,5.512742042541504,6.500144958496094,True,expected
direct_edge_feature_perturbation,eluent_rotatable_bonds,3,27.76577377319336,42.00586700439453,True,expected
direct_edge_feature_perturbation,eluent_h_donors,4,8.611201286315918,8.733072280883789,True,expected
direct_edge_feature_perturbation,eluent_h_acceptors,5,0.0,0.0,False,expected
direct_edge_feature_perturbation,eluent_logp,6,0.0,0.0,False,expected
direct_edge_feature_perturbation,loading_solvent_code,7,0.0,0.0,False,expected
direct_edge_feature_perturbation,loading_amount_density_x_volume,8,0.0,0.0,False,expected
direct_edge_feature_perturbation,loading_solvent_volume_ul,9,0.0,0.0,False,expected
fixed_smiles_and_eluent_loading_perturbation,loading_solvent_code_realistic,7,0.0,0.0,False,expected
fixed_smiles_and_eluent_loading_perturbation,loading_amount_density_x_volume_realistic,8,0.0,0.0,False,expected
fixed_smiles_and_eluent_loading_perturbation,loading_solvent_volume_ul_realistic,9,0.0,0.0,False,expected
